Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),COX(50),C2H6X(52)
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,0.0,1.3773684963199023e-54,4.7114376408451109e-36,1.1115901943584997e-75,1.8467051157817858e-48,1.1814053419589504e-119,6.860108432313865e-22,1.2596447135968768e-101,6.8601084292552071e-22,2.9926939151492517e-68,4.3870229318108392e-60,1.1289706266436244e-100,6.8217603745695298e-102,2.6033561414898596e-47,9.3439909717987219e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.0421179244668587e-20,3.7569707431550512e-32,5.0421179245868598e-20,7.3331919066220014e-46,4.6586420666398987e-31,5.3295878337177854e-38,1.7796801312997017e-44,2.5392000876390771e-69,1.7423226283146518e-49,2.3073543444039632e-36,9.9933924554839972e-91,1.650491986465465e-62
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,0.0,2.2055839079105054e-53,1.8858028926648636e-35,1.4000827600008125e-73,1.4788618363369264e-47,5.9515201956121975e-117,1.3726176999708766e-21,8.0741862487851587e-100,1.3726176987466161e-21,4.7935112725867666e-67,7.0274044348706203e-59,2.8437732430090649e-98,1.7183387384439241e-99,2.0842675989577729e-46,2.9934331278044098e-79,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616489902456e-19,1.5037671863014147e-31,1.0088616490382776e-19,5.871011658993899e-45,1.8646706904249135e-30,4.2669090518457467e-37,2.8017716305759921e-43,1.5992976565596546e-67,1.3949175095640076e-48,9.235430519957259e-36,2.5172437059245381e-88,2.6436555714448544e-61
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,0.0,3.5303697555770252e-52,7.5456679446161952e-35,1.7775133130517553e-71,1.1836888592949244e-46,3.022222509062814e-114,2.745831415287132e-21,5.1714700235509896e-98,2.7458314103884961e-21,7.6737812151632192e-66,1.1250383338267753e-57,7.2205514266729929e-96,4.3629896510519978e-97,1.6680471045256994e-45,9.5843589164021442e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613620331803e-19,6.0170258457928574e-31,2.0181613622253708e-19,4.6985924295546677e-44,7.4611099000590948e-30,3.4148211088215096e-36,4.4462157243802552e-42,1.015280303103131e-65,1.116357951821736e-47,3.6953751812210277e-35,6.3914686718751748e-86,4.2321449371391814e-60
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,0.0,5.6497381714921309e-51,3.0187585237856076e-34,2.2658628527588174e-69,9.471909020089657e-46,1.5409789911565369e-111,5.4922588532687486e-21,3.3110184572344773e-96,5.4922588336710128e-21,1.2281381435619205e-64,1.8005836892648213e-56,1.8408319380133848e-93,1.1123154202546812e-94,1.3346904363859209e-44,3.0678547806853008e-76,2.1781507667943119e-14,1.0472742449761421e-15,4.0367607879423106e-19,2.4072008257927908e-30,4.0367607887111972e-19,3.7595858750428402e-43,2.9849284319484393e-29,2.7323710234182031e-35,7.084624096209368e-41,6.471287275300038e-64,8.9325597568225502e-47,1.4783907030334936e-34,1.6294627536914617e-83,6.773269240530948e-59
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,0.0,9.0404916348934214e-50,1.2076016866308228e-33,2.8943001590839346e-67,7.5784865902477891e-45,7.8733832296791708e-109,1.09851137586284e-20,2.119460753796129e-94,1.0985113680231077e-20,1.9652875866592297e-63,2.8813495653874056e-55,4.7027357240700913e-91,2.8416094673953599e-92,1.0678526425986609e-43,9.8185113905445804e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739596390536119e-19,9.629576426352853e-30,8.0739596421294116e-19,3.0079511637770668e-42,1.1940674541273847e-28,2.1860968611798819e-34,1.1311906686240301e-39,4.1331165891952005e-62,7.1467263398835104e-46,5.91404412048538e-34,4.1627551532511642e-81,1.0838700865198646e-57
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,0.0,1.4465493336831231e-48,4.8306033151969896e-33,3.7008229525512346e-65,6.0631730433108673e-44,4.0269245425806225e-106,2.1970823686933377e-20,1.3565857628993134e-92,2.1970823373331321e-20,3.1446733984029848e-62,4.6104845337274083e-54,1.2026342166225808e-88,7.266869702787413e-90,8.54320924131112e-43,3.1421438355610004e-73,8.713312177507653e-14,4.1894379264832384e-15,1.6148357338448383e-18,3.8519788747194817e-29,1.6148357350752094e-18,2.4064701797150812e-41,4.7764554264890526e-28,1.7489484956084318e-33,1.8080164369631632e-38,2.6424447093028194e-60,5.7176525082429199e-45,2.3657139236815849e-33,1.0645445522460017e-78,1.7343097526198961e-56
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,0.0,2.3145285060148706e-47,1.9322806464669841e-32,4.7344729187143823e-63,4.8506919446064961e-43,2.060656099242131e-103,4.3942244013886014e-20,8.6825677819716002e-91,4.3942242759452273e-20,5.0316480480970242e-61,7.3770119975851621e-53,3.0770603785983987e-86,1.8593015668683764e-87,6.8347016855774138e-42,1.0055212585839585e-71,1.742686072497207e-13,8.3789895018228716e-15,3.2297152725926602e-18,1.5408161504867676e-28,3.2297152775142528e-18,1.925213855863074e-40,1.9106140456056557e-27,1.3991727767157292e-32,2.8912864554044631e-37,1.6902500736532633e-58,4.5742305969390877e-44,9.463048332246578e-33,2.7237440144553591e-76,2.7749896969233848e-55
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,0.0,3.7032629727039711e-46,7.7292012749723884e-32,6.0582275946739636e-61,3.8806149555297123e-42,1.0547240854256119e-100,8.7885086549162041e-20,5.5569775067081858e-89,8.7885081531376014e-20,8.0507733575996055e-60,1.1803333554436818e-51,7.8748005966064068e-84,4.7583171206668222e-85,5.4677815435841657e-41,3.2177243944167686e-70,3.4853957819375061e-13,1.6758092652491302e-14,6.4594743455637741e-18,6.1632733179241674e-28,6.4594743652504074e-18,1.5401765881329813e-39,7.642477952213848e-27,1.1193207371972136e-31,4.6247341647916906e-36,1.0814232653564629e-56,3.6594279349264051e-43,3.7852579272397889e-32,6.9705942879979052e-74,4.4400587843013532e-54
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,0.0,5.925163303905651e-45,3.0916962859815095e-31,7.752686675490748e-59,3.1045165164280073e-41,5.3989003145958477e-98,1.757707791451971e-19,3.556508620860114e-87,1.7577075907395089e-19,1.2881346524663374e-58,1.8885185051101265e-50,2.0154688012247256e-81,1.2178390520378557e-82,4.3741796781656508e-40,1.0296808224163713e-68,6.9708152006077669e-13,3.351629895378482e-14,1.2918992473407884e-17,2.4652786827244216e-27,1.2918992552155309e-17,1.2321281417360713e-38,3.0569619509797272e-26,8.954126766073706e-31,7.3982201532454419e-35,6.9194666103539355e-55,2.9275597640581814e-42,1.5141109429939178e-31,1.7840468704825288e-71,7.1041542506328609e-53
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,0.0,9.4799870387032203e-44,1.2366817000780074e-30,9.9206458370045676e-57,2.4836230209880267e-40,2.7634596282009383e-95,3.5154219443919895e-19,2.2761794050707084e-85,3.5154211415401021e-19,2.0610241656306335e-57,3.0215408818875207e-49,5.1581487635429858e-79,3.1167909839279805e-80,3.4992397087603017e-39,3.2949930411198723e-67,1.3941654037106935e-12,6.7032711556198464e-14,2.583802865670362e-17,9.8607943553169891e-27,2.5838028971698047e-17,9.8567273493520176e-38,1.2227520685564544e-25,7.1625351375099183e-30,1.1835124252924698e-33,4.4272106513348221e-53,2.3420548305957326e-41,6.0564597417699169e-31,4.5658740013503498e-69,1.1366694893301142e-51
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,0.0,1.5167029429241354e-42,4.946733415505853e-30,1.2692513218209654e-54,1.9869023191464798e-39,1.4142339703575124e-92,7.0308514543492837e-19,1.4567594199036308e-83,7.0308482429376716e-19,3.2976456085971038e-56,4.8341485841733018e-48,1.3198721108944923e-76,7.9752749823443739e-78,2.7992128709089223e-38,1.054400068037931e-65,2.7883331706739871e-12,1.3406553676033216e-13,5.1676100733725169e-17,3.9440464213378479e-26,5.1676101993735968e-17,7.8848703778695141e-37,4.890727944236887e-25,5.7287768894729427e-29,1.8931555302369929e-32,2.8320912300930328e-51,1.873646756819657e-40,2.4225874311214122e-30,1.1683196202396782e-66,1.8186750096713942e-50
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,0.0,2.4264150339157888e-41,1.9786948842575687e-29,1.6232081364991763e-52,1.5895233829976149e-38,7.2345064610022663e-90,1.4061715290572794e-18,9.3232770136419673e-82,1.4061702444918345e-18,5.2762384205518964e-55,7.7335977436801928e-47,3.3758966843396973e-74,2.0398721917423441e-75,2.2390791347762354e-37,3.3740838215143573e-64,5.576668703254414e-12,2.6813118716582526e-13,1.0335224372948864e-16,1.5773985457756671e-25,1.033522487697862e-16,6.3070640202115009e-36,1.956063219534451e-24,4.5810104016779112e-28,3.0277111901716898e-31,1.8109330853096282e-49,1.4989186977265422e-39,9.6903595169251428e-30,2.988260690153718e-64,2.9098830107972005e-49
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,0.0,3.8812688383181584e-40,7.9147841326752861e-29,2.0740936519925175e-50,1.2716192642489674e-37,3.6976452715905972e-87,2.8123462228254692e-18,5.9669052064200571e-80,2.8123410845621821e-18,8.4419854844661728e-54,1.2370408635946995e-45,8.6272972229242589e-72,5.2130100717424747e-73,1.7907956330064384e-36,1.0797073559598213e-62,1.1153339763030625e-11,5.362624879657143e-13,2.0670452508789731e-16,6.3078286755258714e-25,2.0670454525111053e-16,5.0443144578243956e-35,7.8224223506519991e-24,3.6615898070332422e-27,4.8401796897449454e-30,1.1569740615780446e-47,1.1991356915409538e-38,3.8761479441454538e-29,7.6366542612582485e-62,4.6558150020951416e-48
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,0.0,6.2068441290112093e-39,3.1659158188800352e-28,2.6456571160307616e-48,1.0172955493850528e-36,1.8866652482270161e-84,5.6247033164550973e-18,3.8188251493307559e-78,5.6246827633997317e-18,1.3507178877672617e-52,1.9781932425310827e-44,2.2009638231675215e-69,1.3299236039215188e-70,1.43188799783359e-35,3.4550641133873252e-61,2.2306681861044477e-11,1.0725250895211048e-12,4.1340906927224304e-16,2.5217189689428294e-24,4.1340914994126625e-16,4.0333121321250231e-34,3.1275039869866735e-23,2.9241312626863425e-26,7.7311025551076833e-29,7.3789218327016742e-46,9.5930919263962938e-38,1.5504617482426705e-28,1.9482260249085057e-59,7.449305074600238e-47
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,0.0,9.9207676236130667e-38,1.2663677565456379e-27,3.3631244893743798e-46,8.1383635845521023e-36,9.5934114849354636e-82,1.1249448328081748e-17,2.4440595677642734e-76,1.1249366115862242e-17,2.1611484344728957e-51,3.1616821858128401e-43,5.5957486391154098e-67,3.3812085631225748e-68,1.1443142817465039e-34,1.1056204298675448e-59,4.4613365970917906e-11,2.1450502924543464e-12,8.2681808351106206e-16,1.0075591164124235e-23,8.2681840631626903e-16,3.2232309047568378e-33,1.2498308696347105e-22,2.331113422658224e-25,1.2327819033530044e-27,4.6898662817078719e-44,7.6744816274692465e-37,6.2018660790090601e-28,4.9531418921626892e-57,1.191888681121353e-45
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,0.0,1.5840737350144069e-36,5.0654818267009049e-27,4.2459823915917803e-44,6.5106883634762815e-35,4.8449130652789846e-79,2.2499061648760481e-17,1.5642089587926443e-74,2.2498732799936921e-17,3.457836213091319e-50,5.0477579099869582e-42,1.4129775282285811e-64,8.5378586881741062e-66,9.1354330289052311e-34,3.5379840961458768e-58,8.9226733846047639e-11,4.290100697610724e-12,1.6536358154693227e-15,4.0212364445419463e-23,1.6536371077285412e-15,2.5731308400154931e-32,4.9899815836006095e-22,1.8518917579442245e-24,1.9591432736329983e-26,2.9603430904618175e-42,6.1395973560646795e-36,2.4807614046980947e-27,1.2506912086792058e-54,1.9070210922962228e-44
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,0.0,2.5241824117745503e-35,2.0262012064547582e-26,5.2885722386526429e-42,5.2085462011923105e-34,2.4140236060746833e-76,4.4998781479465446e-17,1.0011074274003687e-72,4.4997466084684889e-17,5.5325332887329946e-49,8.0416388179583892e-41,3.5200520348122353e-62,2.1269764482430969e-63,7.2779999982904737e-33,1.1321539757136675e-56,1.7845346821783861e-10,8.5802015050835235e-12,3.3072700933092263e-15,1.6013393145275478e-22,3.3072752707241807e-15,2.0498309302084724e-31,1.9885579727109233e-21,1.4610538474682018e-23,3.0927320260121631e-25,1.8434233205849283e-40,4.9116967337698173e-35,9.9231648119352742e-27,3.1156485780025289e-52,3.0512308925703835e-43
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,0.0,9.2724581682716877e-35,4.305689942274641e-26,3.4275454224813886e-41,1.5462863822878919e-33,2.0374513907304678e-75,6.7498994499163744e-17,5.6839869254793468e-72,6.7496199286031472e-17,2.0930688597995087e-48,3.0598805493345668e-40,2.6242080185764678e-61,1.5856664086221614e-62,2.0760916216714861e-32,5.2814715990860156e-56,2.6768020121116107e-10,1.2870302309716369e-11,4.9609031850734051e-15,3.3923907193263851e-22,4.9609141994616092e-15,5.8470541554007278e-31,4.2148129439050187e-21,4.144516350268293e-23,1.1310024493015136e-24,1.0185655598859814e-39,1.4044413619458886e-34,2.1086900123575871e-26,2.3227023296854149e-51,1.1543420978111676e-42
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,0.0,7.084780179992398e-34,1.1904053583766006e-25,1.471209786146202e-39,7.243118464696813e-33,2.7263412851619889e-73,1.1250139329169947e-16,1.5280676104470725e-70,1.1249366535511918e-16,1.6518683978105254e-47,2.4957906436586417e-39,1.9768446168690525e-59,1.194499003314531e-60,9.4727613249567504e-32,7.0775032620137214e-55,4.4613366168393247e-10,2.1450503907628694e-11,8.2681646243060223e-15,9.3052546217680082e-22,8.2681951653693271e-15,2.6676001574425505e-30,1.1575928384451789e-20,1.8598574903867639e-22,8.5060442623848239e-24,2.5246106655057388e-38,6.4543329030001994e-34,5.8300323089850502e-26,1.7496071444586058e-49,9.1101681188651248e-42
1.5032853713972076e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256459836,0.11866996542372289,0.022821567678480221,0.0,1.9372277755156806e-33,2.1159943682059728e-25,6.8574296611693448e-39,1.6667497741846077e-32,1.4843881631976782e-72,1.5287633927548631e-16,6.5946232591993162e-70,1.5286260262373627e-16,4.6171459637509489e-47,7.2205742760963462e-39,1.0051766976749865e-58,6.0737298878761863e-60,2.1178931930421558e-31,2.3364186239569721e-54,6.0623104114082679e-10,2.9148128956416464e-11,1.1235230790548134e-14,1.6454683324333944e-21,1.1235285184201269e-14,5.9637917720234346e-30,2.0487177033981483e-20,4.1202501579012379e-22,2.309218622208458e-23,1.0572197837477724e-37,1.4487562418805594e-33,1.0363217938389752e-25,8.8962270240502443e-49,2.5463876525367237e-41
1.900282625260124e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756239679742,0.1186699652636225,0.022821567674631407,0.0,4.3428152625320746e-33,3.3002389999336734e-25,2.3648148501240608e-38,3.2053781840387896e-32,6.7714837305781836e-72,1.9325296404780637e-16,1.9942076653464225e-69,1.9323153960845846e-16,1.0558544565984436e-46,1.6441630019919883e-38,4.0087686428585245e-58,2.4222783143907725e-59,3.9820195793802912e-31,6.2713829434013488e-54,7.6632841590547021e-10,3.6845753995544255e-11,1.4202292919453729e-14,2.5529607542311656e-21,1.4202377923575864e-14,1.121229915424216e-29,3.181291734606883e-20,7.6729069297363663e-22,5.1355476414442277e-23,3.1022974933904607e-37,2.7352559125774988e-33,1.6163284377995542e-25,3.5478472766914294e-48,5.8231092384850739e-41
