Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CH3OO(84)
6.550796420413366e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,1.2702708809928621e-116,1.6703307687514555e-54,7.1717113021887523e-38,5.8801708627317737e-62,1.6906990528315506e-48,3.966453140880132e-41,1.3854863565580675e-23,1.857222033974611e-95,1.3854863277228134e-23,2.2143974828739894e-60,3.8999677012917737e-60,1.655104333637246e-62,6.0509135593562423e-89,3.9664555243064339e-41,9.6610945412323785e-75,2.6417448485019718e-15,1.2701743992223499e-16,4.8959384170391809e-20,3.5422867147413976e-32,4.8959384171523232e-20,6.7136994492054493e-46,4.3924331888866419e-31,4.8793540306219995e-38,1.5836911268867485e-44,2.1304877784015857e-69,2.5752587767017137e-51,4.5248944927185348e-38
1.310728423650042e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,8.1440454676839496e-115,2.3176927428870681e-53,2.870553544969447e-37,4.7077121642234766e-61,1.3539304594968213e-47,1.5876149722073433e-40,2.7721764948658099e-23,5.952007084084705e-94,2.7721763794496484e-23,1.7733140118157264e-59,6.2472092923029575e-59,1.3250898632734903e-61,9.6893456151028263e-88,1.5876168803973739e-40,1.5474541892907422e-73,5.2857848706326542e-15,2.5414523383223576e-16,9.7961304728770351e-20,1.4178376440487189e-31,9.7961304733298971e-20,5.375041099604535e-45,1.7581177813148356e-30,3.9064484514090944e-37,2.4919918596285909e-43,1.3411978237296747e-67,2.0617729038167666e-50,1.8111370509196979e-37
2.6220259868674528e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,5.2167771815615434e-113,3.4241139727651981e-52,1.148595342659123e-36,3.7676006267413881e-60,1.083693122501999e-46,6.3525280798447457e-40,5.5455569447206609e-23,1.9060670919194564e-92,5.54555648290568e-23,1.4193700549900776e-58,1.0001345521518245e-57,1.0604746478089534e-60,1.5509263646483788e-86,6.352543351160583e-40,2.477270861264195e-72,1.0573864914889176e-14,5.0840082165222725e-16,1.9596514584136135e-19,5.6731958874972042e-31,1.959651458594817e-19,4.3016653816827089e-44,7.0347596162900517e-30,3.1263434028077034e-36,3.9536141738157439e-42,8.5121149849495543e-66,1.6500449617307972e-49,7.2469075773794401e-37
5.244621113302274e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,3.340211111037093e-111,5.2510950623432285e-51,4.5951294330858988e-36,3.0146531326932569e-59,8.6717405350784582e-46,2.5414250651535112e-39,1.1092318537387832e-22,6.1016963840822667e-91,1.1092316689827188e-22,1.1357837872195841e-57,1.600679670363619e-56,8.4854089796188647e-60,2.4819872837729413e-85,2.5414372845203665e-39,3.96470946649327e-71,2.1150025003382855e-14,1.0169119972921705e-15,3.9197282804987912e-19,2.26964656493196e-30,3.9197282812237237e-19,3.4419841460378133e-43,2.8143606716064176e-29,2.5015455499281686e-35,6.2989011250741543e-41,5.4248222954242131e-64,1.3202867069952447e-48,2.8992351280228151e-36
1.0489811366171917e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,2.1382129625707504e-109,8.21970440772532e-50,1.8382014816381282e-35,2.4119518263579936e-58,6.9382707562152952e-45,1.0166529074714273e-38,2.2185844494552045e-22,1.9529086284526092e-89,2.2185837103707999e-22,9.0874235677889413e-57,2.5614570662350954e-55,6.7889726499908657e-59,3.9715841762689133e-84,1.0166626838834083e-38,6.344397596859841e-70,4.2302345180292747e-14,2.0339343485718974e-15,7.8398819240025778e-19,9.0793154926608853e-30,7.8398819269025449e-19,2.7538460014284705e-42,1.1258348894966699e-28,2.0014197825627294e-34,1.0056705967470628e-39,3.4645276804640486e-62,1.0563297170699056e-47,1.1597886014382644e-35
2.0980191871911203e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,1.368617108445161e-107,1.3005849308011575e-48,7.3531060360978244e-35,1.9296536071448688e-57,5.5509679559172319e-44,4.0667782695978287e-38,4.4372907496199938e-22,6.2498970083535448e-88,4.437287793162077e-22,7.270403641020223e-56,4.0986206794017027e-54,5.4314374060140792e-58,6.3548596472937753e-83,4.0668564844514535e-38,1.0151730827198837e-68,8.4606985533802647e-14,4.0679790511307127e-15,1.5680189208343868e-18,3.631866257291927e-29,1.5680189219944216e-18,2.2031769532060773e-41,4.5035148007280349e-28,1.6012011532295785e-33,1.6073420601542423e-38,2.2149204995429763e-60,8.4510398953363174e-47,4.6393445056809836e-35
4.1960952883389776e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,8.7597664424989242e-106,2.069274823552737e-47,2.9413029830781323e-34,1.5437607122323409e-56,4.4409149065818046e-43,1.6267453331709007e-37,8.8747077848773611e-22,2.0000639611910551e-86,8.8746959588050922e-22,5.816514354251818e-55,6.5580043528475808e-53,4.3452553791455893e-57,1.0168041561457407e-81,1.6268079062906911e-37,1.6243340001940081e-67,1.6921626623958295e-13,8.1360684562457873e-15,3.1360803766361329e-18,1.4527698822239719e-28,3.1360803812763742e-18,1.7625763007640773e-40,1.8014361651266594e-27,1.2809742322175659e-32,2.5703375956952971e-37,1.4167602718557799e-58,6.7609939543875553e-46,1.8557766171287172e-34
8.392247490634692e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,5.6065936509111763e-104,3.3014912868567599e-46,1.1765337435922681e-33,1.235029166020393e-55,3.552788138351783e-42,6.5070549583375837e-37,1.7749559595103215e-21,6.4003764531997779e-85,1.7749512290332962e-21,4.6532968948711897e-54,1.0492911205377081e-51,3.4762492650756089e-56,1.6269147644711326e-80,6.5075555452634532e-37,2.5989848301035936e-66,3.3843482764618563e-13,1.6272247266465718e-14,6.2722032839735798e-18,5.8110892224353974e-28,6.2722033025347867e-18,1.410066418239648e-39,7.2057667163540814e-27,1.0247641952643963e-31,4.1113327258491789e-36,9.0643822644019578e-57,5.4088618521093844e-45,7.4231904524884255e-34
1.678455189522612e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,3.5886670648089031e-102,5.2748455973001759e-45,4.706163567330713e-33,9.8809045593982461e-55,2.8422529888703852e-41,2.6028411680457414e-36,3.5499334174399223e-21,2.0481586401756141e-83,3.5499144954356094e-21,3.7226858147715263e-53,1.6788534046167787e-50,2.7810218440336183e-55,2.6032322817526986e-79,2.6032416336054418e-36,4.1584313514946886e-65,6.7687195043955919e-13,3.2544604886864703e-14,1.2544449081584288e-17,2.3244079760776066e-27,1.2544449155829942e-17,1.1280416574546668e-38,2.8822803509098665e-26,8.1977245921201639e-31,6.5769116168671441e-35,5.7998224273503278e-55,4.327119153223688e-44,2.969298060728282e-33
3.356916070440898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,2.2988660329785332e-100,8.4335234750502226e-44,1.8824739391131035e-32,7.9123503491858752e-54,2.2738113708587731e-40,1.0411438717831056e-35,7.0999167168366843e-21,6.5542371484399188e-82,7.099841028627186e-21,2.9781905859972236e-52,2.6860892119521805e-49,2.2248335634930393e-54,4.168956220275883e-78,1.041464235010037e-35,6.6535835547413171e-64,1.3537461959469788e-12,6.5089320127499208e-14,2.5088940608548957e-17,9.2973392784931725e-27,2.5088940905535933e-17,9.024069311175865e-38,1.1528822768936258e-25,6.5574990297132537e-30,1.0521266785860074e-33,3.7108560480522778e-53,3.4617119844941099e-43,1.1877276665413584e-32
