Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19)
7.024118305746723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999721,0.099999999999997799,0.099999999999999686,4.1088235249025682e-123,1.510595181113922e-57,7.5966728541092569e-41,3.7018185127907706e-66,2.8381457534707008e-49,2.0446290344287954e-43,3.635131598409506e-26,2.9834536994131802e-103,3.6351297552381854e-26,9.9507997342971485e-66,4.155151887783526e-60,8.7418756920581505e-67,3.5100086834634599e-95,2.0446550301853613e-43,8.9686169794060862e-81,2.2099089002292416e-15,6.4459805434184469e-16,1.4608418754764776e-20,9.3235737233143578e-32,1.4608418754689975e-20
1.4054339233826852e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999438,0.099999999999995592,0.099999999999999367,2.6343020360620746e-121,1.2219599633912925e-56,3.0406489046466856e-40,2.9637068770744528e-65,2.2728184402884258e-48,8.1838481530854149e-43,7.2734251240784731e-26,9.5613566697643205e-102,7.2734177465897478e-26,7.9687189094831383e-65,6.6559781462850661e-59,6.9988188285196837e-66,5.6205893074054826e-94,8.1840562771489003e-43,1.4365388866068816e-79,4.4217377908133609e-15,1.2897561417456521e-15,2.9229529446042308e-20,3.7318582381349625e-31,2.9229529445742899e-20
2.811478108998711e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998866,0.099999999999991165,0.099999999999998729,1.6874702667806447e-119,9.980514693494122e-56,1.21665563506014e-39,2.3718681577469385e-64,1.8191759372403819e-47,3.2746081044093736e-42,1.4550023248886751e-25,3.0619315137309013e-100,1.4549993729322224e-25,6.3782187673960523e-64,1.0655752859780463e-57,5.6011866927920221e-65,8.9966103516961635e-93,3.2747746668262817e-42,2.2997146991557815e-78,8.8453955719769964e-15,2.5800723165532073e-15,5.8471750829044315e-20,1.4932285563267644e-30,5.8471750827846278e-20
5.623566480230761e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997723,0.099999999999982311,0.099999999999997438,1.0804997859177931e-117,8.307782654692256e-55,4.8674148615493528e-39,1.897857976587391e-63,1.4557093138373077e-46,1.310058749879539e-41,2.9103263792384688e-25,9.8019007809400462e-99,2.9103145694904596e-25,5.1038894467297708e-63,1.7054142596451645e-56,4.4818076453997952e-64,1.4397528231236911e-91,1.3101920249804414e-41,3.6805574151468404e-77,1.7692711134285851e-14,5.1607046661680778e-15,1.1695619359683621e-19,5.9738798684849655e-30,1.1695619359204331e-19
1.124774322269486e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559995436,0.099999999999964617,0.099999999999994857,6.9172835535710786e-116,7.1618716320876675e-54,1.9471244698160791e-38,1.5184354743533414e-62,1.1647148947546194e-45,5.2406797189955407e-41,5.8209922054906096e-25,3.1372308066968296e-97,5.8209449626539018e-25,4.0836640518363261e-62,2.7290534858155723e-55,3.585798200895986e-63,2.3038461102338488e-90,5.2417460188114393e-41,5.889740303605332e-76,3.5387342258829902e-14,1.032196936539686e-14,2.339250791395713e-19,2.3897410759236985e-29,2.3392507912039814e-19
2.249609670762306e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559990867,0.099999999999929229,0.099999999999989694,4.4282718650792246e-114,6.5538261718259627e-53,7.7888153381435164e-38,1.2148139358400574e-61,9.3183089698405626e-45,2.0963717728303218e-40,1.164239472820512e-24,1.0040309120920155e-95,1.1642205749168659e-24,3.2671949052383236e-61,4.3667839437536893e-54,2.8687933726086695e-62,3.686364440395704e-89,2.0972248496140636e-40,9.4243823502409715e-75,7.0776604507623392e-14,2.0644498763850596e-14,4.6786285025364694e-19,9.5593104631957402e-29,4.6786285017695179e-19
4.499280367747947e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559981724,0.099999999999858452,0.099999999999979369,2.8351765712933246e-112,6.5616905272169539e-52,3.1155899459234546e-37,9.7188683750143498e-61,7.4548831094957805e-44,8.3857743712185201e-40,2.328548325447512e-24,3.2131977984703247e-94,2.3284727322949653e-24,2.6139296383101016e-60,6.9870475875225912e-53,2.2951189775591717e-61,5.8984072493238588e-88,8.3925990904237082e-40,1.5080031089909184e-73,1.4155512900403187e-13,4.1289557560742751e-14,9.3573839259622052e-19,3.8237677298129022e-28,9.3573839228943683e-19
8.998621761719227e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559963439,0.099999999999716899,0.099999999999958719,1.8157493548682049e-110,7.3589931255564012e-51,1.2462489948248569e-36,7.7753889072881034e-60,5.9640008652086456e-43,3.3544372098873052e-39,4.6572794230379558e-24,1.028342534738467e-92,4.6569770473517557e-24,2.0913223927857586e-59,1.1179285407078061e-51,1.836164659344466e-60,9.4378088647052182e-87,3.3598969587592918e-39,2.4130084502599987e-72,2.8311217799213491e-13,8.2579675154465757e-14,1.8714894777390545e-18,1.5294952505714805e-27,1.8714894765119344e-18
1.799730454966179e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559926868,0.099999999999433778,0.099999999999917433,1.1636143507965675e-108,9.2623993860444146e-50,4.9850240459985992e-36,6.2206711301510666e-59,4.7712384478559562e-42,1.3418563803587124e-38,9.3151951875650675e-24,3.2913440086999291e-91,9.3139856786677107e-24,1.6733041079458516e-58,1.7886398944196852e-50,1.4690167428003381e-59,1.510134943106045e-85,1.3462240593184053e-38,3.8613664893084505e-71,5.6622627594948507e-13,1.6515991034166667e-13,3.7429916498554722e-18,6.1177929261449892e-27,3.7429916449471874e-18
3.599467012554691e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559853727,0.09999999999886755,0.099999999999834846,7.4666247536373487e-107,1.2809667821876896e-48,1.9940168586908616e-35,4.9770686197607001e-58,3.817005867587939e-41,5.3680365470211298e-38,1.8632840994007718e-23,1.0536263510091003e-89,1.8628002946109096e-23,1.3390213400742806e-57,2.8616383925341558e-49,1.1753389593383383e-58,2.4164665477483824e-84,5.4029757456866681e-38,6.1798774604735265e-70,1.1324544717887621e-12,3.3032038071508785e-13,7.4859960014113065e-18,2.4469480557772543e-26,7.4859959817798743e-18
