Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),C2H4X(65)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,0.0,1.9187973403517705e-54,1.6795213970675496e-30,2.5819661685020765e-73,8.2239270036556107e-46,1.8848674373972636e-111,5.123968476822695e-17,9.0620080988049256e-90,5.123968476819354e-17,5.8341619007507473e-61,1.7862553593690814e-59,2.6887700688626397e-94,3.1176227610159843e-95,9.7365120301953459e-45,1.3026273003541939e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182229063631e-19,5.094413241771432e-32,1.8863740755240502e-31,3.3169182220577979e-19,2.7335875891918926e-29,4.2142262312537215e-36,7.3109073357796309e-42,4.0321887884080384e-67,6.3884162657329003e-44,1.0122526848886571e-81,4.7351771431829387e-88,9.8772974934013968e-46,9.1041356981824785e-96,1.1808514604285428e-85
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,0.0,3.0725757136089357e-53,6.7224625473743146e-30,1.8979376204555214e-71,6.5858115011658028e-45,5.5385914007488475e-109,1.0252388707323238e-16,5.8086490869540884e-88,1.0252388707309867e-16,9.3447982420523367e-60,2.8613345028936165e-58,3.9512348819675313e-92,4.5814478315693189e-93,7.7951295915373044e-44,4.1730859174846808e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367182172517138e-19,2.0390928693949245e-31,7.5504123306196275e-31,6.63671821385524e-19,1.0941472602928796e-28,3.3739420501439699e-35,6.7319773339792923e-41,1.4832357691855234e-65,5.1146174431770176e-43,6.4858057037470268e-80,6.9584964908139081e-86,7.9078435467285342e-45,1.1666689518047207e-93,7.5660682486091047e-84
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,0.0,4.918121873191307e-52,2.6898606602654009e-29,1.5271960132933719e-69,5.2713184640538362e-44,1.7810967113964546e-106,2.0509229168340975e-16,3.720406451674555e-86,2.050922916828747e-16,1.4959793172731853e-58,4.5807974627298308e-57,6.3550490724543459e-90,7.3686649008705777e-91,6.23847237407874e-43,1.3361365197796718e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318207776486e-18,8.1590269610954251e-31,3.0211484156410981e-30,1.3276318194186175e-18,4.3780128825824767e-28,2.7001768654393153e-34,6.7942501952887189e-40,5.9746258330867714e-64,4.0932483912085824e-42,4.1532814688051848e-78,1.1191839497158138e-83,6.3286777639523947e-44,1.4941941407790066e-91,4.8450432414879204e-82
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,0.0,7.8705952076702829e-51,1.0761194173287507e-28,1.376880015531967e-67,4.2181227371938155e-43,6.4166976863748481e-104,4.1022910090443024e-16,2.3819792744870825e-84,4.1022910090228976e-16,2.3942163712947803e-57,7.3314057137986629e-56,1.1451396226351044e-87,1.3277867796391969e-88,4.9917251041440742e-42,4.2768356697617659e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555518196162342e-18,3.2641416219393319e-30,1.2086560889409969e-29,2.6555518141792219e-18,1.751489150820829e-27,2.1605482476988798e-33,7.6874503427024293e-39,2.6969264435482983e-62,3.2752206205321064e-41,2.6588574395677655e-76,2.016698640771904e-81,5.0639030728242707e-43,1.9131177201279385e-89,3.1017107217393567e-80
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,0.0,1.2594230184378668e-49,4.3048280007994017e-28,1.3923504365047011e-65,3.3749254281589638e-42,2.59316387486186e-101,8.2050271934913446e-16,1.5247609282148398e-82,8.2050271934057177e-16,3.8312658383509682e-56,1.1731950900926112e-54,2.3146109755355893e-85,2.683786144022001e-86,3.9937582409982245e-41,1.3687792517634842e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113918202279329e-18,1.3057625559428512e-29,4.8350178130354255e-29,5.3113917984781041e-18,7.0065181506790939e-27,1.728597121942016e-32,9.7524979291770691e-38,1.3652729414021632e-60,2.6204252860527243e-40,1.7019111338228509e-74,4.0762477280257838e-79,4.051506020943921e-42,2.4491422365971837e-87,1.9853771085699805e-78
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,0.0,2.0151782717306355e-48,1.722001269184371e-27,1.5453010283656946e-63,2.7001112481048527e-41,1.1504464202178571e-98,1.6410499562491955e-15,9.7594114594539773e-81,1.6410499562149443e-15,6.1304410842774242e-55,1.8772475475096875e-53,5.1354723972962616e-83,5.9545685207802687e-84,3.1951566403346634e-40,4.3804005633957881e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623071833189485e-17,5.2232599024710018e-29,1.9340858065758211e-28,1.0623071746186564e-17,2.8027143828039794e-26,1.3829343972094492e-31,1.3565714115860344e-36,7.5829687610253653e-59,2.0964397500473389e-39,1.0893006889502211e-72,9.0440500389305013e-77,3.2413569331344136e-41,3.135127070192596e-85,1.2707311980712925e-76
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,0.0,3.2243638556709371e-47,6.8881452175449004e-27,1.8263056648055455e-61,2.1601573624562429e-40,5.4363411298327409e-96,3.2821444300919288e-15,6.246324632836993e-79,3.2821444299549218e-15,9.8090383342558213e-54,3.0037020079256347e-52,1.2135305102022314e-80,1.4070858541222892e-81,2.5561833750848102e-39,1.4017772918347846e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246431906065575e-17,2.0893441829265066e-28,7.7365004886710079e-28,2.1246431558046259e-17,1.1211030252616961e-25,1.1063594571307628e-30,2.0074227111636242e-35,4.4834271415386021e-57,1.6771916096454666e-38,6.9717725958882925e-71,2.1371413553472448e-74,2.5931442876462892e-40,4.0131066455418857e-83,8.1329610828439692e-75
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,0.0,5.1590369534466225e-46,2.7552861158956332e-26,2.2404855880235135e-59,1.728153235419086e-39,2.667065380024336e-93,6.5643333779478408e-15,3.9977441779379621e-77,6.5643333773998065e-15,1.5694727397433553e-52,4.8060002952324942e-51,2.9770187054594714e-78,3.4518463775074483e-79,2.0449667930214764e-38,4.4857658910249945e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493152239632613e-17,8.3574434599196028e-28,3.0946315656960391e-27,4.2493150847536769e-17,4.484413424089198e-25,8.8507515625014011e-30,3.0813430065774476e-34,2.7509617601624426e-55,1.3417692118719786e-37,4.4620138496890209e-69,5.2428097062502738e-72,2.0745355556224443e-39,5.1368686275578081e-81,5.2051773247530927e-73
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,0.0,8.2544769908142312e-45,1.1021200525320876e-25,2.8053521908020245e-57,1.3825335257169547e-38,1.3356256867782423e-90,1.3128711274341444e-14,2.5585871195324315e-75,1.3128711272149297e-14,2.5111776618632471e-51,7.6896376120561513e-50,7.4545375998942057e-76,8.6435192403103869e-77,1.6359764597025305e-37,1.4354576397862417e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986593658049496e-17,3.3429797566291861e-27,1.2378588343310787e-26,8.4986588089602319e-17,1.7937390578264422e-24,7.0802766656026429e-29,4.8255428661918151e-33,1.7225506426336879e-53,1.0734217393622639e-36,2.8557142261261775e-67,1.312814020951901e-69,1.6596311007572119e-38,6.5752507046371734e-79,3.3313297889780504e-71
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,0.0,1.3207094398496948e-43,4.4084914254875815e-25,3.5501821533714099e-55,1.1060311941294803e-37,6.7605226709072907e-88,2.6257467069855765e-14,1.637505618324704e-73,2.6257467061087156e-14,4.0179012595143608e-50,1.2303371405797193e-48,1.8866679324535455e-73,2.1875871124926376e-74,1.3087743588626394e-36,4.5934844413850192e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997347950020063e-16,1.3371835988714026e-26,4.9514472252907045e-26,1.6997345722607175e-16,7.1746910097685244e-24,5.6636516432459889e-28,7.636615415345829e-32,1.0900394810842805e-51,8.5873993970001829e-36,1.8276651667044493e-65,3.3225987351782428e-67,1.3276973128286214e-37,8.4163583254953236e-77,2.1320434644970476e-69
