Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CH3OO(84),COX(57)
6.6493101652176886e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,1.3892926058197092e-116,1.7663033360696059e-54,7.3890358879623196e-38,6.1494660982119478e-62,1.7681282989501909e-48,4.0866486917003677e-41,1.4063219074565714e-23,2.0011344602435221e-95,1.4063218777475219e-23,2.3158106407913262e-60,4.0626656299742511e-59,1.7309034424855983e-62,6.423191989283409e-89,4.0866819269233491e-41,1.0255486956924992e-74,2.6814725642087833e-15,1.2892758379774985e-16,4.9695656826162294e-20,3.6496291843699828e-32,4.9695656827327982e-20,7.0211687447566713e-46,4.5255372173525433e-31,5.1028146455690739e-38,1.6802628808283839e-44,2.3288809038345217e-69,2.6931983625801712e-51,4.6620125088992763e-38,5.7881324214569678e-77
1.3304397315809154e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,8.9071757727155097e-115,2.4550240638942962e-53,2.9575400167166525e-37,4.9233121004642387e-61,1.4159366542713305e-47,1.6357245176976286e-40,2.8138657005413159e-23,6.4132162312462598e-94,2.8138655816276943e-23,1.8545267921546758e-59,6.5078296628264269e-58,1.3857752408133681e-61,1.0285476158446128e-87,1.635751126084201e-40,1.642660279962446e-73,5.3652748178722098e-15,2.5796718113485135e-16,9.9434489721117006e-20,1.4608027797892447e-31,9.9434489725782824e-20,5.6212041035171576e-45,1.8113940716649437e-30,4.085352716750015e-37,2.6446184202331073e-43,1.4664673819866254e-67,2.156196285751718e-50,1.8660199928573181e-37,9.2685533993817325e-76
2.6614571616992084e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,5.7056749107908119e-113,3.6308499180120915e-52,1.1834012626838698e-36,3.940146108679793e-60,1.1333232097469572e-46,6.5450289377753286e-40,5.6289534651998495e-23,2.0537644292155102e-92,5.6289529893904719e-23,1.4843732021251349e-58,1.0418582998218342e-56,1.1090413955395822e-60,1.6463460783205521e-86,6.5452418857322077e-40,2.6296833078183449e-72,1.0732879325194077e-14,5.1604637580904414e-16,1.9891215550673411e-19,5.8451137846654172e-31,1.9891215552540357e-19,4.4986715799103751e-44,7.2479341016716651e-30,3.2695210272987758e-36,4.1963041042069027e-42,9.3083820472637119e-66,1.7256123659365216e-49,7.4665108453083464e-37,1.4835722009287534e-74
5.3234920219357946e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,3.6533262525347514e-111,5.5714729545068946e-51,4.7343757839457002e-36,3.1527157463124931e-59,9.0688817832505435e-46,2.6184379515377603e-39,1.1259129708473093e-22,6.5745046885345351e-91,1.1259127804925763e-22,1.1877994855820849e-57,1.667457832433744e-55,8.874016786118853e-60,2.6346899042017977e-85,2.6186083422510709e-39,4.2086355962988034e-71,2.1468088339817858e-14,1.0322047651573888e-15,3.9786748706079908e-19,2.338426030220615e-30,3.97867487135489e-19,3.5996206068629316e-43,2.8996442895581454e-29,2.6161091464557774e-35,6.6859936571591206e-41,5.932683477235046e-64,1.3807521140340592e-48,2.9870907443707655e-36,2.3741986764142895e-73
1.0647561742408968e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.3387570494507578e-109,8.7239922738947904e-50,1.8939045603617325e-35,2.5224124246690091e-58,7.2560239796809505e-45,1.0474605758322406e-38,2.2519485050844296e-22,2.1042356436350805e-89,2.2519477436035272e-22,9.5036020164269142e-57,2.6683200806686758e-54,7.0998884699555085e-59,4.2159332654043451e-84,1.0475969013356729e-38,6.7347324972546004e-70,4.2938506368985601e-14,2.0645215438539137e-15,7.957781501002521e-19,9.3544646401255202e-30,7.9577815039903654e-19,2.8799696567548544e-42,1.1599510672555072e-28,2.0930789513289861e-34,1.0675082764493269e-39,3.788996767680277e-62,1.1047066394739436e-47,1.1949337156995346e-35,3.7991048057801794e-72
2.1295701183355312e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.497115592615823e-107,1.3806072537679433e-48,7.5759274593119245e-35,2.0180263157280289e-57,5.8051866255347136e-44,4.1900140107232019e-38,4.5040207158885552e-22,6.734189216263412e-88,4.5040176698410042e-22,7.6033677582134482e-56,4.2696216913954263e-53,5.6801819593212754e-58,6.745838215343859e-83,4.191104666361015e-38,1.0776309506324163e-68,8.5879342427001839e-14,4.1291551012463043e-15,1.5915994759044508e-18,3.7419375111774753e-29,1.5915994770996381e-18,2.3040846875624054e-41,4.6399846980833791e-28,1.6745313119969168e-33,1.7062040333117945e-38,2.4223983967790474e-60,8.8380737076440977e-47,4.7799307438389922e-35,6.0788784471603945e-71
4.2591980065248e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,9.5839452284698773e-106,2.1967849551547476e-47,3.030433399049794e-34,1.6144606476276396e-56,4.6442962786367593e-43,1.6760406750868096e-37,9.0081697068163443e-22,2.1550450341327097e-86,9.0081575223782502e-22,6.0828945312590345e-55,6.8316407595406258e-52,4.544255887729999e-57,1.0793623874411299e-81,1.6769132200440837e-37,1.7242701316743346e-67,1.7176101454175723e-13,8.2584222160284524e-15,3.1832421264140179e-18,1.4968049727246776e-28,3.1832421311948713e-18,1.8433108365794805e-40,1.8560249413270714e-27,1.3396386999098016e-32,2.7284521684651516e-37,1.5494846878885246e-58,7.0706284496633219e-46,1.9120123050069287e-34,9.7264598962581758e-70
8.518453782903338e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,6.1363165348266445e-104,3.5051044263770466e-46,1.2121862993128974e-33,1.2915903756819674e-55,3.715495810301899e-42,6.7042386722424401e-37,1.8016485965950047e-21,6.8963295581852333e-85,1.8016437227701913e-21,4.8664051333216801e-54,1.0930816920494658e-50,3.6354517893491466e-56,1.7270100656150295e-80,6.7112191105270961e-37,2.7588858447614177e-66,3.4352435876615981e-13,1.6516956445582227e-14,6.3665274230378292e-18,5.9872769214401565e-28,6.3665274421614915e-18,1.4746651049063937e-39,7.4241216955155397e-27,1.0716946435785126e-31,4.3642582030141898e-36,9.9135823723502912e-57,5.6565725417444001e-45,7.6481358802280952e-34,1.5562607121242291e-68
1.7036965335660413e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,3.9305791847681835e-102,5.6003598753560179e-45,4.8487747288076984e-33,1.0333463365648896e-54,2.9724201557167682e-41,2.6817153270911915e-36,3.6033191593329755e-21,2.2068668228553954e-83,3.6032996639345938e-21,3.893174913869708e-53,1.7489443985894134e-49,2.9083849840284128e-55,2.7634048055925541e-79,2.6872997041093484e-36,4.414276722352059e-65,6.8705104719453232e-13,3.3034024904647663e-14,1.2733097998704174e-17,2.3949198495370395e-27,1.273309807519964e-17,1.1797373795073822e-38,2.9696209093511264e-26,8.5731434832636234e-31,6.9815263658799074e-35,6.3431843196668776e-55,4.5252891266254736e-44,3.0592769998527e-33,2.4901867780602818e-67
3.4073988441174565e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,2.5216449808068769e-100,8.9543112078079359e-44,1.9395187193570523e-32,8.2752341818169594e-54,2.3779455153415216e-40,1.0726938334849473e-35,7.2066895284536728e-21,7.0621148459171335e-82,7.206611546662073e-21,3.1145842599629895e-52,2.7983167260119716e-48,2.3267249614938922e-54,4.4257105164012902e-78,1.0771613375591266e-35,7.0629429347150057e-64,1.3741044239695463e-12,6.6068161822610091e-14,2.546623907971174e-17,9.5796789585908043e-27,2.5466239385697823e-17,9.437899759022586e-38,1.1878170872181541e-25,6.8577919632238494e-30,1.116853440809997e-33,4.0585025265707113e-53,3.6202488267903212e-43,1.2237195820219545e-32,3.9881389090192853e-66
