Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),C2H4(47),COX(50),C2H6X(52),C2H4X(210),C2H4X(65)
5.883606884761695e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,2.0254669402349889e-54,1.7249138672586464e-30,2.8025470751100788e-73,8.5595721230722004e-46,2.1011679825971937e-111,5.1927496547771826e-17,9.8168027243683717e-90,5.1927496547737523e-17,6.1537836265016444e-61,9.3192582446466741e-59,2.9576318396483241e-94,3.4293673708916175e-95,6.2121239105218453e-44,1.3924347631133866e-71,2.8359031411076443e-15,8.3966051670989558e-17,3.3614426073953224e-19,5.2321002354564175e-32,1.9373571586318765e-31,3.3614426065238232e-19,2.8074683290306025e-29,4.3862224406269509e-36,7.6246233998285963e-42,4.3187499801352123e-67,6.6491482420075238e-44,1.0280422295602016e-45,1.0965654418315822e-81,5.2086680252506234e-88,7.9742784340847774e-60,9.9948268825261652e-96,1.2792071804118575e-85
1.17723255044363e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,3.2433864479479816e-53,6.9041507243310326e-30,2.0630998226407267e-71,6.8545998168665408e-45,6.1831958218083265e-109,1.0390010820989059e-16,6.2924642706078226e-88,1.0390010820975327e-16,9.8567484744433347e-60,1.4928165647458905e-57,4.3526900941145566e-92,5.0469342341956424e-93,4.9734763394841015e-43,4.4607923535582959e-70,5.6742701424581669e-15,1.6800505386471499e-16,6.7258056694646432e-19,2.094203607027694e-31,7.7544775286288324e-31,6.7258056659763738e-19,1.123718803212729e-28,3.5116435239300568e-35,7.0312858898413491e-41,1.5909858805988844e-65,5.32336156040087e-43,8.2305887137605945e-45,7.0260227543191952e-80,7.6654969015428659e-86,1.2772704008145003e-58,1.2808084796901949e-93,8.1962627403844519e-84
2.354976274378551e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998822,0.11866996602995376,0.022821567693054119,0.0,5.1915307907166651e-52,2.7625595970298552e-29,1.6634661481527599e-69,5.4864580578939089e-44,1.9924173829799983e-106,2.0784533153429905e-16,4.0302873041274963e-86,2.0784533153374959e-16,1.5779358174865371e-58,2.3898955899634344e-56,7.0149330755418488e-90,8.1337988969471821e-91,3.980292570615718e-42,1.428254219677941e-68,1.1351004145155153e-14,3.360830582521605e-16,1.345453179548693e-18,8.3795421599785459e-31,3.1028010754307364e-30,1.3454531781529309e-18,4.496337517825509e-28,2.8103797750781374e-34,7.1108490809537013e-40,6.4217003306485259e-64,4.2603071265870298e-42,6.5869723195634879e-44,4.4992174353816542e-78,1.2353957328582038e-83,2.044741954574958e-57,1.6403766662726551e-91,5.2485975618417008e-82
4.710463722248394e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997651,0.1186699660299422,0.022821567693053952,0.0,8.308139491197839e-51,1.1052037259056227e-28,1.5031722648221177e-67,4.390277999416475e-43,7.1944534866622364e-104,4.1573577818379991e-16,2.5803795777002463e-84,4.1573577818160161e-16,2.5253823521831618e-57,3.8249445128383725e-55,1.2669413129483791e-87,1.4690155616415653e-88,3.1848387349453549e-41,4.5716949591188999e-67,2.2704472150532899e-14,6.7223906702703038e-16,2.6911984055066088e-18,3.3523624312738546e-30,1.2413224696491295e-29,2.6911983999226499e-18,1.7988266656246225e-27,2.2487271275625575e-33,8.0640983262876805e-39,2.9053733782493897e-62,3.4088929908988401e-41,5.27057849441285e-43,2.8803195352998079e-76,2.2312028796196409e-81,3.2724748307428732e-56,2.1002850849545665e-89,3.3600590320615214e-80
9.421438617988079e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,1.3294374976534823e-49,4.4211747035270602e-28,1.523183867042755e-65,3.5126670749185032e-42,2.9134593793486971e-101,8.3151667148553667e-16,1.6517616262114123e-82,8.3151667147674254e-16,4.0411598762190413e-56,6.120800415506856e-54,2.5660687554515044e-85,2.9753508659602163e-86,2.5481128045808636e-40,1.4631474502527614e-65,4.541140816122349e-14,1.3445510845766859e-15,5.38268886043628e-18,1.341054048289825e-29,4.9656939695519844e-29,5.3826888380986181e-18,7.1958832675768797e-27,1.7991466175403628e-32,1.0251175731700799e-37,1.473809031412854e-60,2.7273733362577113e-40,4.2168629106038053e-42,1.8436670628003832e-74,4.5190885395109616e-79,5.2366699927844644e-55,2.6887508574371663e-87,2.1507435288895419e-78
1.884338840946745e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,2.1272079674182327e-48,1.7685418440298724e-27,1.6930361633341306e-63,2.8103115407186737e-41,1.2944849193589283e-98,1.6630784580999507e-15,1.0572294347748943e-80,1.6630784580647736e-15,6.4662943210992025e-55,9.7939914204152266e-53,5.7019254153178739e-83,6.6113695018780722e-84,2.0385868465236795e-39,4.6823999611435933e-64,9.0825280182345003e-14,2.6891751196756596e-15,1.0765669782351027e-17,5.3644339889069716e-29,1.9863583954687068e-28,1.0765669692996674e-17,2.8784632293481073e-26,1.4393761827274328e-31,1.4280415841019881e-36,8.1979897579522289e-59,2.182002251995043e-39,3.3736500899475932e-41,1.1800309438751633e-72,1.0041627093108513e-76,8.3792402388181671e-54,3.4418481180528995e-85,1.3765731815047627e-76
3.7687287992426193e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981281,0.11866996602978033,0.022821567693051596,0.0,3.4036185552795449e-47,7.0743113045270217e-27,2.0027722767214933e-61,2.2483203866955198e-40,6.1227156517052682e-96,3.3262020313725418e-15,6.7665947771019038e-79,3.3262020312318315e-15,1.034642173433722e-53,1.5670952792802578e-51,1.3486461454136512e-80,1.5637521244004229e-81,1.6309079130611842e-38,1.4984204849590616e-62,1.8165302422354942e-13,5.3784231898722548e-15,2.1531631674402518e-17,2.1458168646217622e-28,7.9455950926806075e-28,2.1531631316977253e-17,1.151402954360156e-25,1.1515131727431859e-30,2.1151186978644664e-35,4.8515525444568526e-57,1.7456432359639257e-38,2.6989835092653216e-40,7.5524668989159942e-71,2.3750926946798727e-74,1.340723899545073e-52,4.405723674141642e-83,8.8103730980094957e-75
7.537508715834368e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,5.4458565043350218e-46,2.8297533082342939e-26,2.458264567612853e-59,1.7986847708557719e-39,3.0053883255981141e-93,6.6524491780927738e-15,4.330725100605017e-77,6.6524491775299294e-15,1.6554555413257292e-52,2.5073970949423886e-50,3.3102289223768062e-78,3.8382028613301703e-79,1.3047413748566509e-37,4.7950295245750303e-61,3.63308512301804e-13,1.0756919330260039e-14,4.3063555651396504e-17,8.5833516704415536e-28,3.1782702536269052e-27,4.3063554221676321e-17,4.6056125655876144e-25,9.2119730215095773e-30,3.2483275415440196e-34,2.9783927106135285e-55,1.3965311628450171e-37,2.1592114322949278e-39,4.8336648154131627e-69,5.8296242055069449e-72,2.1451946079836105e-51,5.6394274359822219e-81,5.6387277120423912e-73
1.5075068549017865e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679925159,0.11866996602922532,0.02282156769304353,0.0,8.7134180005026127e-45,1.1319070809926262e-25,3.0788959833861351e-57,1.4389592004381317e-38,1.5054749370089162e-90,1.3304943472233444e-14,2.7716974791043989e-75,1.3304943469982052e-14,2.6487513099811433e-51,4.0118689125199858e-49,8.2912265897987754e-76,9.6136582025478821e-77,1.0437985894728571e-36,1.534422867801002e-59,7.2661948844169585e-13,2.1513911611013998e-14,8.6127404376972601e-17,3.4333556490949376e-27,1.2713144760750613e-26,8.6127398658026134e-17,1.8422175148003667e-24,7.3692354641600658e-29,5.0884425796378479e-33,1.8654759893993118e-53,1.1172315601184993e-36,1.7273777952471601e-38,3.0935729558521369e-67,1.4601628000183043e-69,3.4323404647913814e-50,7.2185317361339109e-79,3.6088032004540943e-71
3.0150188215384854e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.3941488125235887e-43,4.527639842502372e-25,3.8969042413987824e-55,1.1511719123763397e-37,7.6213319258160558e-88,2.6609932063315607e-14,1.7738970696880782e-73,2.6609932054310015e-14,4.2380200274407833e-50,6.4190102023317527e-48,2.0987236523102671e-73,2.4334652293910896e-74,8.3504022227647445e-36,4.9101745476903354e-58,1.4532414406550104e-12,4.3027896172435421e-14,1.7225510491467038e-16,1.3733437665926878e-26,5.0852701038544629e-26,1.7225508203853273e-16,7.3685937619856272e-24,5.8947872390459967e-28,8.0537953575075302e-32,1.1806492053564785e-51,8.9378790031047817e-36,1.3819037750042953e-37,1.9798954241779943e-65,3.6960486807905224e-67,5.4917680071100426e-49,9.239761702204327e-77,2.3096255662818293e-69
