Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),COX(50),C2H6X(52),CH4OX(60),C2H4X(65),C2H4(47),C2H5X(51)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7339992566023e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.168828165049824e-65,9.28371881031534e-42,9.2262174197939554e-94,4.8661222164230886e-57,5.1146862438343417e-143,7.8643702354334364e-25,-3.7249527567738109e-107,7.8643702354274101e-25,1.6938216107061648e-79,2.0888916101554075e-70,2.1379285472347519e-121,1.2918348717945681e-122,1.371322467891134e-54,1.1737259702766715e-94,3.1188959911479245e-18,1.499592908845299e-19,5.7802413093303949e-23,7.4029770513307474e-38,5.7802413093306323e-23,2.8970081767394136e-54,9.1796880751741564e-37,2.1054766254165853e-46,2.5158733269175621e-54,9.2748156706227926e-85,6.8831176252151239e-58,4.5465589395523635e-42,1.8924459621216855e-111,9.3415466726241337e-74,3.8846563925549078e-87,2.3327670754699063e-111,2.0574979649224977e-111,4.2570129457079026e-75
2.1655197918486438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.6147309662245788e-64,5.6073661614318591e-41,1.0704838356153504e-91,7.3536838934856237e-56,1.937060569865285e-140,2.2020236659233146e-24,1.472236056644791e-105,2.2020236659196747e-24,4.7768479646920242e-78,6.5678094996700542e-69,4.486386043160453e-119,2.7108810284530133e-120,1.6280340338507462e-53,6.0755436690053485e-93,8.7329087752141831e-18,4.1988601447668371e-19,1.6184675666124637e-22,4.4713981389149749e-37,1.6184675666126064e-22,3.4393281073502151e-53,5.5445315961771431e-36,2.4996218476557711e-45,3.1400244541412213e-53,5.9269316388479101e-83,8.1716372446572193e-57,2.7461215994915717e-41,3.9712473846996664e-109,2.6344656264360996e-72,2.2373632060073182e-85,2.1968410350859407e-109,1.9376113486487599e-109,1.309958849761511e-73
4.949759524225471e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,5.1663642445010802e-63,2.6997054300417916e-40,1.0683547064883987e-89,7.9107575648248e-55,7.7336704560732125e-138,5.0331969506910669e-24,1.5469014311858442e-103,5.0331969506735403e-24,1.0390687767763283e-76,1.4652421702307177e-67,8.9571161063268723e-117,5.4123019928945648e-118,1.5984134684821202e-52,2.652820151055774e-91,1.9960934343346682e-17,9.5973946166099134e-19,3.6993544379711246e-22,2.1527857263937839e-36,3.6993544379718121e-22,3.3767527305755262e-52,2.6694532904185731e-35,2.4541435482652945e-44,3.4073588343577785e-52,2.9533915039944692e-81,8.0229619039564091e-56,1.3221393396247449e-40,7.9286364502160346e-107,5.7305381767748901e-71,1.0033275699255809e-83,1.9200504141793235e-107,1.6934823291762944e-107,2.9086152092534951e-72
1.0518238988979127e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,9.1933479691501795e-62,1.1790322889122079e-39,9.6026809561471215e-88,7.2713491055828992e-54,2.7828046479800063e-135,1.0695543520257807e-23,1.23274634471575e-101,1.0695543520181265e-23,1.9262584140887811e-75,2.7442364231566064e-66,1.6110751092837675e-114,9.7348576496844627e-116,1.4137786113042929e-51,9.8757843754982234e-90,4.2416985479611587e-17,2.0394463560296066e-18,7.8611281806876964e-22,9.4017808538136664e-36,7.8611281806906982e-22,2.9866995494042e-51,1.1658203836436434e-34,2.1706621684669002e-43,3.5909642191562587e-51,1.3258144412971374e-79,7.0962189469036662e-55,5.7741298532616498e-40,1.4260872231371251e-104,1.062345199833077e-69,3.7747690794128121e-82,1.4324171961912069e-105,1.2633903737180775e-105,5.4372255520970615e-71
2.165519791848644e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.5505989235214249e-60,4.9222277132486303e-39,8.7802460705628421e-86,6.2207922480283203e-53,1.0176485431410059e-132,2.2020236659516247e-23,8.772959645976518e-100,2.2020236659196695e-23,3.3107461169953887e-74,4.739985976827325e-65,2.9459155167444771e-112,1.7800578035278457e-113,1.1883661091652654e-50,3.4023575206546646e-88,8.732908775214107e-17,4.1988601447668364e-18,1.6184675666117833e-21,3.9250584313768149e-35,1.6184675666130368e-21,2.5105009329478689e-50,4.8670706003260661e-34,1.8245723318797475e-42,3.9894202824835151e-50,6.0624740183534189e-78,5.9647996041509795e-54,2.410585549777797e-39,2.6076577402173789e-102,1.8258999681406205e-68,1.3070826864171093e-80,9.8807334578165255e-104,8.7147959232369699e-104,9.382941071934047e-70
4.392911577750106e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.5468685758993252e-59,2.0108906292060002e-38,8.6634976709661375e-84,5.1434713289921794e-52,4.0140538728350479e-130,4.4669622938532936e-23,5.9158550551136305e-98,4.4669622937227473e-23,5.4873191035454761e-73,7.875557590402592e-64,5.8111551485663713e-110,3.5113675225640178e-111,9.7429433404206011e-50,1.1291184557508723e-86,1.7715329229719861e-16,8.5176877222412943e-18,3.2831770636966085e-21,1.6035144401776377e-34,3.2831770637017306e-21,2.0582603421305539e-49,1.9883571413305453e-33,1.4958946124981553e-41,4.8631204154151114e-49,2.9933565608480152e-76,4.8903030935148261e-53,9.8480285256577346e-39,5.1439030128623859e-100,3.0262952920224339e-67,4.3487464266683771e-79,6.5618445416670519e-102,5.7875395949584708e-102,1.5582864287637047e-68
8.84769514955303e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996498,0.022821567693054278,0.0,4.1285878866213117e-58,8.1283414370693384e-38,9.329672694019043e-82,4.1825854641188124e-51,1.7279799419388111e-127,8.99683954985656e-23,3.8855849147149517e-96,8.9968395493288689e-23,8.9346773599706843e-72,1.283914655203758e-62,1.2510664384860012e-107,7.5595194902877408e-109,7.8900881149516628e-49,3.6790683790623839e-85,3.5680170138730818e-16,1.7155342877190201e-17,6.6125960578614509e-21,6.4816617427112386e-34,6.6125960578821554e-21,1.6668325878006142e-48,8.0372574155315558e-33,1.2114142065601806e-40,6.5173998161745861e-48,1.6131466263032779e-74,3.9602942348288082e-52,3.980730586596167e-38,1.107415695715078e-97,4.9275373671950628e-66,1.4187808184103516e-77,4.2773919143821678e-100,3.7726549230095986e-100,2.539826628223916e-67
1.775726229315888e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999925,0.11866996602996462,0.022821567693054271,0.0,6.648966855848556e-57,3.2683703421565494e-37,1.0779099231769542e-79,3.373406701363838e-50,7.9819335629289786e-125,1.8056594062662799e-22,2.5190939107786859e-94,1.8056594060540976e-22,1.4420607522725476e-70,2.073525594943896e-61,2.8899385674233145e-105,1.7462339532172631e-106,6.3506293290404321e-48,1.1879490672913832e-83,7.1609851956750475e-16,3.4430653187087956e-17,1.3271434046171904e-20,2.6062476758314969e-33,1.3271434046255153e-20,1.3416118757918431e-47,3.2317458088428634e-32,9.7505148883357274e-40,9.3975910729261424e-47,9.3247300223213911e-73,3.1875893380513859e-51,1.6006342610584474e-37,2.5581082109685217e-95,7.9530651769570035e-65,4.5840829568069411e-76,2.7626865870438543e-98,2.4366865139141136e-98,4.1013631487803805e-66
3.557639658037058e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999848,0.11866996602996389,0.022821567693054254,0.0,1.0673066981942659e-55,1.3107626886855765e-36,1.3041072927470694e-77,2.7097037162422315e-49,3.8616338949447648e-122,3.6176103091474106e-22,1.622642984216237e-92,3.6176103082964651e-22,2.3173536362489434e-69,3.3331318254848461e-60,6.9914008563986517e-103,4.2245263250893155e-104,5.0959800750104033e-47,3.8185572942706957e-82,1.4346921559278086e-15,6.8981273806883287e-17,2.658911002271588e-20,1.0452218824544274e-32,2.6589110023049737e-20,1.0765590353037394e-46,1.2960745735679936e-31,7.8241732450539592e-39,1.4204131826712921e-45,5.6429717044352377e-71,2.5578396965011167e-50,6.4192592886350288e-37,6.188629797672442e-93,1.278036223347732e-63,1.4739837450264557e-74,1.7762106334824083e-96,1.5666158258033404e-96,6.592448459132556e-65
