Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),COX(50),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32665673491436e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.413638155123702e-66,8.3315397842562018e-42,6.6482126189331574e-94,4.1370250362344437e-57,3.3075277449473614e-143,7.4501587477909836e-25,-9.3267403738290275e-118,7.4501587477855727e-25,1.3641892693053639e-79,1.6823722462084694e-70,1.4594054581471856e-121,8.8184029151724272e-123,1.1658537218420124e-54,8.9552046556487463e-95,2.9546266505694332e-18,1.4206107501034378e-19,5.4758013950263702e-23,6.6436973537655574e-38,5.4758013950265829e-23,2.4629459258495302e-54,8.2381801539260291e-37,1.7900099208323984e-46,2.132382666294086e-54,7.0548063445810705e-85,5.8518098352060194e-58,4.0802433213964968e-42,1.2918331400978032e-111,7.5235990582934631e-74
2.0514638857760205e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.1058810801871186e-64,5.0322500296919336e-41,7.6953998975122463e-92,6.2518722347291672e-56,1.2496983262522986e-140,2.0860444493832276e-24,1.8002469583373086e-116,2.0860444493799605e-24,3.8472320097073995e-78,5.2896475422717372e-69,3.0553023866118366e-119,1.8461550436460257e-120,1.3841015385469918e-53,4.635471839638004e-93,8.2729546215944087e-18,3.9777101002896261e-19,1.5332243906073418e-22,4.0127932015989049e-37,1.5332243906074697e-22,2.9240094031083067e-53,4.9758608119272752e-36,2.1250997763701939e-45,2.6549341938911498e-53,4.4974943375626676e-83,6.9472686363580606e-57,2.4644669661251374e-41,2.7044854834573266e-109,2.1217753120144045e-72
4.68906031034519e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.1609438432262578e-63,2.4228117692634814e-40,7.6459880724976243e-90,6.7254788608724929e-55,4.9673146209622418e-138,4.7681015985984955e-24,1.900885821716376e-114,4.7681015985827667e-24,8.3685699616990474e-77,1.1800912684698544e-67,6.072921178421668e-117,3.6695399160279486e-118,1.3589190981051269e-52,2.0240284190042342e-91,1.8909610563644341e-17,9.0919088006620029e-19,3.504512892816583e-22,1.9319871903617843e-36,3.5045128928172004e-22,2.8708097709834153e-52,2.3956627871956183e-35,2.0864355586319503e-44,2.8679506618585357e-52,2.2310954782111417e-81,6.8208695439206967e-56,1.186534757864582e-40,5.3756142898070723e-107,4.6153247573308205e-71
9.964253159483528e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,7.4042407426720685e-62,1.0581055526023746e-39,6.8254606453768904e-88,6.1818737711124897e-54,1.7752128879182821e-135,1.0132215897057064e-23,1.5024919316144759e-112,1.0132215896988372e-23,1.5513918333724922e-75,2.2101803424536442e-66,1.0848594861783318e-114,6.5552228834416576e-116,1.2019485529150021e-51,7.53495031952386e-90,4.0182922447744132e-17,1.9320306201406754e-18,7.4470898972343931e-22,8.4374956381121026e-36,7.4470898972370855e-22,2.5391987313215538e-51,1.0462488779303319e-34,1.8454286172917529e-43,3.0015366256894173e-51,9.9468868432843807e-80,6.0329818677135723e-55,5.181909018199182e-40,9.6029340492759588e-105,8.5560342682861943e-70
2.0514638857760207e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.2488385910828677e-60,4.417382393629165e-39,6.185903798600599e-86,5.2887231619921061e-53,6.4347153448091161e-133,2.0860444494086339e-23,1.0649130723353043e-110,2.0860444493799565e-23,2.6664461792397774e-74,3.8175369079630048e-65,1.9662535871484406e-112,1.1881013784124651e-113,1.0103101814070902e-50,2.5959046312057453e-88,8.2729546215943406e-17,3.9777101002896261e-18,1.5332243906067313e-21,3.5224883359133565e-35,1.5332243906078561e-21,2.1343495314946831e-50,4.3678831030471143e-34,1.5511939378406033e-42,3.3050057594521973e-50,4.5081906480072218e-78,5.0710847742495375e-54,2.1633450090274913e-39,1.7404837918441905e-102,1.4705636830974318e-68
4.161541025431356e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.0512253141700463e-59,1.8046448434430214e-38,6.047963181026978e-84,4.3728185842094826e-52,2.514970542069113e-130,4.2316901688593448e-23,7.1663767879669203e-109,4.2316901687421874e-23,4.4194389941761661e-73,6.3428946667037992e-64,3.8432646423330396e-110,2.3222782905539604e-111,8.2831332683976833e-50,8.6148610149351713e-87,1.678227937523407e-16,8.0690690605875229e-18,3.1102551923722366e-21,1.4390514207233725e-34,3.1102551923768325e-21,1.7498686972601455e-49,1.784422761729744e-33,1.2717624923625321e-41,3.9921097694563215e-49,2.2056265297376794e-76,4.1575816799822298e-53,8.8379702440729818e-39,3.4019720860228833e-100,2.4373514586941543e-67
8.381695304742028e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.3251279886469584e-58,7.2946629951410316e-38,6.4638877890664985e-82,3.5559034507398791e-51,1.07446559027435e-127,8.5229816079401882e-23,4.7021219341006097e-107,8.5229816074666179e-23,7.1959107372152523e-72,1.0340519164256162e-62,8.2115429073296797e-108,4.9617940996274479e-109,6.7078960714656992e-49,2.8070270363645697e-85,3.380092888251302e-16,1.625178698118331e-17,6.2643167958989318e-21,5.8168759233600802e-34,6.2643167959175117e-21,1.4170890384363806e-48,7.2129220559751498e-33,1.0299062113372062e-40,5.3101128965876438e-48,1.1796927162386654e-74,3.3669174370586187e-52,3.5724488797227207e-38,7.268674512890106e-98,3.9685950083469384e-66
1.682200386336337e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,0.0,5.3550188095304027e-57,2.9331519072998764e-37,7.4295751066597202e-80,2.8679649544610545e-50,4.9375057827575644e-125,1.7105564486819558e-22,3.0469050358514292e-105,1.710556448491536e-22,1.1614228941554892e-70,1.6699966050447353e-61,1.8870416996184181e-105,1.1402378915357065e-106,5.3990983256213608e-48,9.0637202029420012e-84,6.7838227897068914e-16,3.2617222822374839e-17,1.2572440002935065e-20,2.3389402222333637e-33,1.2572440003009771e-20,1.1405965404604088e-47,2.9002841936356435e-32,8.2895807419354737e-40,7.6178795757077628e-47,6.7841697821461716e-73,2.7099880685816032e-51,1.4364659824012356e-37,1.6703671964828207e-95,6.4053283436189259e-65
3.3702620980606053e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,0.0,8.5959932861139728e-56,1.1763251032904517e-36,8.9609298782774081e-78,2.3037054180323608e-49,2.3813461468466461e-122,3.4270730247449045e-22,1.9621215497773672e-103,3.4270730239812361e-22,1.8663754116569394e-69,2.6844707618118918e-60,4.5510448807611378e-103,2.7499518532964937e-104,4.3324363726025114e-47,2.913451868994631e-82,1.3591282592617271e-15,6.5348094504757723e-17,2.5188686416938289e-20,9.3801963836758232e-33,2.5188686417237901e-20,9.1525688883725672e-47,1.1631436467515381e-31,6.6518657715769584e-39,1.1479314745015774e-45,4.0929366418214033e-71,2.1745947560134984e-50,5.7608710650694738e-37,4.0284833546694849e-93,1.0293190692442563e-63
