Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
6.160308429704636e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997501,0.099999999999980632,0.099999999999997188,1.8701636899825462e-117,1.5166223283731008e-50,5.840899592048343e-39,2.4948011595048591e-63,1.9135795879941391e-46,1.5720710217599586e-41,3.1881040499926069e-25,1.5461936914778227e-98,3.1880898782949963e-25,6.7092424872435465e-63,3.5262790808350828e-55,5.8914909754042176e-64,2.0732456938984359e-91,1.5756682056776703e-41,5.3000069381654746e-77,1.9381393983337219e-14,5.6532687165647797e-15,1.281190909434321e-19,7.1686710386847162e-30,1.2811909094352695e-19,1.007227002607568e-42,2.9231700981549944e-30,2.349952934917571e-36,6.9209747694423704e-42,4.5405667654368923e-64
1.2321285368191661e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994997,0.099999999999961245,0.099999999999994357,1.1992316482248232e-115,2.426761699406981e-49,2.3365507704635802e-38,1.9960529803256486e-62,1.5310574900982804e-45,6.2888198384271846e-41,6.3765824155003625e-25,4.9488073280036775e-97,6.3765257240963138e-25,5.3681247222267513e-62,5.6428658934726481e-54,4.7136570682323089e-63,3.3175661622938997e-90,6.3176000390230048e-41,8.4812396723956476e-76,3.8764891210613379e-14,1.1307150918610021e-14,2.5625208521214877e-19,2.867701449438222e-29,2.5625208521252817e-19,8.0585801024590031e-42,1.1693622631883009e-29,1.880133906457868e-35,1.1073255049567478e-40,2.9060337399475113e-62
2.464323924516571e-19,0.09977366400000001,0.80000000000000004,0.0,0.2893436255998999,0.099999999999922484,0.099999999999988709,7.7030373122858675e-114,3.882950788043296e-48,9.3465896597659544e-38,1.5971272619426275e-61,1.2249235247671497e-44,2.5156494680609986e-40,1.2753624190768135e-24,1.5838064906807198e-95,1.2753397415924394e-24,4.2948535082538548e-61,9.0292394089507116e-53,3.7711314972452982e-62,5.309030964518311e-89,2.5386747164466266e-40,1.3571154220511975e-74,7.7531885664812181e-14,2.2614915322695903e-14,5.1251807376636692e-19,1.1471269826662466e-28,5.1251807376788474e-19,6.4471685070409466e-41,4.6776318665641599e-29,1.5041674157136988e-34,1.7716869291165911e-39,1.8598664983306203e-60
4.928714699911381e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979976,0.099999999999844949,0.099999999999977399,4.9720297543111563e-112,6.2128246346269652e-47,3.7387169384908733e-37,1.2802809717931634e-60,9.7996983395544122e-44,1.0062955971413472e-39,2.5508047918312769e-24,5.0686746364262211e-94,2.5507140800482328e-24,3.4361225766690784e-60,1.4447301249286296e-51,3.017019725467797e-61,8.5106174432369061e-88,1.0247162248634278e-39,2.171538441208586e-73,1.5506587457179558e-13,4.5230444130849288e-14,1.0250500509419415e-18,4.5885990935993458e-28,1.025050050948014e-18,5.1578546206741864e-40,1.8710847974344112e-28,1.2033447111511531e-33,2.834641573500106e-38,1.1902933363095421e-58
9.857496250701e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959947,0.099999999999689879,0.099999999999954778,3.3093403565301223e-110,9.9405948103270418e-46,1.4955059965390312e-36,1.0566569070797585e-59,7.8398827320204709e-43,4.0253460328794867e-39,5.1018256081438769e-24,1.6221783143007142e-92,5.1014627573205313e-24,2.7491512128608761e-59,2.311608053131987e-50,2.4137130937381946e-60,1.4022889686788211e-86,4.1727126721469679e-39,3.4747768559259965e-72,3.101338523801056e-13,9.0461501747082543e-14,2.0501140055616463e-18,1.8354565545872611e-27,2.0501140055859426e-18,4.1263284900029145e-39,7.484367191362988e-28,9.6265873995851899e-33,4.535283210504703e-37,7.6175177423469254e-57
1.971505935228024e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559919885,0.099999999999379738,0.09999999999990955,3.0515848077852213e-108,1.5904988638070705e-44,5.982086476850817e-36,1.2599378767957232e-58,6.2719558132130473e-42,1.6102447613436921e-38,1.0204411523984049e-23,5.1920844023000719e-91,1.0202960113307973e-23,2.199673830902564e-58,3.6985996376935732e-49,1.9310918034732859e-59,3.281397028360005e-85,1.7281385620202351e-38,5.5605107530293207e-71,6.2026980797409868e-13,1.8092361697925483e-13,4.1002419158752747e-18,7.3418495279987946e-27,4.1002419159725134e-18,3.3010756964029524e-38,2.9937235970089052e-27,7.7008603840210385e-32,7.2560271722238029e-36,4.874722957274632e-55
3.943018555543871e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559839766,0.099999999998759456,0.099999999999819095,1.1386390010657619e-105,2.5447936575990077e-43,2.3928663267934732e-35,6.313296737542388e-57,5.0175845065924862e-41,6.4417806961366355e-38,2.0411760488526551e-23,1.6621508539294565e-89,2.0405954831054235e-23,1.7602828050565159e-57,5.9177644058671557e-48,1.5450538190841968e-58,3.1807669961491536e-83,7.3849305348086427e-38,8.8994812165204069e-70,1.2405417190715768e-12,3.6184784744242276e-13,8.2004977407994039e-18,2.9367360533494758e-26,8.2004977411887838e-18,2.6408576979730976e-37,1.197461679930534e-26,6.1599783125188345e-31,1.1608306649733853e-34,3.1191886722386418e-53
7.886043796175567e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559679527,0.099999999997518907,0.09999999999963817,1.1078794188494972e-102,4.0716422974199296e-42,9.5716826710046514e-35,7.2929707670380576e-55,4.0140755555502223e-40,2.5773437720848884e-37,4.083516694907832e-23,5.3232142129259289e-88,4.0811944289632272e-23,1.4090880099447982e-56,9.4683745050108412e-47,1.2363261576285256e-57,7.3046890905407392e-81,3.3318593782971807e-37,1.4247605584452876e-68,2.4810855409045015e-12,7.2369630836405213e-13,1.6401009407835173e-17,1.1746869340182792e-25,1.6401009409396057e-17,2.1126721813845337e-36,4.7896063937332061e-26,4.9268250565726633e-30,1.856903485886136e-33,1.9954666705043489e-51
1.577209427743896e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559359045,0.099999999995037808,0.099999999999276321,1.2840909319560335e-99,6.5145290414605473e-41,3.8288396361502242e-34,9.2646480400143414e-53,3.2112636371173247e-39,1.0314407383412023e-36,8.171681399619404e-23,1.7061950712258817e-86,8.1623923299130421e-23,1.1286463173277523e-55,1.5149192271462049e-45,9.8951168998657962e-57,1.8551301829603982e-78,1.6350450567277818e-36,2.2823098770274004e-67,4.9621731831222228e-12,1.4473932301884847e-12,3.2802032810656705e-17,4.6986788767523806e-25,3.2802032816927163e-17,1.6901116214722382e-35,1.9156466705412752e-25,3.9396001926435112e-29,2.9696861657279951e-32,1.276056616650702e-49
3.1544195239965743e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255871808,0.099999999990075597,0.099999999998552622,1.6393066113568439e-96,1.0422922480665939e-39,1.5316676145842314e-33,1.1834466801506741e-50,2.5690122068671219e-38,4.1297848586497723e-36,1.6361944459563531e-22,5.4775414193991769e-85,1.6324788168749503e-22,9.0511853089037446e-55,2.4238004188106205e-44,7.9232969424884133e-56,4.7392982453952513e-76,8.9584833733113584e-36,3.6603127919729453e-66,9.9243484617651572e-12,2.8947870737620434e-12,6.5604079891299788e-17,1.8794146732469028e-24,6.560407991659709e-17,1.3520459967953552e-34,7.6610127316012506e-25,3.1487043051793091e-28,4.7471540006540643e-31,8.1534439168296746e-48
