Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52)
5.139854771836854e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999733,0.11866996602996281,0.02282156769305425,0.0,2.0144474317177626e-64,1.3163820132420481e-30,0.0,5.7065536051220719e-46,0.0,4.5363307378084007e-17,4.3632845221658031e-90,4.5363307377919166e-17,3.5840261184391773e-61,5.2917458625696408e-79,0.0,0.0,1.2116853977206893e-50,7.0845272508164647e-72,2.4774140383242262e-15,7.3351826491194372e-17,2.9365195810685196e-19,2.9365195794448307e-19,1.4785100176579259e-31,4.4328980373662342e-44,4.87391548527329e-82,4.6443018864205153e-60
1.0284175099513705e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999477,0.11866996602996029,0.022821567693054212,0.0,3.2257405232900229e-63,5.2689586435012127e-30,0.0,4.5698711026333407e-45,0.0,9.0766026839354476e-17,2.7968181422128902e-88,9.0766026838694631e-17,5.7406704751266647e-60,1.6954492830953031e-77,0.0,0.0,9.7008507477142883e-50,2.269593220898495e-70,4.9569804780708125e-15,1.4676738176300536e-16,5.8755904389734532e-19,5.8755904324744681e-19,5.9178931760437346e-31,3.5490138216696319e-43,3.1228634239298912e-80,7.4389543592421039e-59
2.0572815754867407e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998967,0.11866996602995523,0.022821567693054139,0.0,5.1632855909716648e-62,2.1082697710455203e-29,0.0,3.6577490741729919e-44,0.0,1.8157146576285898e-16,1.7913459919054093e-86,1.8157146576021871e-16,9.190058549647737e-59,5.4287851383598689e-76,0.0,0.0,7.7636288847509482e-49,7.2667719942686673e-69,9.9161133575608905e-15,2.9359849230662352e-16,1.1753732154933638e-18,1.1753732128929231e-18,2.3679281093834775e-30,2.8402896750785306e-42,1.9997717139234699e-78,1.1908787729258833e-57
4.115009706557481e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997945,0.11866996602994513,0.022821567693053994,0.0,8.2629379675816779e-61,8.4344519070072259e-29,0.0,2.9269403169577127e-43,0.0,3.6318234361372225e-16,1.1469039959629624e-84,3.6318234360315955e-16,1.4708083445974418e-57,1.7377470304386967e-74,0.0,0.0,6.2120826744680097e-48,2.326019026424821e-67,1.9834379116528658e-14,5.8726071339384466e-16,2.3510015587455272e-18,2.3510015483420712e-18,9.4732543211816148e-30,2.2726632793556284e-41,1.280218530589119e-76,1.9059230442107459e-56
8.230465968698962e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995902,0.11866996602992493,0.022821567693053699,0.0,1.3222045733363506e-59,3.3740553469187388e-28,0.0,2.3418487125407634e-42,0.0,7.2640409933086588e-16,7.3416020873403737e-83,7.2640409928861182e-16,2.353612577609747e-56,5.5616479129413915e-73,0.0,0.0,4.9701380166440327e-47,7.4443042202482093e-66,3.967091063441466e-14,1.1745851555682263e-15,4.7022582454903587e-18,4.7022582038731481e-18,3.7896101160394913e-29,1.8183032576246153e-40,8.1945656002667622e-75,3.0498905352933336e-55
1.6461378492981925e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991817,0.11866996602988453,0.022821567693053112,0.0,2.115634922857326e-58,1.3496770575435978e-27,0.0,1.8735975604359633e-41,0.0,1.4528476108268218e-15,4.699078669179669e-81,1.4528476106577981e-15,3.7660355216475126e-55,1.7798645312884441e-71,0.0,0.0,3.9762991742169353e-46,2.3823442938905718e-64,7.9343973669988507e-14,2.3492340399167466e-15,9.4047716199420484e-18,9.4047714534664267e-18,1.5159057172254807e-28,1.4547116634146137e-39,5.2448954457068115e-73,4.8801558104465982e-54
3.2923203541547848e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679983646,0.11866996602980372,0.022821567693051936,0.0,3.3851019636548134e-57,5.3988180696623301e-27,0.0,1.4989254852777255e-40,0.0,2.9057346340654068e-15,3.0075554205448207e-79,2.9057346333892994e-15,6.0258611543891017e-54,5.6957860291824549e-70,0.0,0.0,3.1811148457383321e-45,7.6237688406619908e-63,1.586900997403436e-13,4.698531808612814e-15,1.8809798372693511e-17,1.880979770677749e-17,6.0637461415182838e-28,1.1637969543482894e-38,3.3568525856896372e-71,7.8085140653698878e-53
6.58468536386797e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679967303,0.1186699660296421,0.022821567693049587,0.0,5.4162320125414374e-56,2.1595491959423348e-26,0.0,1.1991593621951309e-39,0.0,5.8115086815292699e-15,1.9248818903182954e-77,5.8115086788248141e-15,9.6415412881367144e-53,1.822686655010326e-68,0.0,0.0,2.544922079520329e-44,2.4396487534219634e-61,3.1738235187788341e-13,9.3971273460010363e-15,3.761985189358879e-17,3.76198492298977e-17,2.4255230543908292e-27,9.3104861299756596e-38,2.1484238804191807e-69,1.2493834310635099e-51
1.3169415383294341e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679934618,0.11866996602931887,0.02282156769304489,0.0,8.6660263169046974e-55,8.638240719993894e-26,0.0,9.5933507766211133e-39,0.0,1.162305678040377e-14,1.2319392606093411e-75,1.1623056769585894e-14,1.5426596758759396e-51,5.8326534991324933e-67,0.0,0.0,2.0359497448375667e-43,7.8069442910487495e-60,6.3476685614028137e-13,1.8794318420761705e-14,7.5239958996948776e-17,7.5239948342130797e-17,9.7021409576749895e-27,7.4484331011475578e-37,1.3750034961693983e-67,1.9990304302873099e-50
2.6338875422147083e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679869248,0.1186699660286724,0.022821567693035491,0.0,1.3865686184223601e-53,3.4553050751613894e-25,0.0,7.674710945179438e-38,0.0,2.3246152993939886e-14,7.8844587373367225e-74,2.3246152950668255e-14,2.4682659192466279e-50,1.8664581131523482e-65,0.0,0.0,1.6287646283247608e-42,2.4982330470531911e-58,1.2695358646143509e-12,3.7588700570218893e-14,1.5048017344994638e-16,1.5048013083057105e-16,3.8808657665743856e-26,5.9587641579178406e-36,8.8000612053846073e-66,3.1984622280330645e-49
