Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57)
6.4507783879260575e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,1.1582559465786636e-116,4.2576566709534287e-55,6.9543927152168746e-38,5.6149273394795806e-62,1.6144343382169539e-48,3.8462588027021549e-41,1.3643330775463877e-23,1.7197065045303639e-95,1.3643330708194497e-23,2.1145108079852524e-60,3.720774434649618e-64,1.5804456898085785e-62,5.6897527618693495e-89,3.8462588036618712e-41,9.0844483227059523e-75,2.6014104975126463e-15,1.2507812848324582e-16,4.8211868758586093e-20,3.4338801535252158e-32,4.8211868762159764e-20,1.7703668381182893e-30,8.0493472753992057e-37,2.8600583120857042e-43,3.7367636767919023e-68,2.4590949206354512e-51,5.1272054265638399e-77
1.2907161274885934e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,7.4258843384033072e-115,3.408714243471625e-54,2.7835709610053702e-37,4.4953560055266851e-61,1.2928568343453968e-47,1.5395058915626593e-40,2.7298515144127479e-23,5.5112984289104862e-94,2.7298514874874644e-23,1.6933236068434646e-59,5.9583789717249815e-63,1.2653175354798641e-61,9.1110176595891469e-88,1.5395058923307929e-40,1.4550905335559858e-73,5.2050811257774322e-15,2.5026492606160858e-16,9.6465624454271239e-20,1.3740208347499649e-31,9.6465624468575241e-20,7.0860778388441376e-30,6.4443674440488388e-36,4.2782804491964678e-42,2.2347089482501194e-66,1.9687721668844213e-50,8.2102089639503963e-76
2.5819927048805686e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,4.7567449814188532e-113,2.7280074832724085e-53,1.1137921679991421e-36,3.597651063290117e-60,1.0348094688399002e-46,6.1600289176299688e-40,5.4608884285619873e-23,1.7649346782630225e-92,5.4608883208257824e-23,1.3553452250021232e-58,9.5332300145603066e-62,1.012638592206543e-60,1.4583561894309112e-86,6.1600289237738146e-40,2.3294086488831123e-72,1.0412422382302307e-14,5.0063852121832443e-16,1.9297313583480032e-19,5.494465959238724e-31,1.9297313589203541e-19,2.8353515608738738e-29,5.1574449687848843e-35,6.6067182112843972e-41,1.3799360385957612e-64,1.5756176767856124e-49,1.3141681288442675e-74
5.1645458596645193e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,3.0456547969496323e-111,2.1828206431508009e-52,4.4559035849586981e-36,2.8786675052129313e-59,8.2805722663852215e-46,2.4644127257269349e-39,1.0922962418526554e-22,5.6499027891458438e-91,1.0922961987511581e-22,1.0845508150193865e-57,1.5239321736741479e-60,8.1026474176331359e-60,2.3338447406260322e-85,2.4644127306372634e-39,3.7280652694416423e-71,2.0827104895333281e-14,1.0013857115317169e-15,3.8598815855249365e-19,2.1954227436488215e-30,3.859881587814742e-19,1.1343231877884022e-28,4.1267274709340088e-34,1.0379793613101515e-39,8.6705330912093146e-63,1.2607360824800888e-48,2.1030968860017562e-73
1.032965216923242e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,1.9496474217539306e-109,1.7464226062487401e-51,1.7825142208443413e-35,2.3031527458338767e-58,6.6252965189875514e-45,9.8584535275167671e-39,2.1847111045120028e-22,1.8083070009385511e-89,2.184710932091982e-22,8.6775057087998769e-57,2.4328151196789482e-59,6.4827336253627307e-59,3.7345315947322646e-84,9.8584535667125223e-39,5.9657140336219709e-70,4.1656469921320106e-14,2.0028800921583478e-15,7.7201820381442101e-19,8.760707895355963e-30,7.7201820473044115e-19,4.537645520995168e-28,3.3016760855945663e-33,1.6454792188533619e-38,5.4975549015970387e-61,1.0086887127606239e-47,3.3652974224715353e-72
2.0659864788368223e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,1.2479115573506191e-107,1.3972048612117965e-50,7.1304088183840964e-35,1.8426098099092551e-57,5.3005727135741345e-44,3.9435421417424672e-38,4.3695410884964333e-22,5.7871243637021729e-88,4.3695403987882875e-22,6.9424450924652602e-56,3.8742538146007209e-58,5.1864334355672274e-58,5.9755549396073368e-83,3.9435421729565514e-38,9.5457912772186756e-69,8.3315199972993276e-14,4.0058688534109911e-15,1.5440782936444385e-18,3.4871863822458001e-29,1.5440782973088543e-18,1.8151188584469361e-27,2.6414352822587765e-32,2.6205125875146437e-37,3.5018932261050219e-59,8.0699580711011551e-47,5.3847500628217181e-71
4.132029002663983e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,7.9870758020966318e-106,1.1177911306031104e-49,2.8522709952705121e-34,1.4741233485197704e-56,4.2405923671946914e-43,1.5774491634959678e-37,8.7392020911282391e-22,1.8519671095871712e-86,8.7391993322395239e-22,5.5541336065397698e-55,6.1405200511591361e-57,4.1492457581943833e-57,9.5611342582287385e-82,1.5774491882404577e-37,1.5273788625725858e-67,1.6663266007513764e-13,8.0118463759138008e-15,3.0881984705291248e-18,1.3812995268934663e-28,3.0881984851885512e-18,7.260517486005406e-27,2.1131488154517203e-31,4.1829450596827381e-36,2.2358786614234284e-57,6.4562241450972071e-46,8.6158217582205594e-70
8.264114050318304e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,5.1118860563794248e-104,8.9424462793014874e-49,1.1409595542908565e-33,1.1793171267926031e-55,3.3925275617266635e-42,6.3098625487971201e-37,1.7478528235043606e-21,5.9264382626690552e-85,1.7478517199376518e-21,4.4433800065849816e-54,9.6427198851072771e-56,3.3194368397775014e-56,1.5298063960611043e-80,6.3098627432119754e-37,2.4438491090271248e-66,3.3326758027461872e-13,1.6023801420909529e-14,6.1764388131971005e-18,5.4193485576159879e-28,6.1764388718468434e-18,2.9041520077146204e-26,1.690459808528188e-30,6.6845844058901584e-35,1.4292057980720292e-55,5.1652077248455046e-45,1.3785538239374756e-68
1.6528284145626946e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,3.271807523875901e-102,7.1540164834033217e-48,4.5641778070415765e-33,9.4351291460987472e-55,2.7140434985217009e-41,2.5239592230537888e-36,3.495719707748125e-21,1.8964856428588123e-83,3.4957152934588574e-21,3.554736625630457e-53,1.4874985104296818e-54,2.655566571295622e-55,2.4478367979979309e-79,2.5239593732022081e-36,3.9101965069864921e-65,6.6653742065434994e-13,3.2047711510861446e-14,1.2352919454127475e-17,2.0874272027185675e-27,1.2352919688814722e-17,1.1615990926810259e-25,1.3522489928434996e-29,1.0688105367512802e-33,9.1406575460356067e-54,4.1324580573594271e-44,2.2058178435754318e-67
3.305662433624423e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,2.0955370841535069e-100,5.7232552161227498e-47,1.825928826644144e-32,7.5549318250171034e-54,2.171243349367355e-40,1.009587349546332e-35,6.991460098078324e-21,6.068810289678552e-82,6.9914424408764923e-21,2.8438077432674158e-52,2.219888830612767e-53,2.1244617065743658e-54,3.9198754220345969e-78,1.0095874618637835e-35,6.2563562425220282e-64,1.333077101336889e-12,6.4095531690607575e-14,2.4705880558365919e-17,7.7698111470556977e-27,2.4705881497751284e-17,4.6458673223226901e-25,1.0815994388785486e-28,1.709285761012546e-32,5.8472007118229964e-52,3.3064039599900833e-43,3.5323140941770701e-66
