Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),C2H4(47),COX(50),CHOX(53)
5.646585015085614e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999971,0.11866996602996256,0.022821567693054247,0.0,1.1281109595012539e-60,1.5887369126473616e-30,5.3656952705944162e-73,7.5662201035442363e-46,3.7072236009492871e-111,4.9835604904341441e-17,7.6704999749262785e-90,4.9835604904326477e-17,5.2204898871733436e-61,2.5596147620478923e-62,5.4364248085897241e-94,6.3035202767446837e-95,3.8903216874265954e-47,1.1336682696275924e-71,2.7216584136996421e-15,8.0583468343078797e-17,3.2260264545681147e-19,4.8190028012103972e-32,3.226026453046995e-19,7.0097863083288106e-29,2.8492356121795788e-35,1.2109575637077215e-40,6.326865912565128e-66,5.8775023543374196e-44,1.78440864190925e-31,8.568171160357112e-82,9.5740528680173102e-88,1.6024067171508068e-91
1.1298075838177384e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999427,0.11866996602995979,0.022821567693054205,0.0,1.806667993273931e-59,6.3590880189302355e-30,3.6387372055625434e-71,6.059112557286117e-45,1.0053276348436835e-108,9.9714507467176717e-17,4.9167074438545992e-88,9.9714507467116813e-17,8.3618565185607377e-60,4.1001192422170577e-61,7.3719777760721865e-92,8.5477888536949734e-93,3.1146005685932978e-46,3.6318101806931916e-70,5.4456814307114195e-15,1.6123694838758346e-16,6.4548557137749759e-19,1.928842210365025e-31,6.4548557076865336e-19,2.8057401850879535e-28,2.2811195030732197e-34,1.0272899193622682e-39,2.1461167747722424e-64,4.7055756568281037e-43,7.1422848669048642e-31,5.4898835253405165e-80,1.2982742777220211e-85,2.1747175483060232e-89
2.2601057484360924e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998867,0.11866996602995424,0.022821567693054125,0.0,2.8919911124013024e-58,2.5444635175085775e-29,2.5869039281578302e-69,4.8497458351286856e-44,2.8574268612988826e-106,1.9947231259290473e-16,3.1491229408323013e-86,1.9947231259266512e-16,1.3386232727197093e-58,6.5639087377733899e-60,1.0478408062583026e-89,1.2149686601097955e-90,2.4925914112067416e-45,1.1628311305515987e-68,1.0893727464731235e-14,3.2254390847658801e-16,1.2912514236581483e-18,7.7177630108710198e-31,1.2912514212219771e-18,1.1226606253003626e-27,1.82558657012829e-33,9.1463919429221576e-39,7.6340081383459127e-63,3.7658906464574722e-42,2.8578442693580527e-30,3.5155279934639958e-78,1.8453457202630139e-83,3.0939118751866093e-87
4.5207020776728004e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997745,0.11866996602994313,0.022821567693053966,0.0,4.62814532824459e-57,1.0179510928087207e-28,1.9847536673587225e-67,3.8807792236242404e-43,8.7624203508313211e-104,3.9898792284459074e-16,2.0162166890077915e-84,3.9898792284363213e-16,2.1423783855092247e-57,1.0504995600211925e-58,1.6070389158716128e-87,1.8633573967446285e-88,1.9943948173068875e-44,3.7221029314007715e-67,2.1789819532755921e-14,6.4515782865457752e-16,2.5827831299765673e-18,3.0875131324197472e-30,2.5827831202302883e-18,4.4913662261805281e-27,1.4607429280546068e-32,8.7986995533670609e-38,2.9315906922948248e-61,3.013284688408122e-41,1.1433237969138795e-29,2.2505789288862728e-76,2.830145914523528e-81,4.750507507825195e-85
9.041894736146218e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995503,0.11866996602992094,0.022821567693053643,0.0,7.4054847312759771e-56,4.0721357681927312e-28,1.691132647574589e-65,3.1050164488888887e-42,2.9835314220717849e-101,7.9801914334888292e-16,1.2906276990091775e-82,7.9801914334504768e-16,3.4282704017032483e-56,1.6809438760338666e-57,2.7368066164266842e-85,3.1733200698795498e-86,1.5955761118155609e-43,1.1912398929402693e-65,4.3582003668745506e-14,1.2903856690104788e-15,5.1658465496419162e-18,1.2350300695093156e-29,5.1658465106535699e-18,1.7966868605625964e-26,1.1686993840955144e-31,9.4081496172371275e-37,1.2505902096185901e-59,2.4108566446156899e-40,4.5736673776657457e-29,1.4405756696900161e-74,4.8197725281408147e-79,8.1012418305870975e-83
1.8084280053093052e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991012,0.11866996602987656,0.022821567693052998,0.0,1.1848127797157172e-54,1.628920590426795e-27,1.6209277930198581e-63,2.4841703963747079e-41,1.142746413023254e-98,1.5960815843611473e-15,8.2608142179821203e-81,1.5960815843458053e-15,5.4856046549962341e-55,2.6893866021124651e-56,5.2429459066788835e-83,6.0791819644821871e-84,1.2763755234082202e-42,3.8122348007034976e-64,8.7166371940485524e-14,2.5808413497219708e-15,1.0331973417086969e-17,4.9397157993563195e-29,1.0331973261126763e-17,7.1869931106727476e-26,9.349944240289414e-31,1.1316635784068435e-35,6.0012719435047833e-58,1.9287768796444296e-39,1.8295413798492144e-28,9.2203408173902265e-73,9.2333182023376267e-77,1.5540578059399721e-80
3.616905068698672e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982036,0.11866996602978779,0.022821567693051707,0.0,1.8953256844506938e-53,6.5158149415517359e-27,1.7267417988975973e-61,1.9873992133971757e-40,4.8655370258984828e-96,3.1922064664003962e-15,5.2871761319901772e-79,3.1922064663390272e-15,8.7772650615866438e-54,4.3021542972316535e-55,1.1164530014807986e-80,1.2945243060554682e-81,1.0208911848571528e-41,1.2199578776368815e-62,1.74335108483009e-13,5.1617527111437097e-15,2.0664227264436966e-17,1.9754422750078616e-28,2.0664226640579677e-17,2.8748183138544367e-25,7.4799814304832754e-30,1.5117103205191768e-34,3.1998957120047136e-56,1.5430581326838738e-38,7.31831428465539e-28,5.9012281996422293e-71,1.9661781295308603e-74,3.3128165019555389e-78
7.233859195477406e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679964083,0.11866996602961023,0.022821567693049126,0.0,3.0311886647786154e-52,2.6063525017733911e-26,1.9874087403046543e-59,1.5899445287765397e-39,2.2388313571344175e-93,6.3844562305377739e-15,3.3838743319642651e-77,6.3844562302922961e-15,1.4043862171824392e-52,6.8803081367473816e-54,2.5690786359622198e-78,2.9788398575861424e-79,8.163493304562462e-41,3.9039335758666986e-61,3.4867258156422957e-13,1.032357543398221e-14,4.1328735408996465e-17,7.8979781384068648e-28,4.132873291351161e-17,1.1499090884047966e-24,5.9838137565127847e-29,2.1795098228960149e-33,1.842773139965278e-54,1.234461161785143e-37,2.9273553912126027e-27,3.7768532456639875e-69,4.5243874848864787e-72,7.6285777603390628e-76
1.4467767449034871e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679928173,0.11866996602925513,0.022821567693043963,0.0,4.8455366308523609e-51,1.0425463129211072e-25,2.4011242779617792e-57,1.2719656849710239e-38,1.0816178243550204e-90,1.2768955759048049e-14,2.1657056805638471e-75,1.2768955758066138e-14,2.2470369865396409e-51,1.0998162902133713e-52,6.2064725033613563e-76,7.1963882231062884e-77,6.5248683210002869e-40,1.2492696702841034e-59,6.973475277113652e-13,2.0647220879639302e-14,8.2657753497712416e-17,3.1561144783944351e-27,8.2657743515479981e-17,4.5994202854488593e-24,4.7866915939762746e-28,3.2956484147914809e-32,1.1136520616661704e-52,9.8757479789008999e-37,1.1709480312085868e-26,2.4172075450299857e-67,1.0930176858463795e-69,1.8437061261519264e-73
2.8935583956149807e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679856358,0.11866996602854493,0.022821567693033638,0.0,7.7388412154787088e-50,4.1701959333828758e-25,2.981689565477908e-55,1.0175765706112801e-37,5.3716547559848127e-88,2.5537954817010687e-14,1.3860599816916848e-73,2.5537954813083028e-14,3.5952743874184868e-50,1.7563853962784243e-51,1.5412518157091054e-73,1.7870772642458079e-74,5.2103912695918347e-39,3.9976803441318186e-58,1.3946974199444151e-12,4.1294511770873862e-14,1.6531579687480425e-16,1.2599814902605943e-26,1.6531575694383553e-16,1.8395812497750891e-23,3.8287442376988096e-27,5.1191982395449524e-31,6.9161665056055024e-51,7.9006219557126963e-36,4.683803388123659e-26,1.5470196528128188e-65,2.7142876605451568e-67,4.5794835503148106e-71
