Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),CO2X(34),HOCXO(25),HO2X(135),C2H6X(39)
1.0963739012653166e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999682,0.099999999999997188,0.099999999999999839,2.5050396388133281e-106,6.8957047781502822e-64,1.2864168335685464e-51,8.6998163040976651e-88,4.6993835539186781e-47,1.0080957950960595e-100,8.4797475007208922e-37,0.0,6.4727771387278028e-44,1.2434495976945451e-99,1.1463935513121196e-65,4.6031275318303787e-85,3.9666472082637844e-96,4.5747056891641731e-57,9.7689286279098096e-138,2.8164082806833451e-15,3.501920514651913e-16,2.9064359483589278e-20,4.2039137352483069e-34,2.9064359491566853e-20,3.9889944887042753e-30,9.2665910369981809e-37,5.4549846033534509e-65,8.4642485141303442e-67,5.0756108639383294e-74,9.3159357583525703e-102,9.4665353014448698e-78,2.1358258071094887e-120,2.352011473599103e-108,2.6315752712380724e-66,5.1597097232939072e-61
2.193700342844504e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999365,0.099999999999994371,0.099999999999999659,6.4237765852177515e-104,1.1045967504070483e-62,1.0301767970758019e-50,1.1149842402446461e-85,3.7633182099380855e-46,1.2925336298465396e-98,3.3941088858650643e-36,0.0,2.5907977102009783e-43,7.9744255534036447e-98,1.8363642763273956e-64,2.9496965588924305e-83,5.085850994569595e-94,3.6625461676648316e-56,1.2528887350319405e-135,5.6352634839902369e-15,7.0068835319228229e-16,5.8153970357527098e-20,1.6826610653553883e-33,5.8153970389458198e-20,1.5966369862739628e-29,7.4189057039503636e-36,8.7374555946713059e-64,2.7119027487341068e-65,3.2524651546385327e-72,2.3879063208766587e-99,3.0329341028329619e-76,1.0954008960661247e-117,6.0349688454895676e-106,4.2154204492766772e-65,8.2645026243653273e-60
4.388353226002879e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998733,0.099999999999988737,0.099999999999999312,1.6458796224652887e-101,1.7683826625846081e-61,8.2455897402330704e-50,1.4280809064907942e-83,3.0121798585850437e-45,1.655833266179582e-96,1.3580856571818989e-35,0.0,1.0366565513536423e-42,5.1088696893649636e-96,2.9398916356948588e-63,1.8889883078361623e-81,6.5153595534163343e-92,2.9311500557658735e-55,1.6052773816585448e-133,1.127297388971489e-14,1.4016809566464158e-15,1.1633319208143302e-19,6.7328360267030935e-33,1.1633319220919898e-19,6.3886246907272743e-29,5.9373767435473148e-35,1.3987517462508452e-62,8.6834383267490867e-64,2.0828815866617068e-70,6.1169149834316643e-97,9.7112217115016428e-75,5.6132120487164259e-115,1.5467227527256823e-103,6.7485952990660833e-64,1.3230381937840308e-58
8.777658992319628e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997464,0.099999999999977468,0.099999999999998604,4.2152321553478542e-99,2.830234818704089e-60,6.5981423506410711e-49,1.8285189906168115e-81,2.4103541502883645e-44,2.1203550524527569e-94,5.4332269584405031e-35,0.0,4.1473012375727478e-42,3.2713534957138002e-94,4.7051940959866502e-62,1.2093300794374419e-79,8.3431562099074469e-90,2.3453653873234644e-54,2.0557666487192873e-131,2.254839469760767e-14,2.8036661635544889e-15,2.3269163543336587e-19,2.6935728248306443e-32,2.3269163594451312e-19,2.5558635018821876e-28,4.7507993667613117e-34,2.2386100487812985e-61,2.7795542232197078e-62,1.3334605323955391e-68,1.5664251354301573e-94,3.1085244876892131e-73,2.8751813028316507e-112,3.9618751611472983e-101,1.0800891565640352e-62,2.1174354910358557e-57
1.7556270524953127e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994927,0.099999999999954917,0.099999999999997202,1.0793256192155462e-96,4.5290338632708863e-59,5.279182193598196e-48,2.3408688579835006e-79,1.9285274524367822e-43,2.7146188009518275e-92,2.1734676603794009e-34,0.0,1.6590555122462232e-41,2.0942029915707184e-92,7.5294047033965514e-61,7.7409083338092966e-78,1.0681460492512694e-87,1.8764704642148796e-53,2.632028915436654e-129,4.5099236299167159e-14,5.6076365773698592e-15,4.654085217537156e-19,1.0775168179243751e-31,4.6540852379847273e-19,1.0224267055699289e-27,3.8009937719710594e-33,3.5822619539395231e-60,8.8959254999201419e-61,8.5354659770194532e-67,4.0106754489049756e-92,9.9487722816928667e-72,1.4724020029489427e-109,1.0145284161249004e-98,1.7283938169281716e-61,3.3883563502509207e-56
3.5113493590220123e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039989856,0.099999999999909814,0.099999999999994399,2.7633541628787491e-94,7.2469807428664119e-58,4.2236131094152104e-47,2.9965357534625209e-77,1.542919616045964e-42,3.4750619286780883e-90,8.6942243958366454e-34,0.0,6.6364921023992494e-41,1.3404616951503392e-90,1.204792287703737e-59,4.9545479007669991e-76,1.3673646045652248e-85,1.5012476341054085e-52,3.3694116102597705e-127,9.0200919445381794e-14,1.1215577404997492e-14,9.308422928603511e-19,4.3102426452673792e-31,9.3084230103972819e-19,4.0898580280959748e-27,3.0409288187462592e-32,5.7320078638556623e-59,2.8469031536985509e-59,5.4631024183287051e-65,1.0268098674992002e-89,3.1838461752455644e-70,7.5394653700203697e-107,2.5975535584958992e-96,2.7656310513037043e-60,5.421737820183063e-55
7.022793972075412e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039979714,0.099999999999819608,0.099999999999988792,7.074499839660356e-92,1.1595590441822459e-56,3.3789974533862252e-46,3.8356840036743883e-75,1.2343747480725289e-41,4.4482741211385789e-88,3.4777605006313502e-33,0.0,2.6546508600963636e-40,8.5795045193923193e-89,1.9277376785419236e-58,3.1710073127900974e-74,1.7503033550600303e-83,1.2010266086346761e-51,4.3131126514425946e-125,1.8040428551019368e-13,2.2431459060240336e-14,1.8617098289373666e-18,1.7241321265182203e-30,1.8617098616556623e-18,1.6359643253104591e-26,2.4327839084110293e-31,9.1715236125936052e-58,9.1103614961615956e-58,3.4964921252143112e-63,2.6287147443554925e-87,1.0188690228972932e-68,3.8603775958182696e-104,6.650156132047899e-94,4.4251704268352449e-59,8.6750745927464301e-54
1.404568319818221e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039959431,0.099999999999639197,0.099999999999977579,1.8110885059902985e-89,1.8553281673786472e-55,2.7032407829454702e-45,4.9096875042744767e-73,9.8751540863865857e-41,5.6938411543132612e-86,1.3911183409764611e-32,0.0,1.0618711539560191e-39,5.4910587083638072e-87,3.0844362604914129e-57,2.0294491784187957e-72,2.2404080530479749e-81,9.6083268039324649e-51,5.5209565939247726e-123,3.60811016729348e-13,4.4863222370676322e-14,3.7234448765463754e-18,6.896598588102538e-30,3.7234450074218624e-18,6.5438265102823155e-26,1.9462231991260782e-30,1.4674686702714271e-56,2.9153208325755678e-56,2.2377599200835712e-61,6.7295269033491895e-85,3.2604420562385446e-67,1.9765315207131455e-101,1.7024716635505081e-91,7.0804012263029556e-58,1.3880354431841926e-52
2.809146165039581e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039918863,0.099999999999278374,0.099999999999955153,4.6362872278431426e-87,2.9685520117951623e-54,2.1626098077716342e-44,6.2842446197508642e-71,7.9001855158749499e-40,7.2879583234723838e-84,5.5645015825886343e-32,0.0,4.2475062837094414e-39,3.5143337268890846e-85,4.9351426662390899e-56,1.2988150815604018e-70,2.8676599330253543e-79,7.6867069020823738e-50,7.0669467193749478e-121,7.2162447552577876e-13,8.9726748991349526e-14,7.44691487358431e-18,2.758653407375528e-29,7.4469153970966966e-18,2.617466033060869e-25,1.5569445590031522e-29,2.347969816434013e-55,9.328789981597063e-55,1.4321306313134296e-59,1.7227164679360466e-82,1.0433512388764981e-65,1.0119625114872817e-98,4.3582556818813978e-89,1.1328744621620178e-56,2.2208754567046387e-51
5.618301855482301e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039837725,0.099999999998556743,0.099999999999910286,1.1868151093213581e-84,4.7497047305473581e-53,1.7300948039222775e-43,8.0433162912477283e-69,6.3201730004076388e-39,9.327997588497808e-82,2.2258062264717968e-31,0.0,1.6990068854376062e-38,2.2491914155359782e-83,7.8962635669589877e-55,8.3118798563983507e-69,3.6703727599207523e-77,6.1493835208052524e-49,9.045831770240527e-119,1.4432513785511293e-12,1.7945380223190079e-13,1.4893854474939866e-17,1.1034641219162835e-28,1.4893856569056925e-17,1.0469267732239539e-24,1.2454901650644623e-28,3.7567677576384746e-54,2.9850181855145067e-53,9.1650442892719509e-58,4.4098714513623879e-80,3.3387395594927412e-64,5.1809235680137384e-96,1.1156467514840255e-86,1.812607295876691e-55,3.5534155393353455e-50
