Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(46),CHOX(50),H2OX(23),CO2X(24),COX(47)
4.289550963890796e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.077566315833465904,0.097773497667810266,0.04309932524378457,2.4934037315728215e-10,6.505780211937271e-05,0.0014041839533890446,3.5942624413517268e-08,1.5478962251539979e-12,1.1750314201007855e-20,8.4246094111630042e-13,3.7028046389671653e-34,1.2719234834273706e-13,1.2670143409176554e-24,9.9546571997202688e-17,5.8339678994900418e-22,6.3849190076695414e-23,1.0957415510678381e-18,2.6079425609939515e-27,0.0014542911952687713,0.11296139855270032,1.0630777752202726e-08,0.00013274210229810774,5.5981237006884676e-14,2.2814890478675634e-08,3.0659778773479397e-09,9.2384560376920154e-08,0.00077213736174745144,6.1094882684349141e-06,1.0491512741059009e-09,2.6259024206983164e-06,9.0042850027502542e-15,1.8407768310765816e-11
4.305376987621049e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.077445302591665585,0.097772764883822527,0.04303748572551077,2.5197843843771708e-10,6.5474574187404143e-05,0.0014097662230454612,3.6144274259164895e-08,1.5576962661710443e-12,1.1870332964252927e-20,8.4497645848799811e-13,3.7753934483426639e-34,1.2742137119110754e-13,1.2826830175224886e-24,1.0036203890372134e-16,5.8801858585514547e-22,6.454877552649146e-23,1.1004999447489963e-18,2.6509186714386986e-27,0.0014520052829829007,0.11308162957295494,1.0641012274883848e-08,0.00013276446481676952,5.607773129611984e-14,2.2817067867361791e-08,3.0609704314831668e-09,9.2643004701700416e-08,0.00077515584030713131,6.1242148778624797e-06,1.0550761588931601e-09,2.6381967162648913e-06,9.0632460171899739e-15,1.8482176428675321e-11
4.321203011351301e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.077324841922187956,0.097772023585789666,0.042975927035902577,2.5463343755242835e-10,6.5892133785110864e-05,0.0014153443393288259,3.6346217778437618e-08,1.5675151267419709e-12,1.1991048106533089e-20,8.4748794303628811e-13,3.8490969625891023e-34,1.2764974722838022e-13,1.2984790038968775e-24,1.0118056616039091e-16,5.9265634153922838e-22,6.5252978044959176e-23,1.1052556289999561e-18,2.69442513374791e-27,0.0014497296944948682,0.11320129996142538,1.0651194622226488e-08,0.00013278642646205,5.6173834308275103e-14,2.281918114058618e-08,3.0559862405233101e-09,9.2900886751165933e-08,0.00077817250888983689,6.1388915216155116e-06,1.0610077217650417e-09,2.6504881401808373e-06,9.1223351588625516e-15,1.8556544844907937e-11
4.3354464327085286e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.077216896315807915,0.097771349203911048,0.042920762568440976,2.5703744323607107e-10,6.6268607983527641e-05,0.0014203610899637222,3.6528217070514812e-08,1.5763681275705956e-12,1.210028765164856e-20,8.4974484447626078e-13,3.9163933523289993e-34,1.2785473574195962e-13,1.3128046256050629e-24,1.0191985349274806e-16,5.9684394275560508e-22,6.5890714966935907e-23,1.1095334184577354e-18,2.7340379539494268e-27,0.0014476904277055738,0.11330852748620547,1.0660314451820783e-08,0.00013280585274281218,5.6259994412113394e-14,2.2821028843519417e-08,3.0515202018049924e-09,9.3132501715278885e-08,0.00078088596122187503,6.1520579911920839e-06,1.0663518004787505e-09,2.6615479194762321e-06,9.1756245649690196e-15,1.86234423965867e-11
4.349689854065756e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.077109391894617005,0.097770668047650694,0.042865822319768834,2.5945521746312423e-10,6.6645714923796876e-05,0.0014253744711113672,3.6710452444525433e-08,1.5852362526387751e-12,1.2210092213984254e-20,8.5199850422822967e-13,3.9846116183811306e-34,1.2805920609336376e-13,1.3272340828918454e-24,1.0266161263858264e-16,6.0104442580343436e-22,6.6532204828517577e-23,1.1138089952048576e-18,2.7740869868549341e-27,0.0014456594046087323,0.11341530741275271,1.0669392625129398e-08,0.0001328249608811402,5.6345841131176448e-14,2.2822825672264853e-08,3.0470727220267542e-09,9.3363664701097773e-08,0.00078359794406195212,6.1651843799997505e-06,1.0717012186218581e-09,2.6726052858617718e-06,9.2290170666021134e-15,1.8690307646349843e-11
4.363933275422983e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.077002325672703001,0.097769980173888479,0.042811104772088722,2.6188678479177182e-10,6.7023452183693333e-05,0.0014303844804509531,3.6892923058582437e-08,1.5941194457569661e-12,1.2320462236500584e-20,8.5424893398342975e-13,4.0537608265368265e-34,1.2826316097428213e-13,1.3417677134406913e-24,1.0340584025187717e-16,6.0525776915907554e-22,6.7177453791341144e-23,1.1180823509438375e-18,2.8145753879528101e-27,0.0014436365698601461,0.11352164278065907,1.0678429424855111e-08,0.0001328437539311431,5.643137615036184e-14,2.282457212479085e-08,3.04264367163125e-09,9.3594377337268418e-08,0.00078630845587470224,6.1782708717562366e-06,1.0770559434705962e-09,2.6836601989964217e-06,9.2825123405169861e-15,1.8757140528571703e-11
4.376752354644488e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076906338288248138,0.097769355390590063,0.042762048145626098,2.6408700871587312e-10,6.736395264944941e-05,0.0014348906041273539,3.7057347049605307e-08,1.6021271565414605e-12,1.2420279087690481e-20,8.5627156872608329e-13,4.1167986046582046e-34,1.2844628184713605e-13,1.3549373277358526e-24,1.0407775287966541e-16,6.0906075598971589e-22,6.7761396956351418e-23,1.1219264654218169e-18,2.8513932250062497e-27,0.001441822974301108,0.11361696700318662,1.0686527401712653e-08,0.00013286040077176061,5.6508092549677099e-14,2.2826101266512135e-08,3.0386731774731902e-09,9.3801635000898286e-08,0.0007887466575492478,6.1900147533352163e-06,1.0818797062046488e-09,2.6936074903424569e-06,9.3307456914482504e-15,1.8817262395282362e-11
4.389571433865992e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.07681070131227076,0.097768725252393246,0.04271316960278812,2.6629844265245113e-10,6.7704959975235481e-05,0.0014393939932998369,3.7221960300253329e-08,1.6101469866192132e-12,1.2520554633355452e-20,8.5829160501963729e-13,4.1806045149418464e-34,1.2862898928369279e-13,1.3681918408755653e-24,1.0475165982110968e-16,6.1287412664583606e-22,6.8348394405524613e-23,1.1257687684771558e-18,2.8885718292949942e-27,0.0014400159272785239,0.11371193574758362,1.0694592295191963e-08,0.00013287679701408351,5.6584558998000847e-14,2.2827590348707158e-08,3.0347174147717215e-09,9.4008530371549316e-08,0.00079118366543947196,6.2017265986649848e-06,1.0867077175167461e-09,2.7035527335780058e-06,9.3790617939781091e-15,1.8877357946570485e-11
4.402390513087497e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076715412626016,0.097768089799592714,0.042664468066571599,2.6852110432252541e-10,6.8046472422216058e-05,0.0014438946464918839,3.7386762206899669e-08,1.6181788956326633e-12,1.2621289187106102e-20,8.6030905125219479e-13,4.245185275818401e-34,1.288112852018178e-13,1.3815314979148958e-24,1.0542755864130489e-16,6.1669786553143009e-22,6.893845056480434e-23,1.1296092543985117e-18,2.9261135224082131e-27,0.0014382153895144234,0.11380655117063973,1.0702624305932289e-08,0.00013289294481303175,5.6660776697914937e-14,2.2829039723127503e-08,3.0307762916569606e-09,9.4215064620544722e-08,0.00079361947852877202,6.2134065394562346e-06,1.091539954012786e-09,2.7134959003339087e-06,9.4274604156823232e-15,1.8937427137641603e-11
4.413927684386851e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076629948859370023,0.097767513381098556,0.042620787141825961,2.7053111413829933e-10,6.8354264072744957e-05,0.0014479428939342457,3.7535244727394874e-08,1.6254179080311589e-12,1.2712342994259369e-20,8.6212254525820968e-13,4.3039760385723591e-34,1.2897500125392269e-13,1.3936101895388734e-24,1.060375686245402e-16,6.2014808249875677e-22,6.947211994674108e-23,1.1330641334412852e-18,2.9602134113369961e-27,0.0014366004387451796,0.11389140472953597,1.0709825165330138e-08,0.0001329072671763245,5.6729160950227113e-14,2.2830310498285815e-08,3.0272417225756272e-09,9.4400637649775603e-08,0.00079581068793949767,6.2238913160884219e-06,1.0958925601732911e-09,2.7224429518242059e-06,9.471089537825209e-15,1.8991466835351367e-11
