Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CO2X(24)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,1.4171018313100778e-99,1.9187973403519255e-54,1.679521446183126e-30,4.4249045340923649e-72,8.0888440973321763e-46,3.232858135090043e-110,5.1239684768200467e-17,8.9131592106110825e-90,5.123968476819354e-17,5.7383323116585128e-61,8.9665847796161803e-61,4.610440621569831e-93,5.3457953822719195e-94,9.7365120301959022e-45,1.281230869974901e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182280786685e-19,5.0944132417714758e-32,1.8863740755232145e-31,3.3169182171501981e-19,5.4456310240704783e-28,1.6724364849875638e-33,4.9557359841060227e-38,2.7393731788583421e-63,6.3884164401185896e-44,9.9562583076669898e-82,9.8772974934014777e-46,8.1194198421921175e-87,9.9878684074156653e-90,1.2547222655621962e-89
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,3.6651561751994952e-97,3.072575713609429e-53,6.7224629405964391e-30,2.8598242652315864e-70,6.4776356189220842e-45,8.3573202477420738e-108,1.0252388707312644e-16,5.7132385609343768e-88,1.0252388707309867e-16,9.1913043569073492e-60,1.4363231011119244e-59,5.9593352608004428e-91,6.9098356377602063e-92,7.7951295915381935e-44,4.1045404921150755e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367182379544813e-19,2.0390928693949591e-31,7.5504123306129381e-31,6.6367181942120517e-19,2.1796648832423812e-27,1.3389619115026477e-32,4.0024665085838388e-37,8.8527272815186661e-62,5.1146177224205529e-43,6.3792724763919678e-80,7.9078435467286587e-45,1.0494950243918735e-84,1.2916312909586172e-87,1.6226070637816339e-87
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,9.5508373130609599e-95,4.9181218731928887e-52,2.6898609749608017e-29,1.8626001272263709e-68,5.1847339138150247e-44,2.1770510539100119e-105,2.0509229168298581e-16,3.6592965564012752e-86,2.050922916828747e-16,1.4714069646035107e-58,2.2994533475162276e-58,7.7621537372188444e-89,9.000199544428095e-90,6.238472374080161e-43,1.314189680410097e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318290615064e-18,8.1590269610957019e-31,3.0211484156357455e-30,1.327631811558783e-18,8.7214450706599671e-27,1.0715697614213002e-31,3.258993398981177e-36,2.8832329541809232e-60,4.0932488381776102e-42,4.085061343167048e-78,6.3286777639525958e-44,1.3669883228312384e-82,1.6829456761803855e-85,2.1141944355876322e-85
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,2.5280590028477721e-92,7.8705952076753476e-51,1.0761196691299953e-28,1.2323408054264993e-66,4.1488375546970435e-43,5.760518915749981e-103,4.1022910090273428e-16,2.3428538438193277e-84,4.1022910090228976e-16,2.3548899390151827e-57,3.6801944344371157e-57,1.0270018001349007e-86,1.1908062426713489e-87,4.9917251041463472e-42,4.2065860923513021e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555518527574864e-18,3.264141621939554e-30,1.2086560889367138e-29,2.655551782734767e-18,3.4891030425796751e-26,8.574078871676108e-31,2.6969912266283133e-35,9.5404005572452459e-59,3.2752213358201282e-41,2.6151841198676757e-76,5.0639030728245917e-43,1.8086468157631519e-80,2.2274696358875953e-83,2.7982509952693256e-83
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,6.8931761880839551e-90,1.2594230184394871e-49,4.3048300153543962e-28,8.3990387421807834e-65,3.31949026399114e-42,1.5699147174973365e-100,8.2050271934235006e-16,1.4997158200675685e-82,8.2050271934057177e-16,3.7683350106598405e-56,5.8891652803245769e-56,1.399598887530474e-84,1.6228317124842281e-85,3.9937582410018603e-41,1.3462962357451544e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113919528071499e-18,1.3057625559430291e-29,4.8350178130011576e-29,5.3113916726900496e-18,1.3957204897264308e-25,6.8597426897598436e-30,2.3006883866661086e-34,3.2525965381386727e-57,2.6204264306045697e-40,1.6739562278521061e-74,4.0515060209444358e-42,2.4648253347769701e-78,3.0371205151888729e-81,3.8153729171222234e-81
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,1.9798761661677631e-87,2.0151782717358209e-48,1.722002880830906e-27,6.029662114329444e-63,2.6557603087048674e-41,4.5056428993626583e-98,1.6410499562220569e-15,9.5991072993337253e-81,1.6410499562149443e-15,6.0297449293013125e-55,9.4233439562449613e-55,2.0087918056380731e-82,2.3291895023233337e-83,3.1951566403404815e-40,4.3084498688762354e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623072363555278e-17,5.2232599024724233e-29,1.9340858065484061e-28,1.0623071243013882e-17,5.5828346228510093e-25,5.4877799559736895e-29,2.0692571886141817e-33,1.1683982444339659e-55,2.0964415813420968e-39,1.0714082747856484e-72,3.2413569331352364e-41,3.5376713417891211e-76,4.3624604259014593e-79,5.4803292787696579e-79
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,6.1696391523243537e-85,3.2243638556875365e-47,6.8881581098397772e-27,4.6959834043023112e-61,2.1246754866737522e-40,1.40247192978893e-95,3.2821444299833729e-15,6.1437250175479946e-79,3.2821444299549218e-15,9.647919017246498e-54,1.5077881489746932e-53,3.1272365206272898e-80,3.6260235687126787e-81,2.5561833750941182e-39,1.3787522620721517e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246434027790685e-17,2.0893441829276447e-28,7.736500488451679e-28,2.1246429545314686e-17,2.2329596975533131e-24,4.389888666086475e-28,2.0211911301461432e-32,4.5548497696989916e-54,1.6771945395313265e-38,6.857257064528899e-71,2.5931442876476081e-40,5.5073575653839751e-74,6.7989466984303207e-77,8.5411659714958834e-77
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,2.1429771159637406e-82,5.1590369534997554e-46,2.7552964279609084e-26,4.0763675170928645e-59,1.6997672834781297e-39,4.8648453246863126e-93,6.5643333775136131e-15,3.932078835649559e-77,6.5643333773998065e-15,1.5436932101089118e-52,2.4124995420177602e-52,5.4256184242640916e-78,6.2909920364541191e-79,2.0449667930363692e-38,4.4120845001250772e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493160728369781e-17,8.35744345992872e-28,3.0946315655205744e-27,4.2493142796529384e-17,8.9301734292872123e-24,3.5112495820041467e-27,2.2020027185777064e-31,1.9795714762190115e-52,1.3417738989163007e-37,4.3887226003793557e-69,2.0745355556245559e-39,9.5550237471517939e-72,1.1811701078056274e-74,1.4838456081145098e-74
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,8.3696327510645217e-80,8.2544769909843585e-45,1.102128299206143e-25,3.9788522000817547e-57,1.3598245810718613e-38,1.8975618504260994e-90,1.3128711272604525e-14,2.5165607875840988e-75,1.3128711272149297e-14,2.4699300588942873e-51,3.8600173025418604e-51,1.0584860260913498e-75,1.2273120742567725e-76,1.6359764597263601e-37,1.4118793850812308e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986627627165393e-17,3.3429797566364956e-27,1.2378588341907061e-26,8.4986555885415242e-17,3.5706833289835877e-23,2.8078920821740399e-26,2.6971233273023356e-30,9.6735405399779329e-51,1.0734292360178311e-36,2.8088074032705756e-67,1.6596311007605991e-38,1.864093147983638e-69,2.3073239322002551e-72,2.8985869016767162e-72
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,3.6173248399042092e-77,1.3207094399041912e-43,4.4085573506912913e-25,4.2980108679804339e-55,1.087863961072249e-37,8.1929800469062129e-88,2.6257467062908071e-14,1.610608595922769e-73,2.6257467061087156e-14,3.9519047961745097e-50,6.1760012555252907e-50,2.2856456391229708e-73,2.6502006523259664e-74,1.3087743589007687e-36,4.5180336761590509e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997361548889085e-16,1.3371835988772772e-26,4.9514472241677206e-26,1.6997332840904684e-16,1.427154827069394e-22,2.2445234504002391e-25,3.6527884262841746e-29,5.22995943746891e-49,8.5875192587393974e-36,1.7976446590701769e-65,1.3276973128340638e-37,4.0252355136919278e-67,4.9872839281241725e-70,6.2653425637670761e-70
