Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CHOX(61),COX(58),CO2X(24)
8.191459188902287e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999671,0.099999999999997438,0.099999999999999631,5.5927648916697414e-101,4.750650388284676e-54,1.1615651425150167e-40,5.8711518205302322e-66,7.465779747259327e-50,2.7806942876711817e-43,4.2392533639800309e-26,6.4352574740627315e-103,4.2392533468638747e-26,1.5782138763336932e-65,5.2497331150526839e-62,1.3864774623468797e-66,2.1897790498989966e-92,2.7807355174310255e-43,1.6588335777281531e-80,2.5771744978452899e-15,7.5172404927563269e-16,1.7036197396227724e-20,1.2680059673955619e-31,1.7036197411240122e-20,7.5693371047789662e-30,1.1852182831275001e-34,5.9276723889237657e-41,6.9476321223653915e-65,4.7932223105606582e-54,2.3703715319021825e-45,9.0416701802882641e-60,4.3161437850172352e-81,6.0673270501883953e-92
1.639003519725627e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999338,0.099999999999994857,0.099999999999999256,2.540885745118457e-98,7.6053296085572106e-53,5.163389390914596e-40,4.7004913961999042e-65,5.9786788067336827e-49,1.1130023887688963e-42,8.4821898668088086e-26,2.0623650117008557e-101,8.4821897982995767e-26,1.2638511328381454e-64,8.4093453730109019e-61,1.1100250111896506e-65,7.00553923867404e-91,1.1130353976361737e-42,2.6570167039208221e-79,5.1565880699698553e-15,1.5041012037200269e-15,3.4087195991627187e-20,5.0753267317036975e-31,3.4087196051716394e-20,3.0296600184095042e-29,9.4888104779776924e-34,8.4636425877190848e-40,3.9462861228580414e-63,4.2364762440413517e-53,1.8977379308878564e-44,7.2388335496346133e-59,6.9114536069097793e-80,1.3785310143837081e-89
3.278718721396423e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998672,0.099999999999989694,0.099999999999998507,1.2198257069834504e-95,1.2171953883018498e-51,2.4774255771947289e-39,3.7618218722911058e-64,4.7853662267731857e-48,4.4534593386731944e-42,1.6968062975337068e-25,6.6045048170384776e-100,1.6968062701210904e-25,1.0115932220494732e-63,1.3462769243500473e-59,8.8835737406978548e-65,2.2414908007225793e-89,4.4537235097711245e-42,4.2535346401275642e-78,1.0315415214212722e-14,3.008855512608734e-15,6.8189193137707639e-20,2.0307904587334466e-30,6.8189193378146511e-20,1.2122206684132261e-28,7.5937042741355514e-33,1.2724127683791369e-38,2.368488116016747e-61,4.029058235330803e-52,1.518766174451785e-43,5.7932663613744251e-58,1.1062827297332646e-78,3.3094101796184982e-87
6.558149124738016e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999734,0.099999999999979383,0.099999999999997008,6.0395509867539096e-93,1.9477850370951513e-50,1.3202740702500611e-38,3.010031020351914e-63,3.8292624813425754e-47,1.7816737520099634e-41,3.3939809603876388e-25,2.1142320001816876e-98,3.3939808507193244e-25,8.0947963855699587e-63,2.1546665708198068e-58,7.1082088117298464e-64,7.1723180079046198e-88,1.7818851287675258e-41,6.8075029695761237e-77,2.0633069502673414e-14,6.0183641303858235e-15,1.3639318725099457e-19,8.1244735976046543e-30,1.36393188212937e-19,4.8493682379953971e-28,6.0757524078618877e-32,1.9703239947438906e-37,1.46596487827538e-59,4.245709567850398e-51,1.2152422024724072e-42,4.6354924764547031e-57,1.7704136219558273e-77,8.1932273087394542e-85
1.3117009931421204e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994675,0.099999999999958747,0.099999999999993996,3.0395151299749992e-90,3.1166684534738323e-49,7.9144187366255786e-38,2.4082778488229301e-62,3.0637978173927399e-46,7.1272752305542894e-41,6.7883304506886277e-25,6.7668089176360934e-97,6.7883300119796701e-25,6.4766588051733109e-62,3.4479588449130178e-57,5.6871071472163363e-63,2.2950686941877379e-86,7.1289664010569453e-41,1.0893485200289973e-75,4.1268378079494623e-14,1.2037381365938701e-14,2.7280117476207273e-19,3.2500454442095921e-29,2.7280117861039864e-19,1.9396621604521104e-27,4.8604798742640469e-31,3.0998087304364265e-36,9.2225791512528155e-58,5.0317292188180492e-50,9.7228368774528033e-42,3.7087447987061943e-56,2.8329769370585603e-76,2.0617637683420857e-82
2.6234731544787576e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989346,0.099999999999917474,0.099999999999987974,1.5424996861304401e-87,4.9868216846261902e-48,5.2715574830647933e-37,1.9270226147373049e-61,2.4511933723102281e-45,2.8510262593574289e-40,1.3577030089663088e-24,2.1655824862779481e-95,1.3577028334755862e-24,5.1816579075695164e-61,5.5171071095126603e-56,4.5499019484175079e-62,7.3440991215963945e-85,2.8523792533928967e-40,1.7430767810942916e-74,8.2538995232736376e-14,2.4075415837039243e-14,5.4561714692224573e-19,1.3000642876829616e-28,5.4561716231811979e-19,7.7570209092019976e-27,3.8876350511130178e-30,4.9166708228930125e-35,5.8504994529358589e-56,6.6405534216993073e-49,7.7786005968611291e-41,2.9671346134843603e-55,4.5336775045537438e-75,5.23162807928903e-80
5.247017477152032e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559978682,0.099999999999834929,0.099999999999975941,7.8597877422195952e-85,7.9789795904173611e-47,3.7920481630387631e-36,1.5455892032781178e-60,1.9610167086981634e-44,1.1404338323850114e-39,2.71544320011019e-24,6.9301959826719619e-94,2.7154424981330264e-24,4.1454621389914045e-60,8.8276027461373914e-55,3.6400083412599922e-61,2.3500901818298714e-83,1.1415162427524215e-39,2.789020427436507e-73,1.6508022953761711e-13,4.8151484779219491e-14,1.0912490797946593e-18,5.2003086299651607e-28,1.09124914139495e-18,3.1013177924025999e-26,3.1086893309056119e-29,7.8295363448147757e-34,3.7264323797298872e-54,9.4937958971603355e-48,6.222967115521141e-40,2.3737607060734965e-54,7.2714930076409213e-74,1.3328954258061586e-77
1.049410612249858e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559957361,0.099999999999669839,0.099999999999951864,4.0117793858105648e-82,1.2766237398135282e-45,2.8616676787072582e-35,1.2866958153478096e-59,1.5688381102333901e-43,4.5617827456519065e-39,5.4309246357938626e-24,2.2177198062215374e-92,5.4309218278567128e-24,3.3164295788633554e-59,1.4124135076331883e-53,2.912041847217446e-60,7.5202442891168163e-82,4.5704419625130845e-39,4.4625179636499922e-72,3.3016269814096759e-13,9.630362266349664e-14,2.1825128997477586e-18,2.0801011550145194e-27,2.1825131462755949e-18,1.2392985052957722e-25,2.4845961389586142e-28,1.2488869759518462e-32,2.3775569438039866e-52,1.4276100172692889e-46,4.9783350646441301e-39,1.8990257776523479e-53,1.2079263106244581e-72,3.4016823869593409e-75
2.098828341319168e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559914711,0.099999999999339673,0.099999999999903708,2.0480340793137031e-79,2.0425293955356352e-44,2.2175358183219783e-34,1.6701741649510384e-58,1.2550802872621278e-42,1.824723188256176e-38,1.0861891720744497e-23,7.0968201110866359e-91,1.0861880488939311e-23,2.6531764770304981e-58,2.2597906574002195e-52,2.3296482847300377e-59,2.4064759840687632e-80,1.831650332710545e-38,7.1401200581981136e-71,6.6032763532202469e-13,1.9260789843171761e-13,4.365040356487062e-18,8.3200993000449431e-27,4.3650413435940629e-18,4.9473171062656914e-25,1.9838832722509764e-27,1.9923797728771492e-31,1.5171904158578778e-50,2.208163664844922e-45,3.9825353544687107e-38,1.5192211175697813e-52,3.0678766186753038e-71,8.68288496548688e-73
4.197663799457788e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559829419,0.09999999999867934,0.09999999999980741,1.0441934634223967e-76,3.2678059706257067e-43,1.7405250958301087e-33,9.5034196548561495e-57,1.0040679921585933e-41,7.298917786909967e-38,2.1723842744976102e-23,2.2710173579174676e-89,2.1723797817645402e-23,2.1225684939687488e-57,3.6153887667634533e-51,1.8637257300723366e-58,7.701036028069962e-79,7.3543307851775833e-38,1.1424339040866113e-69,1.3206575095815633e-12,3.8521644996682591e-13,8.7300945372982124e-18,3.3277701034939803e-26,8.7300984936184121e-18,1.9710543057061923e-24,1.5810554805029395e-26,3.1743325194819594e-30,9.6691875174087537e-49,3.463050503892036e-44,3.1857876354129426e-37,1.2153668688879041e-51,3.3845043811037161e-69,2.2134858510628889e-70
