Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),COX(50),CHOX(53),CO2X(24)
6.7463855215091425e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,1.0836356307741621e-101,1.3773683629718128e-54,4.7116582077058214e-36,3.826531264535585e-75,3.9591024013071906e-49,4.0832704353855735e-119,6.8601061750033823e-22,2.7005188508382188e-102,6.860106174960442e-22,6.4159591220763469e-69,6.1094597781000777e-62,3.8968140478516042e-100,2.3546353075607645e-101,2.6033520406589642e-47,2.0032346377072617e-81,2.7206202198434813e-15,1.3080983786952284e-16,5.0421179211983738e-20,5.0421179278855282e-20,3.3452005274315216e-29,2.7480397621727715e-34,3.1078625969835164e-40,3.7569707431558252e-32,4.4827743364628517e-65,1.7423987278397315e-49,7.333191906623414e-46,3.4493728049550011e-90,8.6859669772322902e-93,2.5950228373371401e-92
1.3498632368406217e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,3.5593135711335501e-99,2.2055836943802628e-53,1.8859800987303272e-35,3.1397968628002113e-73,3.1704928904562399e-48,1.3389611459686649e-116,1.3726172477089955e-21,1.7310033458427111e-100,1.3726172476918075e-21,1.027668489063152e-67,9.7865102105620959e-61,6.3910353882068927e-98,3.8617592015563197e-99,2.0842643158003974e-46,6.4175457130288261e-80,5.4436041410057073e-15,2.6173332459905046e-16,1.008861647682e-19,1.0088616503586157e-19,1.3389409930784066e-28,2.2000851523334855e-33,3.1981359276238688e-39,1.5037671863020357e-31,1.8413941053175674e-63,1.3950398254757564e-48,5.8710116589961642e-45,5.6572018231366834e-88,1.4269298823864268e-90,4.2631013583581522e-90
2.7003126062200363e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,1.3119077651868645e-96,3.5303694137910249e-52,7.5470885897214238e-35,2.8915746325597277e-71,2.5376793231180929e-47,4.927494884089316e-114,2.7458305081517976e-21,1.1086977203208565e-98,2.7458305080830234e-21,1.6451621118343775e-66,1.566751882781042e-59,1.1763696992394823e-95,7.1081697904549343e-97,1.6680444770032962e-45,2.0547665074908064e-78,1.0889571983325025e-14,5.23580298058095e-16,2.0181613567984941e-19,2.0181613675085315e-19,5.3574199785906235e-28,1.7607086294364746e-32,3.6958157355687291e-38,6.017025845797832e-31,8.4905027789715235e-62,1.1165541008867396e-47,4.6985924295582969e-44,1.0412961790766672e-85,2.6305951232771536e-88,7.8591769421332077e-88
5.401211344978866e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,5.4084370292990132e-94,5.6497376245279201e-51,3.0198962128299125e-34,2.9789707350785821e-69,2.0306575807990575e-46,2.0288093710933724e-111,5.4922570291393549e-21,7.0984044715643351e-97,5.4922570288642132e-21,2.6329735964144946e-65,2.5075304497233561e-58,2.4224448718629312e-93,1.4637532013327547e-94,1.3346883339708907e-44,6.5770963703574581e-77,2.1781507667943119e-14,1.0472742449761421e-15,4.0367607670001567e-19,4.0367608098479847e-19,2.1432464013441881e-27,1.4087893810517791e-31,4.7756110589151348e-37,2.4072008257967723e-30,4.3786543670526541e-60,8.9357016225096581e-47,3.7595858750486502e-43,2.1442940363198337e-83,5.4239736686908167e-86,1.6204688586094105e-85
1.0803008822496526e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,2.4338273286252718e-91,9.0404907596765997e-50,1.2085122652360209e-33,3.350495989915414e-67,1.6247317266026607e-45,9.1217460793592222e-109,1.098511007152228e-20,4.5438555266666338e-95,1.0985110070421621e-20,4.2133291793472096e-64,4.0126275626174098e-57,5.4468879344446329e-91,3.2912614205545143e-92,1.0678509605103035e-43,2.1049658360629315e-75,4.3565379037097134e-14,2.0946621388120666e-15,8.0739595552781823e-19,8.073959726689078e-19,8.5731197919572743e-27,1.1270664606009246e-30,6.7302929565602289e-36,9.6295764263847129e-30,2.4643989893906576e-58,7.1517558861481686e-46,3.0079511637863641e-42,4.8214631870595834e-81,1.2206580362075064e-83,3.6468445648218851e-83
2.1606603777531842e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,1.1601589314021648e-88,1.4465491936460946e-48,4.8378889831426391e-33,3.9921709192369371e-65,1.2998676317804769e-44,4.345873054451355e-106,2.1970816157919369e-20,2.9083480600807959e-93,2.1970816153516551e-20,6.7417837626401394e-63,6.4206569656469502e-56,1.2976854804641204e-88,7.8412148121357146e-90,8.5431957840193187e-43,6.7363626121710744e-74,8.713312177507653e-14,4.1894379264832384e-15,1.6148357003333039e-18,1.6148357689049591e-18,3.4289366853200878e-26,9.0158069638897759e-30,1.0038953184830467e-34,3.8519788747449719e-29,1.4689243129934938e-56,5.7257011145663691e-45,2.4064701797299584e-41,1.1486820120094262e-78,2.9096826424601875e-81,8.6929885077893365e-81
4.3213793687602476e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,5.7189101426459363e-86,2.314528281965243e-47,1.9381085240137864e-32,4.9193522028419375e-63,1.0399269757337006e-43,2.1416570550706106e-103,4.3942228337238497e-20,1.861432477953432e-91,4.3942228319626879e-20,1.078721938358436e-61,1.0273380661900012e-54,3.1976990813381471e-86,1.9321971301724486e-87,6.8346909195746639e-42,2.1557114876508989e-72,1.742686072497207e-13,8.3789895018228716e-15,3.2297151385437992e-18,3.2297154128720436e-18,1.3712420854310606e-25,7.2109729560269072e-29,1.5475907527044321e-33,1.5408161505071599e-28,9.0529412677443539e-55,4.5871071397907629e-44,1.9252138558868775e-40,2.8305308088842539e-76,7.1720125740403553e-79,2.1427179686245786e-78
8.642817350774375e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,2.8704421289224699e-83,3.7032626142690219e-46,7.7758045225424302e-32,6.1725440170619986e-61,8.3195467948049724e-43,1.0748027047317835e-100,8.7885052721976578e-20,1.1913454292033325e-89,8.7885052651529383e-20,1.7259842316957533e-60,1.6437567749611856e-53,8.0240228000507117e-84,4.8484828454410527e-85,5.4677729308177255e-41,6.8983970951439466e-71,3.4853957819375056e-13,1.6758092652491302e-14,6.4594738093628966e-18,6.4594749069751817e-18,5.482142277517394e-25,5.7658987900123014e-28,2.4283465034333423e-32,6.1632733180873082e-28,5.6804100873823718e-53,3.6800220894067676e-43,1.5401765881710672e-39,7.1026806265004149e-74,1.799953924607866e-76,5.3775732104339982e-76
1.7285693314802629e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,1.4538540333250648e-80,5.9251627305629392e-45,3.1289435874132886e-31,7.8156783556635648e-59,6.6556890409228732e-42,5.4436247895361939e-98,1.7577070159585194e-19,7.6247015397714888e-88,1.7577070131406176e-19,2.7615977575234596e-59,2.62998995908281e-52,2.0319317375993371e-81,1.2277856709995751e-82,4.3741727881323671e-40,2.2075060742857691e-69,6.9708152006077649e-13,3.3516298953784814e-14,1.2918990328593629e-17,1.2918994721367079e-17,2.1905659525293115e-24,4.608036233661674e-27,3.8442917742691679e-31,2.4652786828549309e-27,3.5965303957692259e-51,2.9604803348829253e-42,1.232128141797008e-38,1.7986179539013122e-71,4.5583668879479474e-74,1.3618716177612938e-73
3.457144524285914e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,7.392474415258884e-78,9.4799861218538916e-44,1.2664217477051578e-30,9.9350841698212597e-57,5.3245706094154509e-41,2.7681151005063716e-95,3.5154199976119944e-19,4.8798369295860128e-86,3.5154199863403614e-19,4.4185737850704959e-58,4.2078597916900421e-51,5.1658017540653094e-79,3.1214088484786201e-80,3.4992341970705057e-39,7.0640482447070325e-68,1.3941654037106935e-12,6.7032711556198439e-14,2.5838020077426076e-17,2.5838037666928561e-17,8.743923185984637e-24,3.6789250646079571e-26,6.1090123482657763e-30,9.8607943563610008e-27,2.2859784770831578e-49,2.3946289669124524e-41,9.8567273503269503e-38,4.5726388398332306e-69,1.1589047953997016e-71,3.4624104389222893e-71
