Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CHOX(50),H2X(46),CO2X(24),COX(47)
9.851791939568504e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999635,0.09999999999999748,0.099999999999999464,2.5020753600722451e-101,5.2149590280668585e-58,8.8030273625312078e-42,6.5652210218962672e-80,1.7844566034987351e-48,1.3939757077442366e-130,3.2568490511672309e-34,4.1818402290257616e-125,3.2552827480769309e-34,6.0132756152321729e-80,1.9054775130273907e-64,3.8970965982492785e-115,1.1725315088724535e-116,3.698954348025686e-55,6.5182440747601766e-97,2.5307669552871048e-15,1.1072814733686655e-15,2.4054939314009303e-19,2.4054939328118603e-19,7.0519661207787676e-29,2.8195606423696879e-32,1.3294585964197872e-38,3.091825728814015e-32,4.101097717516922e-62,5.1578638830080859e-46,2.1623210714468687e-90,3.3544501691716516e-55,2.6221620266363152e-91,6.317186599067363e-94
1.9712143211838633e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999271,0.09999999999999494,0.099999999999998909,1.2823657261450798e-98,8.3507455886179747e-57,7.0451458248008032e-41,8.4083760958630514e-78,1.4290125400034488e-47,1.4295022417551356e-127,6.5196631412032294e-34,2.6814004105907531e-123,6.5133938469399497e-34,9.6316914624543507e-79,3.0523117782865825e-63,1.0128171217218362e-112,3.0034416888502355e-114,2.9614123601004491e-54,2.0881792156829782e-95,5.0637326655285544e-15,2.2155249636559191e-15,4.8130777779247609e-19,4.8130777835732853e-19,2.8214962805537418e-28,2.2565199182791882e-31,2.1273919259198868e-37,1.2375359366966082e-31,2.6262077391541088e-60,4.1294269725153278e-45,5.5411558595870449e-88,5.3695519528728949e-54,6.7195428091080432e-89,1.6181485481731857e-91
3.9432845756378886e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998544,0.099999999999989875,0.099999999999997799,6.5655295772579581e-96,1.336664300320017e-55,5.63405491838594e-40,1.0760089794337183e-75,1.1437892168645684e-46,1.464086007894683e-124,1.3054701776384533e-33,1.7185566748795401e-121,1.3029616433210086e-33,1.5419071477547817e-77,4.8865382914039872e-62,2.6667924681739536e-110,7.6869556711684457e-112,2.3700295361363091e-53,6.6859215524665285e-94,1.0129664086004056e-14,4.4320119442302339e-15,9.628245466735282e-19,9.6282454893457554e-19,1.1280643740347898e-27,1.8045538700307069e-30,3.4021894968171454e-36,4.9517548487667661e-31,1.6803510491558845e-58,3.3047960574552165e-44,1.4184933740337447e-85,8.5885798592248201e-53,1.7201515144955336e-86,4.1414608464124681e-89
7.88742508454594e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997087,0.099999999999979744,0.099999999999995579,3.3579068756741661e-93,2.1390984889367301e-54,4.5013885678964637e-39,1.375650874709496e-73,9.1526310251897568e-46,1.497759682786943e-121,2.6162420867118131e-33,1.1017543115450071e-119,2.6062063159926773e-33,2.4677208342023253e-76,7.8207315822903844e-61,7.2004093945284911e-108,1.9655238553248419e-109,1.8963831021567068e-52,2.1400947665148044e-92,2.0261526926925479e-14,8.8649859053780952e-15,1.9258580827407777e-18,1.9258580917936372e-18,4.5057937434275144e-27,1.4417649355490328e-29,5.4363064434282073e-35,1.9810236877260494e-30,1.0741356155315014e-56,2.644338099525658e-43,3.6273982539924497e-83,1.372472164531025e-51,4.3988048315185028e-84,1.0589549929974374e-86
1.5775706102362044e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994172,0.099999999999959482,0.099999999999991152,1.7146493777798852e-90,3.422904494940742e-53,3.5907598560940424e-38,1.7560327019410417e-71,7.3230318253757828e-45,1.5296835349404011e-118,5.252842632953924e-33,7.0711962403119038e-118,5.2126962830065804e-33,3.9488889166893897e-75,1.2514980729147385e-59,2.0330988266378198e-105,5.0180537197922607e-107,1.5172495457487173e-51,6.8492631694686154e-91,4.0525252608649988e-14,1.7730933827670741e-14,3.8519251480958557e-18,3.8519251843675761e-18,1.7967307217796722e-26,1.150092247773273e-28,8.6735886895623277e-34,7.9247341484461392e-30,6.8556434400718335e-55,2.1156699696993716e-42,9.2612677254875572e-81,2.1898683596390964e-50,1.1230782562804034e-81,2.7035505196761392e-84
3.155226813799425e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988346,0.099999999999918945,0.099999999999982284,8.7300586219542083e-88,5.4769195627835356e-52,2.855781433321358e-37,2.235142414333141e-69,5.8587962465287539e-44,1.5576996411752947e-115,1.0586270637395708e-32,4.5498226350661381e-116,1.0425678703716664e-32,6.3186507226112244e-74,2.0025397113557872e-58,6.167484134620443e-103,1.2774468011180464e-104,1.2138556802264881e-50,2.1919177988921952e-89,8.1052703971625656e-14,3.5462829672243746e-14,7.7040592516883264e-18,7.7040593972357565e-18,7.1417520865662543e-26,9.1467750456184226e-28,1.3798749473954423e-32,3.1700182276282521e-29,4.3629569608780456e-53,1.6926141236012583e-41,2.3576511174043601e-78,3.4839433270379702e-49,2.859034339388853e-79,6.8824332164588971e-82
6.3105392209258655e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976692,0.099999999999837885,0.099999999999964548,4.4199318198468822e-85,8.7632726388276034e-51,2.2579984333492533e-36,2.8290641457734717e-67,4.6871852546465667e-43,1.5773029207760199e-112,2.1494034290717523e-32,2.942518539248357e-114,2.0851653491866094e-32,1.011018380453717e-72,3.2041712730493358e-57,2.0634278943052078e-100,3.2338511509437648e-102,9.7110506616099833e-50,7.0143826135028251e-88,1.6210760669568363e-13,7.0926621361340555e-14,1.5408327350402534e-17,1.5408327936177665e-17,2.8210248658616522e-25,7.2320280224795178e-27,2.1828453861924409e-31,1.2680295524916194e-28,2.761017703946745e-51,1.3541199149177166e-40,5.968189804774904e-76,5.511441164609572e-48,7.237406465130062e-77,1.7422850403058627e-79
1.2621164035178748e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039953386,0.099999999999675765,0.09999999999992909,2.2134662229572708e-82,1.4021344287125626e-49,1.765146780373969e-35,3.5419887534093626e-65,3.7498074090404739e-42,1.5797910760442303e-109,4.4273192147978037e-32,1.9222874545437858e-112,4.170364285508323e-32,1.6176567799394442e-71,5.1267394088286709e-56,7.6815765716837734e-98,8.0979156202105953e-100,7.7688922813188447e-49,2.2446416860145641e-86,3.2421741213622615e-13,1.4185420473933745e-13,3.0816863113948045e-17,3.0816865484682369e-17,1.1008139969129082e-24,5.6533274002457996e-26,3.4152288168126458e-30,5.0721415121488948e-28,1.7282464676050856e-49,1.0833031482246427e-39,1.4943747300425403e-73,8.6233689290096901e-47,1.8121780383958668e-74,4.362871519816663e-77
2.524241366368451e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039906773,0.09999999999935151,0.099999999999858161,1.0856920189421207e-79,2.2434067688508587e-48,1.3502898865825236e-34,4.3434902088521716e-63,2.9998694518601648e-41,1.549721778373856e-106,9.3686029847877714e-32,1.2802380181351327e-110,8.3407780729200988e-32,2.5882726134100676e-70,8.2027687364904497e-55,3.117391346436923e-95,1.9862383974282044e-97,6.2150859875803533e-48,7.1829158357785855e-85,6.4843702298701742e-13,2.8370937149454423e-13,6.1633932905507474e-17,6.1633942594874238e-17,4.1969356999793276e-24,4.3243811842910322e-25,5.2323672699749118e-29,2.0288442887259958e-27,1.0594830685330881e-47,8.6663863677645004e-39,3.6647385797206996e-71,1.3212407315186123e-45,4.4441260606171622e-72,1.0701151956738895e-74
5.0484912920696044e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039813545,0.099999999998703015,0.099999999999716302,5.1273210288762023e-77,3.5893898988526048e-47,9.9292786100097986e-34,5.1285963952165718e-61,2.3999047190833622e-40,1.4636835067468597e-103,2.0792979145248092e-31,8.8330543112827267e-109,1.6681669306826271e-31,4.1412531726306094e-69,1.3124205361176243e-53,1.3186443783088617e-92,4.6912604480896474e-95,4.9719799962150403e-47,2.2985428278524239e-83,1.2968762445674242e-12,5.6741970500180985e-13,1.232680655465008e-16,1.2326810575495199e-16,1.5337457724398878e-23,3.179521219106957e-24,7.7152598526943541e-28,8.1152167147147463e-27,6.2529649019315359e-46,6.9329852772338872e-38,8.6528379787260643e-69,1.9484346473857139e-44,1.0493152553211286e-69,2.5274852377638616e-72
