Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),H2X(49),COX(50),CO2X(24)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,9.6109870188836378e-102,1.3000050003080339e-54,4.5770362970354902e-36,3.493668245425488e-75,3.7906443883185215e-49,3.6216183399342183e-119,6.7613944650040928e-22,2.4755963362135028e-102,6.7613944649623768e-22,6.0545704042841581e-69,7.6873020620777905e-61,3.5066827054783032e-100,2.1188999136400534e-101,3.3235223079664506e-46,1.8631979713633284e-81,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656794408127e-20,4.969565685936907e-20,3.2496237536532556e-29,2.6311122181470458e-34,2.9634086485824471e-40,3.6496291843695279e-32,7.0211687447553442e-46,4.152482730740653e-65,1.6682593952561723e-49,3.104037264359432e-90,2.3351672256401621e-92
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,3.1496361970198364e-99,2.0817018908475538e-53,1.8320924674136547e-35,2.8601442929734564e-73,3.0355898548261013e-48,1.184879047029531e-116,1.3528663295394768e-21,1.5868304491503384e-100,1.3528663295227801e-21,9.6978348848813172e-68,1.2313996995224057e-59,5.7381133175836506e-98,3.4672335178765487e-99,2.6608386651028922e-45,5.9689254213050107e-80,5.3652748178718675e-15,2.5796718113483488e-16,9.9434489594023962e-20,9.9434489854038046e-20,1.3006858436808846e-28,2.106473010557163e-33,3.0424957923297413e-39,1.4608027797890662e-31,5.6212041035161097e-45,1.7018272615137293e-63,1.3356798216432172e-48,5.0792498328937981e-88,3.8274659520346874e-90
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.1580299310712151e-96,3.3320787592219136e-52,7.3314375951001381e-35,2.6275019166967103e-71,2.4297022180753534e-47,4.3496457151916063e-114,2.706320095642372e-21,1.0163558064714071e-98,2.7063200955755629e-21,1.552495837887091e-66,1.9713853349756583e-58,1.0535709532142345e-95,6.3661630926596167e-97,2.1294795750717005e-44,1.9111274917644046e-78,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215499820916e-19,1.9891215603861262e-19,5.2043532975855272e-28,1.6857920505674877e-32,3.5072512321372622e-38,5.8451137846647376e-31,4.4986715799095596e-44,7.8275303729013791e-62,1.0690425225506943e-47,9.3259748987407498e-86,7.0385820362656009e-88
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,4.7638216870673357e-94,5.332410697506319e-51,2.9335975481928405e-34,2.7011047385212946e-69,1.9442540212323396e-46,1.7870341951661424e-111,5.4132276279472023e-21,6.5071880906916623e-97,5.4132276276799209e-21,2.4846673288775122e-65,3.1551333910980999e-57,2.1649061639350053e-93,1.308136455114702e-94,1.7039071381248813e-43,6.1173226468328293e-77,2.1468088339816482e-14,1.0322047651573227e-15,3.9786748502639378e-19,3.9786748918875219e-19,2.0820127591234979e-27,1.3488472721590271e-31,4.5223091068745987e-37,2.3384260302203691e-30,3.5996206068623175e-43,4.0281094027898345e-60,8.5554482443499839e-47,1.9163266028653801e-83,1.4481605155236212e-85
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.1404897321575117e-91,8.532724410966714e-50,1.1739706111550038e-33,3.0333542536584146e-67,1.5556001283476261e-45,8.0224080752147319e-109,1.0827042692953019e-20,4.1654040272608122e-95,1.0827042691883808e-20,3.9760069654440277e-64,5.0489467170303223e-56,4.8603868484561285e-91,2.9368705803312165e-92,1.3632550383377079e-42,1.957817622916358e-75,4.2938506368982849e-14,2.0645215438537819e-15,7.9577814196201961e-19,7.9577815861334779e-19,8.3281892657341822e-27,1.0791122787901461e-30,6.3637607493071793e-36,9.3544646401247467e-30,2.8799696567544236e-42,2.2636729451571798e-58,6.8473825977005539e-46,4.3023058889548218e-81,3.2541212484411342e-83
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.0193829613027659e-88,1.3653051146591518e-48,4.699561745863927e-33,3.6109295136945278e-65,1.2445588538097103e-44,3.8185211707574399e-106,2.1654672824549287e-20,2.6661157368107393e-93,2.1654672820272266e-20,6.3620424766626169e-63,8.078900426736547e-55,1.1568749307810307e-88,6.9903735131680262e-90,1.0906556410258627e-41,6.2654553409338438e-74,8.5879342426996336e-14,4.1291551012460408e-15,1.5915994433502983e-18,1.5915995099626368e-18,3.3309796661057073e-26,8.6322202228073898e-30,9.4835671934033839e-35,3.7419375111773324e-29,2.3040846875621571e-41,1.3480327546345318e-56,5.4819642410752033e-45,1.024039834154724e-78,7.7496609591292417e-81
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,5.0223741585392448e-86,2.1845429794464451e-47,1.8826525622936673e-32,4.4472680208752546e-63,9.9567855530783133e-44,1.8807767717872881e-103,4.330993309408035e-20,1.7063963193769647e-91,4.3309933076971923e-20,1.0179612751986211e-61,1.2926706040478015e-53,2.8492411118564296e-86,1.7216432879786973e-87,8.7254495984465245e-41,2.0050158874679574e-72,1.7176101454174625e-13,8.2584222160279254e-15,3.1832419961949634e-18,3.1832422626842493e-18,1.3320738157560561e-25,6.9042001171565759e-29,1.4612337300424303e-33,1.4968049727247554e-28,1.8433108365794364e-40,8.3036266812841391e-55,4.3917504716220704e-44,2.5220844691648062e-76,1.9092153198844959e-78
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,2.5201602084853159e-83,3.4953107714409841e-46,7.5529878458157676e-32,5.5786987950094859e-61,7.965553866958319e-43,9.4360105261046285e-101,8.6620453658496573e-20,1.0921199032434187e-89,8.6620453590062168e-20,1.6287655316272971e-60,2.0683091702244053e-52,7.1477032717985316e-84,4.3189729732431609e-85,6.9804383052205906e-40,6.416162769498513e-71,3.4352435876613784e-13,1.651695644558117e-14,6.3665269021567398e-18,6.366527968400612e-18,5.3255901684928613e-25,5.5206436019923373e-28,2.2922408779671088e-32,5.9872769214415582e-28,1.474665104906609e-39,5.2088521955921054e-53,3.5231553399360272e-43,6.3269865445054949e-74,4.7902702714076557e-76
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,1.2762763844789572e-80,5.5925249719467084e-45,3.0390255421197748e-31,7.0628476588671201e-59,6.37249251740106e-42,4.7782766486768275e-98,1.7324149488874542e-19,6.9896506268632936e-88,1.7324149461500638e-19,2.6060465483978148e-59,3.3093203536328149e-51,1.8097867650634184e-81,1.0935568840507544e-82,5.5843770346116623e-39,2.0531897660697701e-69,6.870510471944883e-13,3.3034024904645548e-14,1.2733095915170187e-17,1.2733100182371407e-17,2.1280426509699857e-24,4.4120960442052683e-27,3.6283725097777156e-31,2.3949198495384637e-27,1.1797373795079514e-38,3.2975471731344375e-51,2.8340605254203488e-42,1.6019824139820684e-71,1.2129825433159186e-73
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,6.489253074356861e-78,8.9480433739061266e-44,1.2298241556006636e-30,8.9777102182963183e-57,5.0980125893743345e-41,2.42944263963431e-95,3.4648357775490853e-19,4.4734020374150007e-86,3.4648357665994995e-19,4.1696908903104894e-58,5.2949226084951645e-50,4.6008304814934017e-79,2.7800346055732956e-80,4.4675040873466291e-38,6.5702340731937654e-68,1.3741044239694581e-12,6.6068161822605875e-14,2.5466230745557435e-17,2.5466247831989303e-17,8.4946091914485782e-24,3.5225951530621229e-26,5.765649973005098e-30,9.5796789586034992e-27,9.4378997590335714e-38,2.095851855593608e-49,2.292016967042485e-41,4.0725502270332468e-69,3.0837414329833315e-71
