Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),H2OX(35),CXHO(27),OCX(21),COX(37),HOCXO(25),CO2X(34),CX(24),CH3OHX(46),CH2O3(144),SX(155),HO2X(135),CH2O2(69),SX(192),C2H6X(39)
1.275399646740728e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16097593818896314,0.09968260567324827,0.084431811278972424,1.1402004428205613e-08,9.9153079015891748e-05,2.0207637691077387e-05,3.2201001297222225e-07,1.4142718372576676e-09,5.1682694065731283e-17,2.2152466193345595e-11,0.0,1.8217491140106746e-14,2.6719734167007694e-20,5.0419693198292563e-09,1.0510066070962712e-17,6.5882621487726864e-17,2.0100738312562823e-12,1.7333279189250845e-29,2.9754387843612518e-05,0.03097716205419928,1.6044106942935608e-08,5.8510846162907111e-05,0.00056704290284782105,2.2243973922162932e-09,0.00028612407701269739,6.0310660120419943e-09,2.9582253850331728e-08,4.5435912145786201e-13,1.1561205387313524e-06,9.6064323845020013e-11,4.1369335226111824e-13,3.3994950551080323e-12,4.0936251250296075e-12,1.504171337680042e-12,4.9661978211447478e-12,1.4797364034646725e-15,7.8342373250389313e-09,5.641107519675379e-11,1.6821020352933082e-14,4.2202024717683443e-13
1.278845169200933e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16090995849827136,0.09968131396147431,0.084399474693202636,1.1600698622103613e-08,0.00010025914155737383,2.0364439014843674e-05,3.2536862741307738e-07,1.4221476874223441e-09,5.2343379209145599e-17,2.2208597353749477e-11,0.0,1.8273982147195989e-14,2.7149218637338305e-20,5.0903367886879513e-09,1.0605380527465151e-17,6.6617899924088292e-17,2.0235874721383073e-12,1.7752807821269438e-29,2.9741806454575634e-05,0.031040452796046978,1.6060696266774406e-08,5.8772186848917095e-05,0.00056818197793787647,2.2397839193373638e-09,0.00028741397683575403,6.0753768297420738e-09,2.9900051860923662e-08,4.5752670410859094e-13,1.1668583814388468e-06,9.7026667869132908e-11,4.1957186862406717e-13,3.4573320756908676e-12,4.1142427938680423e-12,1.5179816997810305e-12,5.0792740589369922e-12,1.5128190911348726e-15,7.9158778633183402e-09,5.726716127749162e-11,1.7069358405439469e-14,4.241969163963087e-13
1.281337191477168e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16086229505294652,0.099680378540822123,0.084376111026614242,1.1746109584448718e-08,0.0001010635709896188,2.0478034707975846e-05,3.2781310337481923e-07,1.4278541371860315e-09,5.2824922081406185e-17,2.2249132935651376e-11,0.0,1.8314686586856588e-14,2.7463136530205051e-20,5.1254846890462123e-09,1.0674670707068502e-17,6.7153364122167235e-17,2.0333758349845926e-12,1.8061633842441411e-29,2.9732717225852818e-05,0.031086176007268335,1.6072653142667552e-08,5.8960948946279978e-05,0.00056900034400645869,2.2509314690449434e-09,0.00028834801775336595,6.1074592924526946e-09,3.0131074480541952e-08,4.5982535086824885e-13,1.1746662663282382e-06,9.7726785526286744e-11,4.2386100168395115e-13,3.4996420147698124e-12,4.129196428649975e-12,1.5280127604807262e-12,5.1623738996422292e-12,1.5371220010548597e-15,7.9752562811227269e-09,5.7892439193931156e-11,1.7250667211159143e-14,4.2577319599897558e-13
1.283829213753403e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16081467961921597,0.099679442138535537,0.084352767656090413,1.1892961029904841e-08,0.00010187173707518148,2.0591784501896198e-05,3.3027047358617113e-07,1.433569070307472e-09,5.3309576031919939e-17,2.2289616483662084e-11,0.0,1.835526185941615e-14,2.7779831627629709e-20,5.1607714299241096e-09,1.0744257522785479e-17,6.7691915396379885e-17,2.0431761528026474e-12,1.8375051514501621e-29,2.9723636744341952e-05,0.031131855054684736,1.6084575273395469e-08,5.9149493603650072e-05,0.00056981411130133976,2.2620948401788853e-09,0.00028928298208303249,6.1395694753147691e-09,3.0363078285127831e-08,4.621304196211564e-13,1.1825091445059229e-06,9.8430344792226346e-11,4.2818168194996167e-13,3.542356598415237e-12,4.1441921930518521e-12,1.5380794715166281e-12,5.2465910525538308e-12,1.5617435158379754e-15,8.0349126316392208e-09,5.8522868875347634e-11,1.7433406257973369e-14,4.2735112468107854e-13
1.2860720338020146e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16077186672237825,0.099678598538790505,0.084331775949901266,1.2026367252420809e-08,0.00010260227962862361,2.0694289004158297e-05,3.3249316208272893e-07,1.4387197482057792e-09,5.3748432631328784e-17,2.2326007234984865e-11,0.0,1.8391668922906953e-14,2.8067244830669133e-20,5.19264817266381e-09,1.0807139722389393e-17,6.8179259535249047e-17,2.0520065428739314e-12,1.8661099256674478e-29,2.9715471779915111e-05,0.03117292849238756,1.6095275601508898e-08,5.9318996164147472e-05,0.00057054257459799055,2.2721552907529999e-09,0.00029012523779760975,6.168491713192849e-09,3.0572719447989047e-08,4.6421047367638538e-13,1.1895977142384389e-06,9.9066497551047226e-11,4.3209737069960749e-13,3.5811478868657091e-12,4.1577261043451144e-12,1.5471699596236623e-12,5.3233512051007727e-12,1.584177864170923e-15,8.0888411895844671e-09,5.9094682314325674e-11,1.7599099809658488e-14,4.2877266518452175e-13
1.288314853850626e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16072909260981255,0.099677754146915265,0.084310800635431601,1.2160955762319264e-08,0.00010333584552147762,2.0796914476920365e-05,3.3472635213037588e-07,1.4438772693874072e-09,5.4189824218154589e-17,2.2362355926868365e-11,0.0,1.8427970912232919e-14,2.835693198904313e-20,5.2246373139489161e-09,1.0870263018855193e-17,6.866912011582592e-17,2.0608463978541558e-12,1.8950952204387469e-29,2.9707313882210969e-05,0.031213966259929352,1.6105948004437287e-08,5.9488319413953495e-05,0.00057126732173970343,2.2822283507658052e-09,0.00029096823831628772,6.1974352368580702e-09,3.0783153165057371e-08,4.6629573209316887e-13,1.1967147404153534e-06,9.9705450751691872e-11,4.360388056214482e-13,3.6202710245883513e-12,4.1712914336010249e-12,1.5562892629433743e-12,5.4010339600417217e-12,1.606875095586746e-15,8.1429952613899228e-09,5.967070960719909e-11,1.7765962198698355e-14,4.3019553163836455e-13
1.2905576738992376e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16068635723156863,0.099676908964321118,0.084289841689968031,1.2296733935505257e-08,0.00010407243306948857,2.0899659096713911e-05,3.3697007082901552e-07,1.4490416205246447e-09,5.4633757880438169e-17,2.2398662601465737e-11,0.0,1.846416762253499e-14,2.8648904693145212e-20,5.2567388222952321e-09,1.0933627800444614e-17,6.9161504680535084e-17,2.0696956143516909e-12,1.924465159308297e-29,2.9699163042425506e-05,0.031254968405809207,1.6116592584871602e-08,5.965746187093769e-05,0.00057198835710709601,2.2923139231649882e-09,0.00029181198214921352,6.2263994944143361e-09,3.0994378364878362e-08,4.6838619606330844e-13,1.2038602759496497e-06,1.0034721042081194e-10,4.4000607801258292e-13,3.6597279553096197e-12,4.1848899905763182e-12,1.5654373517946935e-12,5.4796477187081228e-12,1.6298375085382614e-15,8.1973750271788778e-09,6.025097016872687e-11,1.7933998325651969e-14,4.3161971942064625e-13
1.292800493947849e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1606436605375976,0.099676062992415049,0.084268899090840163,1.2433709170622711e-08,0.00010481204052666072,2.1002521040713386e-05,3.3922434527906948e-07,1.4542127883200418e-09,5.5080240690908576e-17,2.2434927301219388e-11,0.0,1.8500258853877468e-14,2.8943174547922508e-20,5.2889526649626741e-09,1.0997234454831065e-17,6.9656420775662545e-17,2.0785540890866275e-12,1.9542238988429495e-29,2.9691019251734871e-05,0.031295934978485256,1.6127209445018074e-08,5.9826422069695511e-05,0.00057270568519920051,2.3024119112154424e-09,0.00029265646781087464,6.2553839347437508e-09,3.1206393959141322e-08,4.7048186676928684e-13,1.2110343737021357e-06,1.0099178258026237e-10,4.4399927911649321e-13,3.6995206276523194e-12,4.1985245174140796e-12,1.5746141961677307e-12,5.55920092990626e-12,1.6530674133268066e-15,8.2519806646358621e-09,6.0835483432286983e-11,1.8103213092073439e-14,4.3304522392341936e-13
1.2950433139964606e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16060100247775358,0.099675216232599742,0.084247972815420541,1.257188888901609e-08,0.0001055546660856738,2.1105498486853126e-05,3.4148920258139758e-07,1.45939075950637e-09,5.5529279706939227e-17,2.2471150068856216e-11,0.0,1.8536244411233338e-14,2.9239753172680897e-20,5.3212788079645347e-09,1.1061083369100244e-17,7.0153875951333436e-17,2.0874217188956549e-12,1.9843756287776491e-29,2.9682882501295481e-05,0.031336866026374394,1.6137798686599385e-08,5.9995198561518401e-05,0.00057341931063237424,2.3125222185032739e-09,0.00029350169382008249,6.2843880075401242e-09,3.1419198842822606e-08,4.7258274538432245e-13,1.2182370864899771e-06,1.0163917324708605e-10,4.4801850011720033e-13,3.7396509951192558e-12,4.2121901447845795e-12,1.5838197657268934e-12,5.6397020899609656e-12,1.676567132101745e-15,8.3068123490167504e-09,6.1424268849668553e-11,1.8273611400451589e-14,4.3447204055270655e-13
1.297286134045072e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16055838300179517,0.099674368686273718,0.084227062841124606,1.271128053469224e-08,0.00010630030787831114,2.1208589613941029e-05,3.4376466983724919e-07,1.4645755208465697e-09,5.5980881970510743e-17,2.2507330947382892e-11,0.0,1.8572124104468224e-14,2.9538652200891242e-20,5.3537172160768007e-09,1.1125174929750739e-17,7.0653877761490125e-17,2.0962984007367879e-12,2.0149245721595815e-29,2.9674752782244062e-05,0.031377761597851966,1.6148360410855305e-08,6.0163789914385244e-05,0.00057412923813917238,2.3226447489412208e-09,0.00029434765869995366,6.3134111633415651e-09,3.1632791894336553e-08,4.7468883307245035e-13,1.2254684670731362e-06,1.022893884335232e-10,4.5206383212684036e-13,3.780121016076748e-12,4.2258879222653683e-12,1.5930540298140876e-12,5.721159742755068e-12,1.7003389988584628e-15,8.3618702531592988e-09,6.2017345890871059e-11,1.844519815415213e-14,4.3590016472844853e-13
