Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),COX(50),H2X(49),CO2X(24),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-9.0701125477989316e-124,9.4136390676434123e-66,8.3315432680853117e-42,4.5144440961939874e-92,8.8692596802223496e-58,2.245965236291536e-141,7.4501611959771852e-25,-1.9995356400851937e-118,7.4501611959771098e-25,2.9246489563543249e-80,3.18335922262948e-72,9.9100421043263956e-120,5.9881037596310141e-121,1.1658555583087956e-54,1.9198818752253694e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950205903e-23,5.4758013950324169e-23,5.9155858604789702e-35,9.2297170739637161e-43,7.4661553864333925e-49,6.6436973537655605e-38,2.470113890521984e-79,2.4629459258495311e-54,8.7721449761908525e-110,5.8518122821373172e-58,-1.0042435439423401e-111,-3.3613698448990896e-112
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.644361783415439e-121,2.1058812844397323e-64,5.0322525689963083e-41,4.9920757552248585e-90,1.3403225228642476e-56,8.1097189057609003e-139,2.0860451348736362e-24,3.8595026619418864e-117,2.0860451348735907e-24,8.2479780006871913e-79,1.0008990772454984e-70,1.9824458353328037e-117,1.1978850578534566e-118,1.3841037188003559e-53,9.9378615120697384e-94,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906038508e-22,1.5332243906109938e-22,3.5730138058978244e-34,1.0957519952666738e-41,8.8701807770076083e-48,4.0127932015989057e-37,1.5037515010394879e-77,2.9240094031083058e-53,1.7548161845697582e-107,6.9472720913998249e-57,1.0170450220245432e-109,3.4042185140996852e-110
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.9519832570941912e-119,4.1609442469060622e-63,2.4228134349683566e-40,4.5232923383731314e-88,1.4418578076751094e-55,2.9407602545116579e-136,4.7681031654255694e-24,4.0752597066438409e-115,4.768103165425349e-24,1.7941153735157796e-77,2.2329507821368738e-69,3.5944320878568873e-115,2.1719213774683461e-116,1.358921238690809e-52,4.3392592642811755e-92,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927997758e-22,3.5045128928341637e-22,1.7202522874800752e-33,1.0758157733028857e-40,8.7222701347560321e-47,1.9319871903617847e-36,6.7990020499901291e-76,2.8708097709834157e-52,3.1817099310079933e-105,6.8208741012030479e-56,2.1330651968141745e-107,7.1397232930510532e-108
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,2.2429036210560531e-116,7.4042414610894677e-62,1.0581066694095805e-39,3.4336842625130087e-86,1.3253157354656936e-54,8.9437852329087487e-134,1.0132219226529824e-23,3.2211534004109701e-113,1.0132219226528862e-23,3.3259875358798019e-76,4.182069689172172e-68,5.4629974690515657e-113,3.3009946210244396e-114,1.2019504462387964e-51,1.6153974258762062e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898971609896e-22,7.4470898973111708e-22,7.512793208420504e-33,9.5154680889688591e-40,7.7387183289866135e-46,8.4374956381121039e-36,2.5750250325509713e-74,2.5391987313215541e-51,4.8357217147846933e-103,6.0329879711940399e-55,3.4383990780978868e-105,1.150889247015235e-105
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,6.4548266561919809e-114,1.2488387122618505e-60,4.4173903100028147e-39,2.3999045898642163e-84,1.1338355143599249e-53,2.502584835296754e-131,2.086045134873989e-23,2.2830394572107157e-111,2.0860451348735867e-23,5.7165227805824941e-75,7.2234853795820089e-67,7.6408893770995706e-111,4.6169771951545356e-112,1.0103117728598204e-50,5.5652890612015691e-89,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243905760867e-21,1.5332243906387842e-21,3.1364428722770272e-32,7.9983232800838931e-39,6.5451817619922835e-45,3.5224883359133576e-35,8.9884663459578486e-73,2.1343495314946838e-50,6.7635423386326847e-101,5.0710933913003927e-54,4.9458024209045473e-103,1.6554421670281133e-103
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.7664612627811954e-111,2.0512255132128674e-59,1.8046507366826233e-38,1.6187767288442195e-82,9.3747712946553447e-53,6.7548098476248219e-129,4.2316915593166244e-23,1.5363808930938916e-109,4.2316915593149798e-23,9.4747172785166318e-74,1.2001928990606416e-65,1.0310532561244977e-108,6.2300985328819211e-110,8.2831463160886738e-50,1.8469165312207236e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551922470429e-21,3.1102551925031829e-21,1.2813389239199164e-31,6.5575070256411571e-38,5.4322611548917735e-44,1.4390514207233723e-34,3.0298446428286137e-71,1.7498686972601448e-49,9.1266500609533448e-99,4.157594462655212e-53,6.7662515650111265e-101,2.2647767112142903e-101
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.7574869761581804e-109,3.3251283113087729e-58,7.2947083147420473e-38,1.0822660768686564e-80,7.6234083239623796e-52,1.8066105628614981e-126,8.5229844082043823e-23,1.0080756998458315e-107,8.5229844081977349e-23,1.5427120926753311e-72,1.9566173372340966e-64,1.3787568016100197e-106,8.3310834560353352e-108,6.7079066378241333e-49,6.0179086205614058e-86,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167953928771e-21,6.2643167964282383e-21,5.1793741389784979e-31,5.3104365516327761e-37,4.5062890398822722e-43,5.8168759233600734e-34,1.0126965312028505e-69,1.4170890384363785e-48,1.2204443144099871e-96,3.3669370500126177e-52,9.1109980699054343e-99,3.0496022799387411e-99
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,1.291995642984877e-106,5.3550193291712252e-57,2.9331874188954559e-37,7.3215811410135473e-79,6.1485549892568677e-51,4.8880852799924809e-124,1.7105570105989859e-22,6.5321805109781362e-106,1.7105570105963124e-22,2.4899435369520189e-71,3.1599422218829769e-63,1.8653083014114063e-104,1.1271051648137612e-105,5.3991068303458623e-48,1.9431462265651118e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.257244000090024e-20,1.2572440005063381e-20,2.0826014224243891e-30,4.2742970642175976e-36,3.7994659581446697e-42,2.3389402222333575e-33,3.4260799833329282e-68,1.1405965404604058e-47,1.651128688378229e-94,2.7100187633152779e-51,1.2371797353781699e-96,4.1410459053716564e-97
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,3.6261906039487316e-104,8.595994120255853e-56,1.1763532121699169e-36,5.1275923801730727e-77,4.9388537386071388e-50,1.3688108607079791e-121,3.4270741501600635e-22,4.2065413894175121e-104,3.427074150149342e-22,4.0012724183463171e-70,5.079514818707498e-62,2.6120392471870679e-102,1.5783143840152326e-103,4.332443197108285e-47,6.2460699107267902e-83,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686408777727e-20,2.5188686425473806e-20,8.3521460123386306e-30,3.4298473552856067e-35,3.3255320530942262e-41,9.3801963836757671e-33,1.2003221462677655e-66,9.1525688883725166e-47,2.312118016471377e-92,2.1746433128686583e-50,1.7363784637210687e-94,5.8119468485975728e-95
