Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.630411269939308e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.1256855465753672e-123,3.6016689685214292e-65,1.7199064111836129e-46,1.8004939711741188e-74,1.5271172459073244e-58,4.6280311396548815e-49,4.4664203309033219e-29,-3.7949196423262999e-114,4.4664203308748346e-29,3.2282194530044415e-74,3.7312395039358826e-72,4.251881724055194e-75,3.9300279576406037e-106,4.628033735747573e-49,6.6981854564074011e-92,2.7152764016631495e-18,7.9200635163297998e-19,1.7949108538396479e-23,2.1103984942795867e-37,1.7949108538421467e-23,1.2598175797045861e-35,3.6347388202219764e-43,3.9663244608727131e-50,1.005389147594344e-79,7.2691715464668258e-54,2.6127972253249722e-92,-5.8145005079737693e-112
2.4165151555830062e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.052108711875069e-121,7.2936886174951417e-64,1.0390531490185697e-45,2.1375464425899736e-73,2.3077795820164413e-57,2.7953308083687701e-48,1.2505976926621636e-28,-3.579461721411048e-114,1.2505976926449572e-28,4.8784852419039742e-73,1.1731614279092316e-70,5.0478339828268067e-74,8.7913153401730548e-105,2.7953338904500122e-48,1.8889954713637158e-90,7.6027739246568145e-18,2.2176177845723436e-18,5.0257503907470009e-23,1.274680690508827e-36,5.0257503907620924e-23,7.6092979694326489e-35,4.3151618143288547e-42,4.7383290553229011e-49,6.1539715383942548e-78,8.6299604597117723e-53,5.8447228811775199e-91,5.9210536567586537e-110
5.523463212761157e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,8.7758740368194053e-119,1.3553203218550068e-62,5.0049329934833972e-45,2.0986557728379373e-72,2.4826039643206815e-56,1.3458314554374721e-47,2.8585090118427602e-28,7.0161862518955914e-114,2.8585090117599194e-28,5.2480518052259567e-72,2.617258611955126e-69,4.955993337647022e-73,1.7370157649055751e-103,1.3458344814431117e-47,4.1089777585689719e-89,1.737776897064412e-17,5.0688406504510709e-18,1.1487429464545654e-22,6.1370388208243863e-36,1.1487429464618312e-22,3.6635492038063773e-34,4.2366512184308576e-41,4.7146246182197392e-48,2.8149793123365166e-76,8.4729463537754348e-52,1.1548187493227718e-89,1.2562222472736152e-107
1.1737359327117458e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,2.8964439127232029e-116,2.3358847751835091e-61,2.1878411298943374e-44,1.8562372646001768e-71,2.2819407581948644e-55,5.8775995476286348e-47,6.074331650351687e-28,4.2093328950395776e-112,6.0743316499899e-28,4.8238637695912207e-71,4.901835722148508e-68,4.3835199824173449e-72,3.0909267453292727e-102,5.8776263123058286e-47,7.6173522697943877e-88,3.6927759062618649e-17,1.0771286382208527e-17,2.4410787612078739e-22,2.6802060871764008e-35,2.4410787612396057e-22,1.5999679976511504e-33,3.7472695982143844e-40,4.2812231809482288e-47,1.0907875243006216e-74,7.49422509589421e-51,2.0549382627133617e-88,2.0716199870976229e-105
2.4165151555830064e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,8.7071562794244074e-114,3.8763981899843695e-60,9.15098367421092e-44,1.5602792676583893e-70,1.9522483617201236e-54,2.4537821104852592e-46,1.2505976927960481e-27,1.5002130791385022e-110,1.2505976926450092e-27,4.1269170166885295e-70,8.4667022075524473e-67,3.6846126722950169e-71,5.2132997356051038e-101,2.453804607809128e-46,1.3092282316016487e-86,7.6027739246567356e-17,2.2176177845723436e-17,5.0257503906888017e-22,1.1189332811642293e-34,5.0257503908212761e-22,6.6795498504312996e-33,3.1498051706839335e-39,3.7856799109382259e-46,3.9781824820715437e-73,6.299347752427604e-50,3.4659537362328724e-87,3.1128778355709807e-103
4.902073601325527e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,2.5825631573076784e-111,6.3151701099422857e-59,3.7525131710471338e-43,1.2792112118544823e-69,1.6141566982119783e-53,1.0024500571772098e-45,2.5369267485541826e-27,5.0413192607297693e-109,2.5369267479371391e-27,3.4122147996868588e-69,1.4067552341376075e-65,3.0208680839645767e-70,8.5628604711333174e-100,1.0024685018425403e-45,2.1699497817981079e-85,1.5422769961446328e-16,4.4985960772753233e-17,1.0195093649547907e-21,4.5712075502922489e-34,1.0195093650089106e-21,2.728812766613585e-32,2.5823994070667134e-38,3.4104809024643147e-45,1.4539543803326047e-71,5.164585875364064e-49,5.6928394196197218e-86,4.6162261937723218e-101
9.873190492810568e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,7.9936571277684888e-109,1.0195263252326966e-57,1.5281748164060158e-42,1.0359384053532594e-68,1.3126054196850044e-52,4.0520634099357106e-45,5.109584861015955e-27,1.6526263893782835e-107,5.1095848585217668e-27,2.7747564123082084e-68,2.2933660761430213e-64,2.44637729616812e-69,1.3880765825148162e-98,4.052212779617526e-45,3.5332007040732426e-84,3.1062762035024943e-16,9.0605526626812747e-17,2.0533780166855096e-21,1.8477551773676877e-33,2.0533780169042712e-21,1.1030287027573936e-31,2.0912920898164693e-37,3.2587382553779041e-44,5.5884657714082702e-70,4.1824155385302478e-48,9.228338021118189e-85,7.1451768175079054e-99
1.981542427578065e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,2.6971207791258097e-106,1.6385461418285605e-56,6.235991934564755e-42,8.3381335356047995e-68,1.058663823268119e-51,1.6293168761971764e-44,1.025490108972151e-26,5.3523079406429421e-106,1.0254901079692488e-26,2.2379415784185689e-67,3.7037923317894404e-63,1.9690572787427115e-68,2.2354545450057062e-97,1.6294371019117536e-44,5.7026002044375526e-83,6.2342746182179865e-16,1.818446583349315e-16,4.1211153199825416e-21,7.4297422866474316e-33,4.1211153208621717e-21,4.4352214771051021e-31,1.6832507483696265e-36,3.4227222709900323e-43,2.350669554245553e-68,3.3663718804626495e-47,1.4861953891823202e-83,1.2057414103578157e-96
3.9699891841720814e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998757,0.099999999999999825,1.0162018395732181e-103,2.6275267247967088e-55,2.5741167169281831e-41,6.6908270503472316e-67,8.503763552891495e-51,6.5342894088236234e-44,2.0545533562260665e-26,1.7230333387903812e-104,2.0545533522039797e-26,1.7976363954434377e-66,5.9537379771999679e-62,1.5800444605339299e-67,3.5883996261052523e-96,6.5352541444641259e-44,9.1639255129544518e-82,1.2490271447648051e-15,3.6432292175116776e-16,8.2565899259189794e-21,2.979658948802924e-32,8.2565899294466947e-21,1.7787154258941491e-30,1.3506978011197195e-35,4.0301021918250865e-42,1.1061922055160382e-66,2.7013014163422018e-46,2.3856727431330666e-82,2.2721584990283338e-94
7.946882697360115e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999682,0.099999999999997508,0.099999999999999645,4.2596242651380341e-101,4.2087288874028995e-54,1.0896291456497204e-40,5.360803675498467e-66,6.8168190397335905e-50,2.6171240351846398e-43,4.1126798567851154e-26,5.5302349225380197e-103,4.1126798406757912e-26,1.4410280980322852e-65,9.548175056225775e-61,1.2659583167069748e-66,5.7507959871772301e-95,2.6178969976722891e-43,1.4694165933263026e-80,2.5002265106504496e-15,7.2927944858363544e-16,1.6527539135161357e-20,1.1934177521737065e-31,1.6527539149290674e-20,7.1240853116053521e-30,1.0821940175480661e-34,5.2858218413792416e-41,5.795695045462898e-65,2.164328312316751e-45,3.8232969165811703e-81,4.7633975358910986e-92
1.590066972373618e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999936,0.09999999999999501,0.099999999999999284,1.9381804093837704e-98,6.7377165676860065e-53,4.8307704088454393e-40,4.291902562470334e-65,5.4589839109770201e-49,1.0475316598011486e-42,8.2289328821080846e-26,1.7723242689220581e-101,8.2289328176288078e-26,1.1539912426113002e-64,1.5294858641059827e-59,1.0135364133974436e-65,9.2087663673958108e-94,1.0481504997766442e-42,2.3536203281502945e-79,5.0026252424202669e-15,1.4591925022485521e-15,3.3069437543124115e-20,4.7767810714467259e-31,3.3069437599678633e-20,2.8514473896668574e-29,8.6640061842166705e-34,7.5252408221180861e-40,3.2968212540910641e-63,1.7327786258141148e-44,6.1222564797995326e-80,1.0839057941395704e-89
3.1808243776488313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998716,0.09999999999999,0.099999999999998548,9.3002818468524536e-96,1.0783347139370707e-51,2.3085750567096519e-39,3.4348265944645739e-64,4.3693996760518892e-48,4.191491140546907e-42,1.6461439029573509e-25,5.6756801434263553e-100,1.6461438771572413e-25,9.2366077504860021e-64,2.4486005428530593e-58,8.11137170212734e-65,1.4740023971395526e-92,4.1964437409893157e-42,3.7678368978948729e-78,1.0007422705954008e-14,2.9190186095783086e-15,6.6153234316961659e-20,1.911334574172218e-30,6.6153234543256851e-20,1.1409157041250906e-28,6.9336361928113828e-33,1.1293649790025938e-38,1.9777054794085256e-61,1.3867494821369182e-43,9.7995978349090571e-79,2.6008359309709706e-87
6.362339188199258e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997423,0.099999999999979994,0.099999999999997091,4.6018154155538298e-93,1.7255755352378276e-50,1.2241138243808223e-38,2.748384743778375e-63,3.4964049676107212e-47,1.6768694122691762e-41,3.2926451711782287e-25,1.8168969303612856e-98,3.2926450679609924e-25,7.3911585302269106e-63,3.9188995901918594e-57,6.4903298440844242e-64,2.3588850224310786e-91,1.6808322448681027e-41,6.0301755923466258e-77,2.0017017632997919e-14,5.8386708242375136e-15,1.3232082769628477e-19,7.646582411306827e-30,1.3232082860164063e-19,4.5641283549252607e-28,5.5476393046116841e-32,1.7471396467594561e-37,1.2233193644928643e-59,1.1096102089271113e-42,1.5682555497883107e-77,6.4349245861087733e-85
1.2725368809300112e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994836,0.099999999999959968,0.099999999999994177,2.3149714565731337e-90,2.7611125985002811e-49,7.3009082073206358e-38,2.1989363044316655e-62,2.7974780947423519e-46,6.7080237353049104e-41,6.5856478625311606e-25,5.8151585258027841e-97,6.5856474496286119e-25,5.9136770459743028e-62,6.2711498959311625e-56,5.1927570186073045e-63,3.7746318976483295e-90,6.7397294026593503e-41,9.6495922712569121e-76,4.0036207486991454e-14,1.1677975253554699e-14,2.6465601378152311e-19,3.0588815220996684e-29,2.6465601740346312e-19,1.8255780421435304e-27,4.4380159067282179e-31,2.7473061083251746e-36,7.6928282119290564e-58,8.8777233839881799e-42,2.5094853216288662e-76,1.618617900436171e-82
2.5451428051501817e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989663,0.099999999999919931,0.099999999999988334,1.1745309190813964e-87,4.4179327169448886e-48,4.8431495724250327e-37,1.7594824493498329e-61,2.2381241114414313e-45,2.6833188234566814e-40,1.3171653864881713e-24,1.8610256898856663e-95,1.3171652213204328e-24,4.7312436613172181e-61,1.003456649472149e-54,4.1544030391090887e-62,6.040525731647472e-89,2.7086845556481119e-40,1.5440402823432583e-74,8.0074587194601415e-14,2.3356584112184162e-14,5.2932638325836861e-19,1.2236020956688803e-28,5.2932639774849255e-19,7.3008347631603011e-27,3.5497544026413803e-30,4.3564604578948924e-35,4.878935931056839e-56,7.1025140176872267e-41,4.0159174844114081e-75,4.1062037913804309e-80
