Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58),CO2X(24)
9.42657136370366e-07,0.09977366400000001,0.80000000000000004,0.0,0.2311087006435078,0.095779753391923961,0.071508890296939701,1.4225813223161292e-05,0.0014723919103692838,1.5810676246897895e-05,0.00072930811092909752,8.4185071633324545e-12,6.8671233591610227e-12,1.9456275876914034e-08,1.1201758670689746e-22,6.9480395939183591e-10,1.7035467266920339e-16,7.7401400496896155e-10,3.9710544044944403e-16,6.19138418032658e-19,2.2685868964150025e-08,7.6823211103655958e-18,0.0034735799068757473,0.054748178828969096,1.9937979824246913e-08,7.7588634744474903e-07,9.2158856139922927e-06,4.8527986937857422e-13,1.2836272587814222e-09,6.3865719969261215e-08,3.0269732980285064e-06,6.1925633403009158e-08,2.4650835002102616e-10,2.154345172690943e-10
9.437044912249401e-07,0.09977366400000001,0.80000000000000004,0.0,0.23106962175318432,0.09577901346527247,0.07148697306188144,1.427535354067634e-05,0.001475120626905955,1.580102086135817e-05,0.00073061242593148664,8.4413929817059281e-12,6.8846308723419585e-12,1.9483517521079954e-08,1.1280896113807308e-22,6.9452495574681954e-10,1.7107356160412993e-16,7.7586248969463798e-10,3.9809252747508552e-16,6.2099065306264381e-19,2.270224519203777e-08,7.725309932091391e-18,0.0034729613769562745,0.054787876220105315,1.9952230590518786e-08,7.76165005096671e-07,9.2109644597645865e-06,4.8562351019134841e-13,1.2829526881901261e-09,6.3854326446881747e-08,3.0315423276013062e-06,6.2025139108686757e-08,2.469074563507659e-10,2.1592049235730802e-10
9.447518460795142e-07,0.09977366400000001,0.80000000000000004,0.0,0.23103057300314328,0.095778272371806875,0.071465069950229554,1.4325004338443342e-05,0.0014778508181901486,1.5791370667882e-05,0.00073191737140873179,8.4643115137057478e-12,6.902157507987201e-12,1.9510750945428627e-08,1.1360478441564698e-22,6.9424644298035513e-10,1.7179441256014517e-16,7.777129567089013e-10,3.9908075020146165e-16,6.228461847033905e-19,2.2718601336164992e-08,7.768480032055653e-18,0.0034723432720677743,0.054827543037795835,1.9966469750604552e-08,7.7644326873265251e-07,9.2060509726496458e-06,4.8596687071129381e-13,1.2822791634918224e-09,6.3842940870958497e-08,3.0361121933985528e-06,6.2124669796125763e-08,2.4730665888204421e-10,2.164068986979411e-10
9.456944654486308e-07,0.09977366400000001,0.80000000000000004,0.0,0.23099545487001347,0.09577760439121584,0.071445369212175008,1.4369784594469722e-05,0.0014803092496852258,1.5782689956891254e-05,0.00073309236054293716,8.4849661599381584e-12,6.917947814124634e-12,1.9535253983489952e-08,1.1432484410831902e-22,6.93996200218875e-10,1.7244485752196205e-16,7.7938007099377484e-10,3.9997112132651573e-16,6.2451898304420916e-19,2.2733304724512679e-08,7.8074885234690538e-18,0.0034717873406921529,0.054863217061850093,1.9979275081819771e-08,7.7669336982270923e-07,9.2016353746044181e-06,4.8627565582160086e-13,1.2816738801618719e-09,6.3832700640771064e-08,3.0402257849442241e-06,6.2214268721189206e-08,2.4766602314820659e-10,2.168450327289865e-10
9.466370848177474e-07,0.09977366400000001,0.80000000000000004,0.0,0.230960361098349,0.09577693546765273,0.07142567988974112,1.4414654483579177e-05,0.0014827688728048798,1.5774013495845743e-05,0.00073426785877767336,8.50564729912671e-12,6.9337535803163933e-12,1.9559750333955565e-08,1.1504853528901088e-22,6.9374635325991878e-10,1.7309689464731359e-16,7.8104878928505331e-10,4.008624117120435e-16,6.2619445398760691e-19,2.274799190129093e-08,7.8466446113509463e-18,0.0034712317528892726,0.054898866374310851,1.9992071031440739e-08,7.7694315307059328e-07,9.1972259589789094e-06,4.8658421440024141e-13,1.2810694372403025e-09,6.3822466832648723e-08,3.0443400489136828e-06,6.2303887782875946e-08,2.4802546484596055e-10,2.1728351533910126e-10
9.47579704186864e-07,0.09977366400000001,0.80000000000000004,0.0,0.23092529166349571,0.095776265602132524,0.071406001971424715,1.4459614073900172e-05,0.0014852296861686757,1.57653413055178e-05,0.00073544386536415827,8.5263549288357257e-12,6.9495747927587044e-12,1.9584239982944276e-08,1.1577587122725433e-22,6.9349690124991683e-10,1.7375052531773389e-16,7.827191108024619e-10,4.0175462104654905e-16,6.2787259864291794e-19,2.276266289308836e-08,7.8859486567110499e-18,0.0034706765083271532,0.054934491000179199,2.0004857608598354e-08,7.7719261909665097e-07,9.1928227125913828e-06,4.8689254663652037e-13,1.280465834911733e-09,6.381223944082077e-08,3.0484549829796318e-06,6.2393526934825024e-08,2.4838498374315029e-10,2.1772234618151222e-10
9.485223235559807e-07,0.09977366400000001,0.80000000000000004,0.0,0.23089024654083432,0.0957755947956688,0.071386335445738872,1.4504663433484854e-05,0.0014876916883981919,1.5756673406523242e-05,0.00073662037955461853,8.5470890466111722e-12,6.9654114376480249e-12,1.9608722916646871e-08,1.1650686522013033e-22,6.9324784333744966e-10,1.7440575091176783e-16,7.8439103476575825e-10,4.0264774901839174e-16,6.2955341811768429e-19,2.2777317726449702e-08,7.9254010208718657e-18,0.003470121606674266,0.054970090964420744,2.0017634822442535e-08,7.7744176851708933e-07,9.188425622303358e-06,4.8720065276230559e-13,1.2798630703977471e-09,6.3802018459558722e-08,3.0525705848232032e-06,6.2483186130625653e-08,2.4874457960809774e-10,2.1816152490827448e-10
9.494649429250973e-07,0.09977366400000001,0.80000000000000004,0.0,0.23085522570578063,0.09577492304927375,0.071366680301212987,1.45498026303091e-05,0.0014901548781170173,1.5748009819322034e-05,0.00073779740060228702,8.5678496499807376e-12,6.9812635011810642e-12,1.9633199121325927e-08,1.1724153059226721e-22,6.9299917867324599e-10,1.7506257280497201e-16,7.8606456039473536e-10,4.0354179531578612e-16,6.3123691351765525e-19,2.2791956427875781e-08,7.965002065468136e-18,0.0034695670475995378,0.055005666291965641,2.0030402682141547e-08,7.7769060194767749e-07,9.1840346750141236e-06,4.8750853302255179e-13,1.2792611402149965e-09,6.379180388158765e-08,3.0566868521329817e-06,6.2572865323889174e-08,2.4910425220959071e-10,2.1860105117181257e-10
9.504075622942139e-07,0.09977366400000001,0.80000000000000004,0.0,0.23082022913378525,0.095774250363958202,0.071347036526392682,1.4595031732272554e-05,0.0014926192539507445,1.5739350564219336e-05,0.00073897492776140317,8.5886367364538554e-12,6.9971309695548718e-12,1.9657668583315486e-08,1.1797988069583726e-22,6.9275090641017804e-10,1.7572099236991619e-16,7.8773968690922204e-10,4.0443675962680284e-16,6.32923085946793e-19,2.2806579023823561e-08,8.0047521524460336e-18,0.0034690128307723433,0.055041217007708754,2.0043161196798313e-08,7.7793912000440725e-07,9.1796498576547184e-06,4.8781618760421027e-13,1.2786600447256613e-09,6.3781595699952738e-08,3.060803782597303e-06,6.2662564468549751e-08,2.4946400131688132e-10,2.1904092462605179e-10
9.513501816633305e-07,0.09977366400000001,0.80000000000000004,0.0,0.2307852568003336,0.095773576740731572,0.071327404109839787,1.4640350807198658e-05,0.0014950848145269672,1.5730695661366396e-05,0.00074015296028721086,8.6094503035217659e-12,7.013013828966882e-12,1.9682131289020826e-08,1.1872192891055465e-22,6.9250302570325941e-10,1.7638101097618456e-16,7.8941641352908552e-10,4.0533264163936891e-16,6.3461193650727269e-19,2.2821185540706138e-08,8.0446516440624979e-18,0.0034684589558625109,0.055076743136509593,2.0055910375494932e-08,7.7818732329912215e-07,9.1752711571978181e-06,4.8812361670841042e-13,1.278059783102793e-09,6.3771393909143139e-08,3.0649213739089392e-06,6.2752283518611035e-08,2.4982382669969651e-10,2.1948114492404405e-10
