Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2421352457177249e-65,2.8897376103884975e-36,6.6201403087223622e-89,1.7391157727400175e-54,2.1905574344536574e-132,5.4889800419459697e-20,-6.0778330714225361e-106,5.4889800419459697e-20,2.4762793527585584e-72,2.0334179509753067e-71,1.4650779550692458e-112,1.6987540384749442e-113,1.9238932172713024e-52,1.1466272292787345e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421384901e-22,8.7653029285392026e-38,3.2456429548823198e-37,3.5532015421196864e-22,9.369628406770642e-34,5.390934698317639e-42,1.5834201377498417e-46,1.944772834459759e-77,3.1838388967916881e-54,2.0592366855435229e-52,1.8776101755360433e-98,2.5801393934170335e-106,-4.8401067483737123e-109
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7788210551529984e-64,1.7454015167669953e-35,7.3155515079271896e-87,2.6281517533503114e-53,7.9042871749740772e-130,1.5369144117448715e-19,1.173334467561888e-104,1.5369144117448708e-19,6.9835039732872617e-71,6.3933913784830249e-70,2.9288089300648552e-110,3.3959462570905731e-111,2.2840460275234094e-51,5.9352727622301332e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643180183096e-22,5.2942429687843212e-37,1.9603683447469496e-36,9.948964317904738e-22,5.6592555262341918e-33,6.4001176383078118e-41,1.8798659594048095e-45,1.1831185253485336e-75,3.7798535382231763e-53,2.4447257931957098e-51,1.7682052838896209e-96,5.1579066288512985e-104,4.8983903321008994e-107
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4906715187335443e-63,8.403356972394892e-35,6.6187807173943977e-85,2.8272457266634683e-52,2.8620484420957072e-127,3.5129472268454212e-19,1.2389172989478751e-102,3.5129472268454174e-19,1.5190646528649204e-69,1.4263304464623124e-68,5.3024855380983153e-108,6.1482180457466981e-109,2.2424899339860785e-50,2.5915723705503618e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869900087e-21,2.5489500915391621e-36,9.4383297127682172e-36,2.2740489869353288e-21,2.7246878935059875e-32,6.28367337420088e-40,1.8457261853515565e-44,5.341341171863729e-74,3.7110826179518489e-52,2.4002462810366921e-50,1.5454205458375838e-94,9.3381732845437665e-102,1.0258322311877813e-104
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7705113575471518e-62,3.6699667666247069e-34,5.0095269677182592e-83,2.5987259143343385e-51,8.6787894445936075e-125,7.4650128570465221e-19,9.7926087113486611e-101,7.4650128570465067e-19,2.8160898547585342e-68,2.6713590710323826e-67,8.035227606552373e-106,9.316825292075112e-107,1.9834569511407815e-49,9.6477741507812979e-81,4.076847284138252e-17,1.2070820217819832e-18,4.832354097415223e-21,1.1131934718417713e-35,4.1219665526699926e-35,4.8323540971764212e-21,1.1899427589041934e-31,5.5578378052454177e-39,1.6326353380697999e-43,2.016924294364027e-72,3.2824105487244168e-51,2.1229906540989904e-49,1.1529316773894892e-92,1.4150787820386076e-99,1.6486804618971436e-102
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6479521439775179e-60,1.5321388823161642e-33,3.4807043907914227e-81,2.2232647322929845e-50,2.4142279685653403e-122,1.5369144117448725e-18,6.9406542555003186e-99,1.5369144117448661e-18,4.8401389462540325e-67,4.6141084746433858e-66,1.1172692268767109e-103,1.2954707322172235e-104,1.6672150795468392e-48,3.3238044760396527e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643184610763e-21,4.6473636119671129e-35,1.7208398946511069e-34,9.9489643174641307e-21,4.9677765424687093e-31,4.6716973349043204e-38,1.3725158299585558e-42,6.9985880556901293e-71,2.7590638459713732e-50,1.7845015653039357e-48,7.9528578816473198e-91,1.9676156721062561e-97,2.3574563312461693e-100
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7067765302182286e-59,6.2592872645125156e-33,2.3204935377183683e-79,1.8382382743826639e-49,6.4409825551598186e-120,3.1177406638253155e-18,4.6707421329390565e-97,3.1177406638252894e-18,8.0221753444084529e-66,7.6664102388517035e-65,1.4901666188707255e-101,1.7278442781957462e-102,1.3668836508857296e-47,1.1030495210646438e-77,1.702683277493016e-16,5.0413425615600445e-18,2.0182184761334491e-20,1.8985996749030679e-34,7.0301924657604754e-34,2.0182184757261649e-20,2.0294986199019283e-30,3.8301393578222283e-37,1.1255788105206691e-41,2.3314486771723121e-69,2.2620472360455262e-49,1.4630421995107642e-47,5.2815325271820331e-89,2.6243228782620463e-95,3.1875382357469094e-98
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.3878095943819003e-58,2.5301039942719968e-32,1.516179367202147e-77,1.4948248360368587e-48,1.6837715972036982e-117,6.2793931679862082e-18,3.064644754409854e-95,6.2793931679861027e-18,1.3062032935096162e-64,1.2498183586156611e-63,1.9476112724061168e-99,2.2582501517100377e-100,1.1069378189841311e-46,3.5941262693510131e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.064862565020817e-20,7.6744434432924205e-34,2.8417161976697874e-33,4.0648625633745074e-20,8.2035563562547869e-30,3.1017455567247774e-36,9.1202081108750594e-41,7.6143278475772136e-68,1.8318644984779097e-48,1.1848095070885611e-46,3.4428098245189737e-87,3.4299257245269971e-93,4.1942856541608495e-96
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0664386561282991e-57,1.0173436919646488e-31,9.8120583822587459e-76,1.2056303840084057e-47,4.3591465890539882e-115,1.260269817630802e-17,1.9858441924287681e-93,1.2602698176307601e-17,2.1082173819273355e-63,2.01845998591611e-62,2.5210085702704878e-97,2.9231028115340452e-98,8.9095985756081244e-46,1.160521593024512e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507440462913e-20,3.0858599529989585e-33,1.1426415846827973e-32,8.1581507374265499e-20,3.2986126803330004e-29,2.4965537066707837e-35,7.3487521561186386e-40,2.463463510704981e-66,1.4744439156857961e-47,9.5363777061262643e-46,2.2236454611049573e-85,4.4397320289834687e-91,5.4474357380128187e-94
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1343204275588941e-55,4.0800032522984009e-31,6.3247652618625475e-74,9.6842788942215534e-47,1.12399964367028e-112,2.5249308192951759e-17,1.2788280692370197e-91,2.5249308192950073e-17,3.3878487360952416e-62,3.2446154705621297e-61,3.250141078417381e-95,3.7685300382581376e-96,7.149391740836045e-45,3.7303929605268888e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727107100196e-19,1.2375678579115286e-32,4.5825038128893099e-32,1.6344727080552063e-19,1.3228902162863382e-28,2.0033255764141499e-34,5.9097742312074437e-39,7.9391369601378489e-65,1.183148383019116e-46,7.6523425805961687e-45,1.4296451729775557e-83,5.7238026129766594e-89,7.034843673703921e-92
5.726682420223071e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.817870784672701e-54,1.6341294428926144e-30,4.0752658909557224e-72,7.7631482068948827e-46,2.8969426144302583e-110,5.0542528226239689e-17,8.2098318837619247e-90,5.0542528226232941e-17,5.4323456252437619e-61,5.2034800246615214e-60,4.1883714652025717e-93,4.8564057053929976e-94,5.7282134283980928e-44,1.1964081263019046e-71,2.7602654259070924e-15,8.1726553357120513e-17,3.2717879853219888e-19,4.9567265376931624e-32,1.8353917459494584e-31,3.27178797468888e-19,5.2984529927465762e-28,1.6050958186647266e-33,4.755623714424772e-38,2.5577147828159717e-63,9.4795846899721448e-46,6.1311862352125018e-44,9.170620560285935e-82,7.3761141283441753e-87,9.0735026483936148e-90
1.1458340237857283e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.9109620853891782e-53,6.5407766245414563e-30,2.6335498158937341e-70,6.2168147555912028e-45,7.488084242533263e-108,1.0112896829281736e-16,5.2624133585864249e-88,1.0112896829279034e-16,8.7011938838256316e-60,8.3352569088152349e-59,5.4131606381955909e-91,6.2765455311568756e-92,4.586053718182609e-43,3.8328030603931932e-70,5.5229289972741623e-15,1.6352411153905004e-16,6.5464185425507232e-19,1.9839823643870796e-31,7.3463501487016139e-31,6.5464184999905151e-19,2.1207555847371808e-27,1.285048655831514e-32,3.8403959349600557e-37,8.2647126998241773e-62,7.589431691815824e-45,4.908677144072969e-43,5.8758908742607918e-80,9.5330824794509247e-85,1.1732502885092154e-87
