Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
3.987709544819044e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45054002070766902,0.11692702555979989,0.022793245720452323,0.0,1.3956780117258348e-11,5.6518348693460284e-07,7.5921731512046339e-09,1.5032315635798915e-10,5.4191660949540838e-23,3.5198365252600278e-05,1.1998429736332424e-20,3.3315446162931228e-05,4.3040678748846016e-15,1.42322999990335e-15,2.9472246107916645e-17,2.7641373816638717e-19,1.5196428940077966e-10,1.2398328374624382e-14,0.0017072064113342281,5.6635388323890705e-05,2.8809394118803194e-06,3.8768881977222398e-10,1.9929592588598208e-10,4.9994133504615708e-10,2.2917070497630379e-13,9.0830600964368034e-11,5.2699789124128429e-07,1.2475202840603264e-11,4.6276369545294375e-15,5.3641759408115759e-09,1.8461766772539002e-14,2.3826277439262105e-14,1.3413241110731661e-17
4.052359913914433e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45051459964399021,0.11690202499374762,0.022792788594842357,0.0,1.5093762570539601e-11,5.834056906017035e-07,8.0299134147978528e-09,1.5773312295235143e-10,5.9576306274161888e-23,3.5768963054628544e-05,1.3029679685835368e-20,3.3826536334670677e-05,4.5252024242668593e-15,1.5545144069570295e-15,3.1829617240464767e-17,2.9677729675196896e-19,1.6089989797054758e-10,1.3244223625238596e-14,0.0017316226241804969,5.7549168003407363e-05,2.9584687895001174e-06,4.0442474291924705e-10,2.0252748133274254e-10,5.058691606748791e-10,2.3189154402028047e-13,9.5528907023388016e-11,5.4028634161823224e-07,1.3001994467356532e-11,4.8641806389244575e-15,5.5896076587335017e-09,1.9740518101340203e-14,2.5200267718917905e-14,1.435668369139866e-17
4.117010283009822e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45048927325568189,0.11687711987170861,0.022792331529888816,0.0,1.6306270139334492e-11,6.0191712856291553e-07,8.485801180841182e-09,1.6538199180174912e-10,6.5399712988400759e-23,3.6339555981209211e-05,1.4130738244990884e-20,3.4336759181423975e-05,4.7538347002984057e-15,1.6956624406610761e-15,3.433327252135983e-17,3.1829884220129084e-19,1.7021675164430352e-10,1.4132822367783273e-14,0.0017559432363360148,5.8462807293295862e-05,3.0369152215514834e-06,4.2161931627195706e-10,2.0575887997149096e-10,5.1179689863952113e-10,2.3461261552600959e-13,1.0040232887779555e-10,5.5371753034669646e-07,1.3542864897767967e-11,5.1101414105900115e-15,5.8203088152116854e-09,2.1084805920498001e-14,2.6631190034509982e-14,1.5351309977483168e-17
4.18166065210521e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45046404117299454,0.11685230981975057,0.022791874525393833,0.0,1.7598208601709736e-11,6.2071824315390043e-07,8.9603071133355403e-09,1.7327350891225996e-10,7.1690104375591421e-23,3.6910143891937303e-05,1.5305097614578506e-20,3.4846117323044785e-05,4.9900923878662576e-15,1.8472517166148751e-15,3.6989731751581833e-17,3.4102554746881267e-19,1.7992513032303565e-10,1.5065547478615555e-14,0.0017801686218836042,5.9376306098934593e-05,3.1162749311402991e-06,4.3927789660468726e-10,2.0899012103156692e-10,5.1772454777644851e-10,2.3733393242101305e-13,1.0545478305548094e-10,5.6729096512100448e-07,1.4097980970739275e-11,5.3658199865724452e-15,6.0563003485366054e-09,2.2496846984524012e-14,2.8120517717602537e-14,1.6399094510939533e-17
4.246311021200599e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45043890302770628,0.1168275944654097,0.022791417581160326,0.0,1.8973628325021768e-11,6.3980950530376355e-07,9.4539069861378425e-09,1.8141141817424495e-10,7.8477056960352109e-23,3.7480726646986323e-05,1.6556364951497139e-20,3.535461336938326e-05,5.2341032797608093e-15,2.0098843688167164e-15,3.9805692905837214e-17,3.650057760384523e-19,1.9003542913662027e-10,1.6043845652511917e-14,0.0018042991534368566,6.0289664318779089e-05,3.1965440954982203e-06,4.5740580051571478e-10,2.1222120374543143e-10,5.236521069230233e-10,2.4005550807692746e-13,1.1069020865138206e-10,5.8100614856366982e-07,1.4667508853652892e-11,5.6315252163236907e-15,6.2976027561418602e-09,2.3978895711866502e-14,2.9669739947065658e-14,1.750205686068456e-17
4.3109613902959875e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45041385845311721,0.11680297343768503,0.022790960696992012,0.0,2.0436727385209685e-11,6.5919141462076637e-07,9.967081650685997e-09,1.8979946135982297e-10,8.57915444696349e-23,3.8051304107103105e-05,1.7888264247064066e-20,3.58622499202847e-05,5.4859952757575531e-15,2.1841877016479416e-15,4.2788033837591865e-17,3.9028909392270318e-19,2.0055815745105778e-10,1.7069187422546817e-14,0.0018283352021459477,6.120288184439975e-05,3.2777188457284856e-06,4.7600830397062325e-10,2.1545212734872012e-10,5.2957957491755286e-10,2.4277735632438637e-13,1.1611256659513206e-10,5.9486257825795097e-07,1.5251614032017641e-11,5.9075742385986587e-15,6.5442361311748017e-09,2.5533244216622403e-14,3.1280361645614422e-14,1.8662261885393412e-17
4.375611759391376e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45038890708404361,0.11677844636703255,0.022790503872693383,0.0,2.1991854692887941e-11,6.7886449947244379e-07,1.0500317003422207e-08,1.984413781203655e-10,9.3665982583041655e-23,3.8621876133602762e-05,1.9304638205672786e-20,3.636902956558793e-05,5.7458963817040993e-15,2.3708148485185787e-15,4.5943813956326303e-17,4.1692628156817403e-19,2.1150393786401102e-10,1.8143067179800468e-14,0.0018522771377034316,6.2115958560519667e-05,3.3597952665661229e-06,4.9509064172899034e-10,2.1868289108039488e-10,5.355069505992601e-10,2.4549949145900801e-13,1.2172583863087829e-10,6.0885974678100323e-07,1.5850461299406915e-11,6.194292636947757e-15,6.7962201978201748e-09,2.716222233997763e-14,3.2953903375439452e-14,1.9881819851022913e-17
4.440262128486765e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4503640485568125,0.11675401288535957,0.022790047108069752,0.0,2.3643513123268236e-11,6.9882931706001136e-07,1.1054103952917761e-08,2.0734090598400938e-10,1.0213427446735825e-22,3.9192442588363636e-05,2.080945012378809e-20,3.6874954885123344e-05,6.0139347086125241e-15,2.5704454370804031e-15,4.9280275876989243e-17,4.4496934566704739e-19,2.2288350518856891e-10,1.9267003192896951e-14,0.0018761253283500112,6.302889434505287e-05,3.4427693961522532e-06,5.146580067228414e-10,2.2191349418251267e-10,5.4143423280828861e-10,2.4822192823775913e-13,1.2753402636435596e-10,6.2299714173726045e-07,1.6464214747827425e-11,6.4920145808980049e-15,7.0535743454170859e-09,2.8868197681377165e-14,3.4691901232955283e-14,2.1162886622324403e-17
4.5049124975821534e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45033928250925553,0.1167296726260188,0.022789590402927173,0.0,2.5396362650314813e-11,7.1908645348696127e-07,1.1628938386702176e-08,2.1650178035318877e-10,1.1123185713299812e-22,3.9763003333822224e-05,2.2406785769256696e-20,3.7380028448710799e-05,6.2902384717569507e-15,2.7837862609150251e-15,5.2804847041626324e-17,4.7447153087396318e-19,2.3470770542521883e-10,2.0442537627373353e-14,0.0018998801408802867,6.3941689069142799e-05,3.5266372258222044e-06,5.347155496205853e-10,2.251439359001584e-10,5.473614203856504e-10,2.5094468189743025e-13,1.3354115058155645e-10,6.3727424579184556e-07,1.7093037757524125e-11,6.8010829816258628e-15,7.3163176614080692e-09,3.0653575629426601e-14,3.6495906742700117e-14,2.2507663917013375e-17
4.569562866677542e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45031460858070405,0.11670542522380278,0.022789133757072512,0.0,2.7255223484398004e-11,7.3963652382174087e-07,1.222532113779915e-08,2.259277345021848e-10,1.2099574858890845e-22,4.0333558232968228e-05,2.4100855260912133e-20,3.7884252816157154e-05,6.5749359897763353e-15,3.0115719576027008e-15,5.6525141313153754e-17,5.0548733142783617e-19,2.4698749472210242e-10,2.1671236564881152e-14,0.0019235419406484796,6.4854342597200893e-05,3.6113946999084638e-06,5.552683782727256e-10,2.2837421548164175e-10,5.5328851217318776e-10,2.5366776816299968e-13,1.3975125019397317e-10,6.5169053670464705e-07,1.7737092987008072e-11,7.121849650689752e-15,7.5844689631576179e-09,3.2520799392526544e-14,3.8367486750360091e-14,2.3918399354564245e-17
