Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),H2X(31),CH2X(58),CHX(26),C2H6X(34),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),OCX(21),HOX(23),OX(20),COX(32),CH4OX(41),H2OX(30),CH3OX(40),COC(79),C2H6OX(88),C2H5OX(80),CH3OX(39),CH3O(51)
4.090682810640645e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999201,0.099999999999994135,1.8691333786820637e-92,0.099999999999997882,8.1844062163131925e-89,3.9525682317192664e-60,6.8473434372419069e-37,3.5770316563533728e-55,0.0,2.0612058374823743e-34,5.4603271447692709e-107,1.6504909487965501e-45,9.1671613304207896e-84,4.9638656703849428e-85,0.0,0.0,3.6598390878370802e-74,0.0,5.8743218889654089e-15,2.1279982546409324e-15,6.9872029671345138e-25,6.9872029650732863e-25,1.3978400013468958e-73,1.1005690692531994e-39,1.9480907824714042e-51,1.310183300964957e-68,2.4401830180649904e-76,1.3445351169130593e-77,1.9507589676745807e-120,1.5955733551439583e-48,7.2836013565577833e-35,6.010602335148915e-56,7.3520747909302037e-35,6.9639154774120455e-51,1.277738921740679e-98,1.4048711914264653e-102,1.5726217084037589e-75,1.4169660139401678e-104,4.4927361139726944e-118,3.9087430814235843e-121,2.6576191100046475e-101,3.9945339709203013e-110
8.18314186218908e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998401,0.099999999999988265,1.4960642805872778e-91,0.099999999999995759,1.3498967666303916e-87,3.1635869055217554e-59,2.7180913912071104e-36,2.8630751127882758e-54,0.0,8.2475081927782254e-34,3.4973155891731579e-105,6.6041136592039816e-45,2.935143309893253e-82,8.2047198587617642e-84,0.0,0.0,3.0207704704189105e-73,0.0,1.1751194502581557e-14,4.256920520509749e-15,1.3977439891266206e-24,1.3977439883018613e-24,2.2377052262258404e-72,4.4037098334898454e-39,1.55906469016478e-50,2.0974311784819585e-67,3.9064202071494779e-75,1.0756281863660318e-76,2.4989204696762733e-118,6.3843717355050261e-48,1.4435532833008449e-34,2.4855943747199166e-55,1.4707341972129164e-34,5.5319705798685541e-50,4.2219631179522842e-97,4.632211212357837e-101,1.2587347580232896e-74,4.5376827620878155e-103,2.8775364702112702e-116,2.5034969244683879e-119,8.523014913833712e-100,2.5621068017443955e-108
1.636805996528595e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119687999968,0.09999999999997651,1.1971545234047719e-90,0.099999999999991498,2.287836164913941e-86,2.5314825996316194e-58,1.0704015876528388e-35,2.291040145063053e-53,0.0,3.2995403209231297e-33,2.2391482310184669e-103,2.6420754977369436e-44,9.3951015717338285e-81,1.3956938522684073e-82,0.0,0.0,2.5639622684775692e-72,0.0,2.3504939725881202e-14,8.5147650517303461e-15,2.795791373952616e-24,2.7957913706530404e-24,3.5812576009184986e-71,1.7617706848616982e-38,1.2474886279752432e-49,3.3568004593467471e-66,6.2519743658832456e-74,8.6050284423777527e-76,3.1998659474650882e-116,2.5541644070323827e-47,2.8347474746871627e-34,1.0588665137734861e-54,2.9417876334524511e-34,4.3617602944200066e-49,1.4351336684588997e-95,1.5688576239200378e-99,1.0072428247954048e-73,1.4526013575437213e-101,1.842322962548883e-114,1.6028467319912474e-117,2.7361293177103233e-98,1.644991675728715e-106
3.2737896171479694e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993597,0.099999999999953001,9.5784487248711763e-90,0.099999999999982978,4.0691399793430386e-85,2.0254313392216272e-57,4.1516536791920501e-35,1.8330641632825344e-52,0.0,1.3199235437792002e-32,1.4333319684614875e-101,1.0569162120307565e-43,3.0068551066131543e-79,2.4976556262183421e-81,0.0,0.0,2.2864059791188381e-71,0.0,4.7012430156749885e-14,1.7030454112103406e-14,5.5918861436032325e-24,5.5918861304038547e-24,5.7307556550490254e-70,7.0476562778347976e-38,9.9808566212803466e-49,5.3716092875287517e-65,1.0004519665005008e-72,6.8840322084368445e-75,4.0966266876295762e-114,1.0217489038047807e-46,5.468729138011248e-34,4.7515880313970621e-54,5.8838945059304873e-34,3.390550491049007e-48,5.1288754150918151e-94,5.5728418652159256e-98,8.0589627897568948e-73,4.6491931207781243e-100,1.1793106223421513e-112,1.0260167340918803e-115,8.8066467732608522e-97,1.0588878486784226e-104
6.547756858386717e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987191,0.099999999999905984,7.6632440537528586e-89,0.099999999999965949,7.8173488524586753e-84,1.6204431810683775e-56,1.5649236762085716e-34,1.4665441503363164e-51,0.0,5.2799090055712447e-32,9.174209328508954e-100,4.2278368801177311e-43,9.6226103941549434e-78,4.8421076902381209e-80,0.0,0.0,2.2052957059186366e-70,0.0,9.40274109555648e-14,3.4061832224576974e-14,1.1184075682898971e-23,1.1184075630099318e-23,9.1698038792061878e-69,2.8191772185860796e-37,7.9850643448659918e-48,8.5951577109195301e-64,1.6008316426225669e-71,5.5072560411701533e-74,5.2441919205541414e-112,4.0871618431589294e-46,1.0203184574673604e-33,2.3133511410222977e-53,1.176810825088243e-33,2.5662979260529943e-47,1.9842742021840769e-92,2.1366800902022905e-96,6.4475783226135186e-72,1.487880813383973e-98,7.5483046002126461e-111,6.5671305898193848e-114,2.8499782423373927e-95,6.8528959067675966e-103
1.3095691340864213e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799974381,0.099999999999811948,6.1307892664708351e-88,0.099999999999931893,1.6688636039459147e-82,1.2963937899054249e-55,5.6059773863297746e-34,1.1732724415287723e-50,0.0,2.112006562672414e-31,5.8717744221903081e-98,1.6911691590565794e-42,3.0793417932041903e-76,1.0453570472439033e-78,0.0,0.0,2.3660272299237789e-69,0.0,1.8805737230150486e-13,6.8124588416433915e-14,2.236845476146847e-23,2.2368454550265558e-23,1.4672162071091996e-67,1.1276938258854479e-36,6.3882030808466596e-47,1.3752718530151344e-62,2.5614162571894062e-70,4.4059017433449711e-73,6.7128888662397014e-110,1.6348979354714704e-45,1.7930558354438183e-33,1.2554768503043959e-52,2.3536535740769804e-33,1.8523463615246542e-46,8.5446274109860277e-91,9.0985842870960307e-95,5.1582258823408958e-71,4.7614410102766178e-97,4.8311442409337666e-109,4.2031630812859923e-112,9.3224826540175068e-94,4.4825175240366907e-101
2.6191560305819206e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799948763,0.09999999999962389,4.9047090237293702e-87,0.099999999999863767,4.0080112137224686e-81,1.0371307301752918e-54,1.8489858335277083e-33,9.386327895413999e-50,0.0,8.4481121210471043e-31,3.7580219497608377e-96,6.7647454508419999e-42,9.8540552212635383e-75,2.5385106215518849e-77,0.0,0.0,2.8556536276868575e-68,0.0,3.7611729398662588e-13,1.3625010066778702e-13,4.4737212918519545e-23,4.4737212073699325e-23,2.347583995687395e-66,4.5108211532694319e-36,5.1106230782976951e-46,2.2004722274236049e-61,4.098330768388401e-69,3.5250315596415631e-72,8.5926967805939835e-108,6.5396577551162354e-45,2.8583532385189043e-33,7.6629255835158503e-52,4.7073390720478507e-33,1.237845848818274e-45,4.1389736948138176e-89,4.3586616357029454e-93,4.1266459692809194e-70,1.5236966915055247e-95,3.0920056484842416e-107,2.6900881835999626e-110,3.1126205319879249e-92,2.9923386102714864e-99
5.238329823572919e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799897526,0.099999999999247774,3.9237982658054041e-86,0.099999999999727515,1.0693830161331851e-79,8.2971086348003457e-54,5.4358697013185753e-33,7.5091214634636893e-49,0.0,3.3792619815305637e-30,2.4051572831619987e-94,2.7059119433085388e-41,3.1533178330841289e-73,6.8325870387244573e-76,0.0,0.0,3.8250402593365032e-67,0.0,7.5223713332983195e-13,2.7250112464105e-13,8.9474729232270109e-23,8.9474725852972045e-23,3.7561648272084563e-65,1.8043376092278832e-35,4.0885226615746863e-45,3.5207852670896092e-60,6.5573690432825054e-68,2.8210178582345402e-71,1.0998759223659037e-105,2.6158759977297927e-44,3.9788403666371707e-33,5.1779697539517638e-51,9.4147100679631719e-33,7.4270305175796929e-45,2.2234628433378481e-87,2.3209155726791904e-91,3.3013428373261196e-69,4.8758862080047777e-94,1.9789070276521117e-105,1.72167681729653e-108,1.0788380536931099e-90,2.0731468531480254e-97
1.0476677409554915e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799795053,0.099999999998495528,3.1390510302902902e-85,0.099999999999455011,3.0809328416418812e-78,6.6377120251709175e-53,1.4051114503715108e-32,6.007320511963714e-48,0.0,1.3517081864132106e-29,1.5393024808217541e-92,1.0823675299137692e-40,1.009061300430987e-71,1.9799210823378514e-74,0.0,0.0,5.5248535677831937e-66,0.0,1.5044767959080999e-12,5.4500317046980332e-13,1.7894976185836465e-22,1.7894974834113842e-22,6.0098880145814104e-64,7.2173685562625075e-35,3.2708277341890273e-44,5.6332798471924751e-59,1.0491783945984716e-66,2.2599907723110098e-70,1.4078429211071025e-103,1.0463527326170335e-43,4.7783375559336046e-33,3.7614238227530039e-50,1.8829452059688133e-32,3.9423729072322993e-44,1.2868603059886067e-85,1.3354232873599648e-89,2.641084624803421e-68,1.5602926004312072e-92,1.2665079198061675e-103,1.1018796332002101e-106,3.9821449666515844e-89,1.5290972546995944e-95
2.095337258151891e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799590106,0.099999999996991051,2.5112555510725911e-84,0.099999999998910002,9.3132299876584159e-77,5.3101796668914395e-52,3.2533440737838734e-32,4.8058652376748109e-47,0.0,5.4068392706304254e-29,9.8514693581556429e-91,4.329475624760953e-40,3.2289722628406333e-70,6.0053313246316963e-73,0.0,0.0,8.3635913493853449e-65,0.0,3.008956056632063e-12,1.0900072536562194e-12,3.5789982710492773e-22,3.5789977303595755e-22,9.6158400759052744e-63,2.8869509051552273e-34,2.6166659098450649e-43,9.0132653944021894e-58,1.6786726280361323e-65,2.4127760631153228e-70,1.8020268375882199e-101,4.1854136325865811e-43,5.1254953046890208e-33,2.8567564226814073e-49,3.7658936042715352e-32,1.8759171776293003e-43,7.800199933739175e-84,8.0668225905485706e-88,2.1128717300551184e-67,4.9929500938473359e-91,8.1056732543644056e-102,7.0522565761030824e-105,1.7552776965560517e-87,1.3450270041975402e-93
