Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
6.140958069831536e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999742,0.11866996602996285,0.022821567693054226,0.0,9.4576488423198283e-55,3.9037613333906207e-36,0.0,1.392811882033275e-48,0.0,6.2444734989275767e-22,7.1653577803234222e-102,6.2444733169652829e-22,2.0545763906609394e-68,2.9556243912458521e-59,0.0,0.0,2.6180456791504405e-46,5.8392558260138795e-81,2.4764690130334861e-15,1.190708308793043e-16,4.5896331667933829e-20,3.1129190126038798e-32,4.5896331686098917e-20,5.5308009978851517e-46,1.9118070511597836e-36,1.1331132230499815e-62
1.2287251463789772e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999481,0.11866996602996037,0.022821567693054167,0.0,1.5144561359231995e-53,1.5625218829220831e-35,0.0,1.1153791249434236e-47,0.0,1.2494372621433771e-21,4.5929168545958936e-100,1.2494371893110393e-21,3.2908928749393052e-67,4.7345023798901646e-58,0.0,0.0,2.0960284089016758e-45,1.8706591083209502e-79,4.9550896064417789e-15,2.3824511165511244e-16,9.1832538479058849e-20,1.2459788435113271e-31,9.183253855176658e-20,4.4280037159201703e-45,7.6522107087022706e-36,1.8149503952127572e-61
2.4579838251706243e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999896,0.11866996602995541,0.022821567693054049,0.0,2.4241161296433625e-52,6.2521228107042095e-35,0.0,8.9275536751698949e-47,0.0,2.4994171959640233e-21,2.9417370378419096e-98,2.4994169045398039e-21,5.2682867430496996e-66,7.5796092704174259e-57,0.0,0.0,1.6774597236978925e-44,5.9894667809812793e-78,9.9123307932541086e-15,4.7659367320672002e-16,1.8370495199216979e-19,4.9855382435145287e-31,1.8370495228309542e-19,3.5437486595573585e-44,3.0618811830117062e-35,2.905496918224099e-60
4.916501182753919e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997921,0.11866996602994551,0.02282156769305381,0.0,3.8793749364773482e-51,2.5012562380796093e-34,0.0,7.1438516362099439e-46,0.0,4.9993775008829424e-21,1.8834386211101927e-96,4.9993763349963022e-21,8.4315459368924423e-65,1.2130900016527904e-55,0.0,0.0,1.3422225969366575e-43,1.9171667513945008e-76,1.9826813166861747e-14,9.532907963098998e-16,3.6744977858183532e-19,1.9945398616424572e-30,3.6744977974572702e-19,2.8355372286997468e-43,1.2249519732959236e-34,4.650056447205925e-59
9.833535897920507e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995845,0.11866996602992567,0.022821567693053334,0.0,6.2076309044299981e-50,1.0005839237959664e-33,0.0,5.715804850380839e-45,0.0,9.9992998598312856e-21,1.2056335230665955e-94,9.9992951959051814e-21,1.3492303420148945e-63,1.9412259544231394e-54,0.0,0.0,1.0738799594571166e-42,6.1357935201344104e-75,3.9655777914008943e-14,1.9066850425161195e-15,7.3493943001494082e-19,7.9788081741046638e-30,7.3493943467088676e-19,2.2686449844399201e-42,4.9002076560573736e-34,7.4410995296460997e-58
1.9667605328253686e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991688,0.11866996602988601,0.02282156769305238,0.0,9.9327130805997625e-49,4.0024985581571535e-33,0.0,4.5729332739728863e-44,0.0,1.999915157416992e-20,7.7168013980848394e-93,1.9999132917706467e-20,2.1589149327994581e-62,3.1061867577630155e-53,0.0,0.0,8.5914463262723686e-42,1.9635915068542175e-73,7.9313707408031033e-14,3.8134735349279977e-15,1.4699187258962498e-18,3.1916526620300581e-29,1.4699187445207906e-18,1.8150018456254888e-41,1.9601636052716916e-33,1.1906566573601023e-56
3.933574418892004e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983372,0.1186699660298067,0.022821567693050472,0.0,1.5892739999322972e-47,1.6010319964744255e-32,0.0,3.6584623152761946e-43,0.0,3.999888298861445e-20,4.9389941900437446e-91,3.9998808361243126e-20,3.4543809457815725e-61,4.9700778868628742e-52,0.0,0.0,6.8733182875438111e-41,6.2837128527815638e-72,1.5862956639498595e-13,7.6270505197495105e-15,2.939877289719261e-18,1.2766866575579732e-28,2.9398773642189393e-18,1.4520354572579547e-40,7.8408202090972709e-33,1.9051152073290271e-55
7.867202191025275e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319966746,0.11866996602964806,0.022821567693046659,0.0,2.5428690943329559e-46,6.4041931331969541e-32,0.0,2.9268160275221757e-42,0.0,7.9998457760568274e-20,3.1610364290850674e-89,7.9998159248052839e-20,5.52710296770934e-60,7.9522643054955088e-51,0.0,0.0,5.4987168205960349e-40,2.0108232505239556e-70,3.1726128436453886e-13,1.5254204489383556e-14,5.8797943056068563e-18,5.1067955266357111e-28,5.8797946036085973e-18,1.1616413768664982e-39,3.1363650011033881e-32,3.0482358719989468e-54
1.5734457735291817e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319933495,0.11866996602933079,0.022821567693039033,0.0,4.0686111652819014e-45,2.5616902830336203e-31,0.0,2.3414711261281877e-41,0.0,1.5999805507670099e-19,2.023092713598426e-87,1.5999686102061781e-19,8.8434389050451579e-59,1.272372319602235e-49,0.0,0.0,4.3989946514093369e-39,6.4346901873963262e-69,6.3452472028621667e-13,3.0508512428615718e-14,1.1759627890348384e-17,2.0427261583444789e-27,1.1759629082361354e-17,9.2931737567274358e-39,1.2545563916251411e-31,4.8772182914970062e-53
3.14689688238249e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319866987,0.11866996602869626,0.022821567693023778,0.0,6.5097817435622917e-44,1.0246787193598152e-30,0.0,1.8731839567328119e-40,0.0,3.1999904079759309e-19,1.2947935462922665e-85,3.1999426456153e-19,1.4149559629630318e-57,2.0358000741904167e-48,0.0,0.0,3.5191983088117635e-38,2.0591095073044903e-67,1.2690515920598604e-12,6.1017128306936389e-14,2.3519293271697051e-17,8.170905875767314e-27,2.3519298039760659e-17,7.4345412177306753e-38,5.0182704101929903e-31,7.8035809074620344e-52
6.293799100089106e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319733977,0.11866996602742717,0.022821567692993268,0.0,1.0415613533495076e-42,4.0987200912545978e-30,0.0,1.4985495623766857e-39,0.0,6.4000817659171847e-19,8.286785630794239e-84,6.3998907162648339e-19,2.2639335091717774e-56,3.2572718913188044e-47,0.0,0.0,2.8153502576836558e-37,6.5891624772586417e-66,2.5381053353283004e-12,1.2203436006300303e-13,4.703861688185899e-17,3.2683508764512334e-26,4.7038635954134526e-17,5.9476100442156821e-37,2.0073363818498857e-30,1.2485751321271113e-50
1.258760353550234e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319467951,0.11866996602488902,0.022821567692932251,0.0,1.6664822700142358e-41,1.639489080478929e-29,0.0,1.1988399281437013e-38,0.0,1.2800551055718533e-18,5.303655696241314e-82,1.2799786856889054e-18,3.622294798691978e-55,5.2115909482529814e-46,0.0,0.0,2.2522617715157318e-36,2.1085327809383883e-64,5.0762128207497916e-12,2.440688235728376e-13,9.4077235492058754e-17,1.3073286780857961e-25,9.4077311781184047e-17,4.7580407601057153e-36,8.0295559551070464e-30,1.9977208590077388e-49
2.5175212406328806e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318935904,0.11866996601981271,0.022821567692810216,0.0,2.6663175894971632e-40,6.5579584195780221e-29,0.0,9.5907096492626583e-38,0.0,2.5602635929602395e-18,3.3944764729189857e-80,2.5599579135438122e-18,5.7956662547924679e-54,8.3383902715498047e-45,0.0,0.0,1.8017779178719788e-35,6.7472988615484589e-63,1.0152427787131213e-11,4.8813775058331197e-13,1.88154358272101e-16,5.2292163479065889e-25,1.8815466342849701e-16,3.8063527346298401e-35,3.2119876611665732e-29,3.1963503662808738e-48
