Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH3OHX(46),H2OX(35),HO2X(135)
9.741537751304671e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999718,0.099999999999997508,0.099999999999999853,0.0,3.4977877097591118e-74,9.4965470794710265e-65,0.0,1.3959127114507194e-58,0.0,6.6945366807158517e-37,0.0,1.6287179861956128e-50,2.5907756521085283e-111,2.2636850375156313e-69,0.0,0.0,8.8533983719957217e-60,1.8084953086831627e-149,2.5024444268383959e-15,3.1115380306097392e-16,8.2308983768188792e-27,9.8417061382329454e-39,8.2308983774784891e-27,2.0704219909654127e-83,4.2666422158825395e-88,2.0746387965121126e-70
1.9491539045399354e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999438,0.09999999999999501,0.0999999999999997,0.0,5.600736640779317e-73,7.6048727898464991e-64,0.0,1.1178623040178341e-57,0.0,2.6795593187118122e-36,0.0,6.5191165063525273e-50,1.6615026137273874e-109,3.6261110604326698e-68,0.0,0.0,7.0881019418411992e-59,2.3194389949641324e-147,5.007063001511407e-15,6.2257793957376911e-16,1.646894783691872e-26,3.9392472773465314e-38,1.6468947839558885e-26,6.6333175383203361e-82,1.3664035063013986e-86,3.323285069372252e-69
3.8991541633588727e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998874,0.09999999999999,0.099999999999999395,0.0,8.9646016717348533e-72,6.0869537700526278e-63,0.0,8.9474291827361654e-57,0.0,1.0721727561016316e-35,0.0,2.6084957567888145e-49,1.0644528922490248e-107,5.8051519055776225e-67,0.0,0.0,5.6726357707752651e-58,2.9718065565482438e-145,1.0016300150155486e-14,1.2454262125993212e-15,3.2945046753153779e-26,1.5762120211879525e-37,3.2945046763717891e-26,2.1239372535606114e-80,4.3742170973135615e-85,5.3203485316071805e-68
7.799154680996746e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997747,0.09999999999997998,0.09999999999999877,0.0,1.4346101907840321e-70,4.870785528857019e-62,0.0,7.1597560858633064e-56,0.0,4.2893891801977495e-35,0.0,1.0435681577582235e-48,6.8159923890693313e-106,9.2909432946145829e-66,0.0,0.0,4.5389704858018535e-57,3.8057851409777394e-143,2.0034774444635867e-14,2.4911227586502724e-15,6.589724456976546e-26,6.3058744486204649e-37,6.5897244612028752e-26,6.7986409492364651e-79,1.4000256974034399e-83,8.5150323939744876e-67
1.5599155716272495e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039995493,0.09999999999995994,0.099999999999997521,0.0,2.295595474098096e-69,3.8971174877201024e-61,0.0,5.7285300479461704e-55,0.0,1.7158953124735622e-34,0.0,4.1746123653094905e-48,4.3633534821897517e-104,1.4867669802956145e-64,0.0,0.0,3.6315211701121496e-56,4.8726038716369144e-141,4.0071723022365499e-14,4.9825158507515615e-15,1.3180164013955494e-25,2.5225550645839578e-36,1.3180164030862188e-25,2.1758918361029223e-77,4.4805242585146181e-82,1.3626031937577456e-65
3.119915778682399e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039990989,0.099999999999919861,0.099999999999995023,0.0,3.6731281004716142e-68,3.1178896279290574e-60,0.0,4.5831141195308907e-54,0.0,6.8638605349632024e-34,0.0,1.6699128953966877e-47,2.7929041460373814e-102,2.3790000191292792e-63,0.0,0.0,2.9053548511911896e-55,6.2377004639410249e-139,8.0145620132900278e-14,9.9653020349516871e-15,2.6361043102539831e-25,1.0090630825169769e-35,2.6361043170169378e-25,6.9633766736971131e-76,1.4338384896822449e-80,2.1803235277865498e-64
6.239916192792698e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039981977,0.099999999999839717,0.099999999999990041,0.0,5.8771452202547594e-67,2.494389959820046e-59,0.0,3.666607318459709e-53,0.0,2.7456000674621255e-33,0.0,6.6797874825377193e-47,1.7875731870949546e-100,3.8065382975152777e-62,0.0,0.0,2.3243390407019629e-54,7.9847484724668445e-137,1.6029341417427194e-13,1.9930874403342133e-14,5.2722801178214303e-25,4.0363344304512173e-35,5.272280144873799e-25,2.2283641745061535e-74,4.5883963161294368e-79,3.4886443717830623e-63
1.2479917021013296e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039963955,0.099999999999679415,0.099999999999980077,0.0,9.4035445007391795e-66,1.9955432713150992e-58,0.0,2.9333322435285292e-52,0.0,1.0982511941545655e-32,0.0,2.6719421734358909e-46,1.1440834814796697e-98,6.0905718301236723e-61,0.0,0.0,1.859493284332114e-53,1.0220796235471898e-134,3.2058900153822356e-13,3.9862019140083789e-14,1.0544631692358646e-24,1.6145501808470263e-34,1.0544631800569214e-24,7.1308991039293739e-73,1.4683049135900961e-77,5.5819323401190461e-62
2.495991867745449e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039927909,0.099999999999358824,0.099999999999960149,0.0,1.5045760724441434e-64,1.5964471385185263e-57,0.0,2.3466843167383662e-51,0.0,4.3930270820563665e-32,0.0,1.0687823054736507e-45,7.3222514049966082e-97,9.7450031749673109e-60,0.0,0.0,1.487603428354904e-52,1.3082840364055893e-132,6.4118017339096013e-13,7.9724308613410182e-14,2.1089334679042369e-24,6.4582334484168691e-34,2.1089335111886837e-24,2.2819090617637828e-71,4.6986045962049308e-76,8.9311726974918619e-61
4.991992199033688e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039855819,0.099999999998717642,0.099999999999920292,0.0,2.4073288150113704e-63,1.2771627194006078e-56,0.0,1.8773548082165735e-50,0.0,1.7572152707194965e-31,0.0,4.2751400940449079e-45,4.6862782099511385e-95,1.5592075045994654e-58,0.0,0.0,1.1900862312467021e-51,1.6746267632152175e-130,1.2823625055957668e-12,1.5944888755943529e-13,4.2178740002846962e-24,2.5832998504267201e-33,4.2178741734229227e-24,7.3021428289779381e-70,1.5035580421529533e-74,1.4289940682986292e-59
