Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),H2X(49),C2H4X(65)
2.581992704880405e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,0.0,2.9515991815694422e-52,6.8988941359498402e-35,0.0,1.0348095797631276e-46,0.0,2.6255164652868065e-21,3.9523899967869524e-98,2.6255161437152542e-21,6.4146559145111539e-66,9.2289178100290184e-57,0.0,0.0,1.9443751918092499e-44,7.6606939363022863e-78,1.0412422382301645e-14,5.0063852121829258e-16,1.9297313554264818e-19,5.501283568681663e-31,1.9297313586366948e-19,4.1076258821186488e-44,3.3786275293150183e-35,3.5377275194176757e-60,2.2776722796685631e-91,9.759469883808528e-48,2.5823991641472313e-91
5.164545859664192e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,0.0,4.7235195229176213e-51,2.7600068833984823e-34,0.0,8.2805731305929518e-46,0.0,5.2516034710688794e-21,2.5305062617413084e-96,5.2516021845732771e-21,1.0266234288804128e-64,1.4770560725274955e-55,0.0,0.0,1.5557955150332853e-43,2.4521093850684647e-76,2.0827104895331955e-14,1.0013857115316534e-15,3.8598815738371923e-19,2.200871563170883e-30,3.8598815866801353e-19,3.2867246536788163e-43,1.3516711565708055e-34,5.6618998817581112e-59,1.4581255608807685e-89,7.8090587117096913e-47,1.6532061496295713e-89
1.0329652169231765e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,0.0,7.5583995176668323e-50,1.104092605568197e-33,0.0,6.6252971729920201e-45,0.0,1.0503779412685995e-20,1.6198368075682384e-94,1.0503774266284776e-20,1.6428202965816668e-63,2.3636330110548032e-54,0.0,0.0,1.2447545008869036e-42,7.8478498859536133e-75,4.1656469921317455e-14,2.0028800921582208e-15,7.7201819913899198e-19,8.8042020567704324e-30,7.7201820427658719e-19,2.6296291559682289e-42,5.407125798441604e-34,9.060268625374544e-58,9.3333327231611854e-88,6.2478401545536968e-46,1.0582024009354601e-87
2.0659864788366913e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,0.0,1.2094052352953939e-48,4.4165501331407997e-33,0.0,5.3005731768882439e-44,0.0,2.100813901613202e-20,1.0367959165914227e-92,2.1008118429689599e-20,2.6286907118104996e-62,3.782087029539292e-53,0.0,0.0,9.9585072934098451e-42,2.5114879312339832e-73,8.3315199972987975e-14,4.0058688534107363e-15,1.5440782749420588e-18,3.5218235739615132e-29,1.5440782954932765e-18,2.1038028267774566e-41,2.1629392378479512e-33,1.4497412790998833e-56,5.9737582451533641e-86,4.9985094103181359e-45,6.7729746185656204e-86
4.132029002663721e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,0.0,1.9350969356781735e-47,1.7666559961112082e-32,0.0,4.2405926419785411e-43,0.0,4.2016889103870651e-20,6.6358182669597646e-91,4.2016806756426515e-20,4.2060476579157843e-61,6.0515571964327838e-52,0.0,0.0,7.96699260330398e-41,8.0370427963567426e-72,1.6663266007512707e-13,8.0118463759132912e-15,3.088198395718282e-18,1.4087576486125594e-28,3.0881984779248233e-18,1.6830816208242715e-40,8.6519402387160048e-33,2.3196646465883194e-55,3.8233413099732919e-84,3.9989024453434084e-44,4.3348542120786165e-84
8.26411405031778e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,0.0,3.0961923696954305e-46,7.0666958711258657e-32,0.0,3.3925276281481321e-42,0.0,8.4034512802729233e-20,4.247031638378346e-89,8.4034183409609488e-20,6.7297900270865303e-60,9.6826613034316474e-51,0.0,0.0,6.3736659894871879e-40,2.5718986309902989e-70,3.3326758027459752e-13,1.6023801420908488e-14,6.1764385139510854e-18,5.6350843791555083e-28,6.1764388427805901e-18,1.3464803326894065e-39,3.4608171110627949e-32,3.7115261812715558e-54,2.4469818814587472e-82,3.1991599234319227e-43,2.7743511169860136e-82
1.6528284145625898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,0.0,4.9539325686806601e-45,2.8266927261156526e-31,0.0,2.7140433062028466e-41,0.0,1.6807025429393231e-19,2.7181400868120767e-87,1.6806893671481186e-19,1.0767754286647752e-58,1.5492379282119707e-49,0.0,0.0,5.0989570719840215e-39,8.2301469332036345e-69,6.6653742065430753e-13,3.2047711510859249e-14,1.235291825713817e-17,2.2540423855699368e-27,1.2352919572462822e-17,1.0771891478976469e-38,1.3843385338100183e-31,5.9384916577459647e-53,1.5660821929457938e-80,2.5593431254133368e-42,1.7755941609608014e-80
3.3056624336242133e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,0.0,7.9262958000565573e-44,1.1306799661978128e-30,0.0,2.1712428027798669e-40,0.0,3.361437136499667e-19,1.7396291809339696e-85,3.3613844332056257e-19,1.7228476567080672e-57,2.4787856973867539e-48,0.0,0.0,4.0791681977412967e-38,2.6336580548440657e-67,1.3330771013368042e-12,6.4095531690602262e-14,2.4705875770398554e-17,9.0161698255411909e-27,2.4705881031710087e-17,8.6175145869885693e-38,5.5374054039430793e-31,9.5016250903556269e-52,1.0022968711471295e-78,2.0474805745437222e-41,1.1363771817119781e-78
6.611330471747461e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,0.0,1.2682024611352133e-42,4.5227256179974843e-30,0.0,1.7369969874553887e-39,0.0,6.7229853785400961e-19,1.1133775985590929e-83,6.7227745651344757e-19,2.7565610317326888e-56,3.9660461384317712e-47,0.0,0.0,3.2633240990834439e-37,8.4277210393734599e-66,2.6661564623941039e-12,1.281911720494541e-13,4.9411782904466776e-17,3.6064543993013426e-26,4.9411803949735939e-17,6.893983234148679e-37,2.2149947272355106e-30,1.5202626490575514e-50,6.4147117787104528e-77,1.6379868885653038e-40,7.2727259725472747e-77
1.3222666547993955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,0.0,2.0291035258936461e-41,1.8090913991982653e-29,0.0,1.3895978594160405e-38,0.0,1.3446398082098894e-18,7.1257754187049614e-82,1.3445554828247522e-18,4.4104989293768077e-55,6.3456170812983491e-46,0.0,0.0,2.6106367356292949e-36,2.6968716425867564e-64,5.3323151832779281e-12,2.563824527646214e-13,9.8823565602812876e-17,1.4425681836584247e-25,9.8823649783913895e-17,5.5151288187345996e-36,8.8602225354671306e-30,2.4324209367582618e-49,4.10541694338581e-75,1.3103904812108646e-39,4.6544164636137857e-75
