Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.024200718312125e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-6.5079351618552747e-118,3.5799402376955442e-66,1.1915827896165705e-41,1.2273386119438259e-95,3.5067305821095378e-57,1.376673451315262e-159,3.3842232580097624e-37,-2.381496102901025e-141,3.3842207350917783e-37,2.3017819612624657e-91,5.4125277666024133e-72,1.4855932298714183e-133,4.5359198924426859e-135,9.4334153555379017e-60,5.0216835966456165e-111,2.6310069776000852e-18,1.1511392925819329e-18,3.6610188124794337e-20,3.6610188129694763e-20,2.4498249232845145e-30,2.6070380039600473e-34,1.2155098262192799e-41,5.0102260807671421e-38,1.5196275149354609e-54,7.971654895765668e-71,-3.2894725519726053e-105
2.86776201127395e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.1993917714050023e-115,1.1253205478242217e-64,1.414513998399406e-40,1.3791254970053934e-93,5.2993712676872346e-56,5.0505961992364164e-157,9.4758333463912151e-37,4.5975157921562209e-140,9.4758181079665922e-37,6.4913934300558635e-90,1.7017852558032375e-70,3.0196298934543286e-131,9.219750754195047e-133,1.1199350711579477e-58,2.5993680596805457e-109,7.3668195372802326e-18,3.2231900192294123e-18,1.0250852674148585e-19,1.0250852677108598e-19,1.4795422402230949e-29,3.0947843322590701e-33,1.4680330118231252e-40,3.0261765532214882e-37,1.8041017859705759e-53,4.9321140951724955e-69,3.3862711755623826e-103
6.5548845971976e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,5.243625682067965e-113,2.5103584584174477e-63,1.3884964038342674e-39,1.2925552131112652e-91,5.7008217848145917e-55,1.8940977119214633e-154,2.1659086419009636e-36,4.8544970860654015e-138,2.1659013052554661e-36,1.412019860720266e-88,3.7965892859772716e-69,5.6625136712780514e-129,1.7289193223505621e-130,1.0995588942933241e-57,1.1349858237005667e-107,1.68384446566405e-17,7.3672914725243702e-18,2.343052039431157e-19,2.3430520408564309e-19,7.1218111410153404e-29,3.0378609991028506e-32,1.49422016050304e-39,1.4569737449317662e-36,1.7712778321366097e-52,2.3071295321989205e-67,7.3454383263862395e-101
1.3929129769044901e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,1.8041813197714169e-110,4.7015007004917179e-62,1.2276082939805883e-38,1.0462905942938186e-89,5.2400373822822888e-54,6.1406469535934499e-152,4.6025724147668466e-36,3.8370848761851636e-136,4.6025403737084553e-36,2.6176468492095455e-87,7.1105915577139114e-68,9.1750606681060658e-127,2.8013953861672355e-128,9.7254739043488415e-57,4.2252676444750602e-106,3.5781694895360931e-17,1.5655494379114282e-17,4.9789855821936291e-19,4.9789855884195318e-19,3.108922887386469e-28,2.6858574030244884e-31,1.4156637677424735e-38,6.3629871291775489e-36,1.5666751843126493e-51,9.3219197770519699e-66,1.2628933457223803e-98
2.8677620112739505e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,5.8331046627635532e-108,8.1205782845069236e-61,1.0310368329078304e-37,8.2138834711189321e-88,4.482962296918352e-53,1.9288533510967896e-149,9.4759525938673513e-36,2.7196033308755424e-134,9.4758188287559437e-36,4.4990661169222866e-86,1.228177864425001e-66,1.4408569911422363e-124,4.3993279969731952e-126,8.1748468294489136e-56,1.4556687660530304e-104,7.3668195372801392e-17,3.2231900192294089e-17,1.0250852662638067e-18,1.0250852688641334e-18,1.2967796150419329e-27,2.2557829761429425e-30,1.3479694148121629e-37,2.656421873940652e-35,1.3168848931389793e-50,3.6576532006185482e-64,2.0411502304396575e-96
5.817460080012871e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,1.9399862235702135e-105,1.3492387289189928e-59,8.4392889979257765e-37,6.7313963696608766e-86,3.7065999101935456e-52,6.320371714849267e-147,1.922292348554292e-35,1.8301864701544996e-132,1.922237701141695e-35,7.4568721255961133e-85,2.040635893213716e-65,2.3609766903841186e-122,7.2087035132986413e-124,6.7022333491107871e-55,4.8308338927206344e-103,1.4944119632768061e-16,6.5384711818653666e-17,2.0794586803204937e-18,2.0794586909529247e-18,5.2885193231755593e-27,1.846413588363837e-29,1.3636707101024041e-36,1.08523501499864e-34,1.0796618006273986e-49,1.4995631453729795e-62,3.3945437792286969e-94
1.1716856217490712e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,7.0024687480107634e-103,2.1995937037763124e-58,6.8121508210254502e-36,6.0298054082605422e-84,3.0141454748570421e-51,2.2628809503982947e-144,3.871770740278906e-35,1.2008760387524409e-130,3.8715498467003101e-35,1.2141583132230064e-83,3.3267515440559036e-64,4.2275960920742646e-120,1.2907999865422228e-121,5.4276423573530383e-54,1.5740568837518823e-101,3.009871982374325e-16,1.3169033507137267e-16,4.1882055003050644e-18,4.1882055433574572e-18,2.1302634044004218e-26,1.4904155421467374e-28,1.5210898202401615e-35,4.3866934656518035e-34,8.7433812215422723e-49,6.7234066193658643e-61,6.1278325936064277e-92
2.3515648492446395e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999395,0.099999999999999881,2.7936160624753199e-100,3.552344991526955e-57,5.4476027889134477e-35,5.9910904816923184e-82,2.4310174970672894e-50,8.9859634958028458e-142,7.7710643772835334e-35,7.7818058390347608e-129,7.7701761739232122e-35,1.9596563944650302e-82,5.3727126563775928e-63,8.3962644406780242e-118,2.5636077314364328e-119,4.368638802220573e-53,5.0825342480512838e-100,6.0407920205690974e-16,2.6430158157680992e-16,8.4056991077589901e-18,8.4056992814633419e-18,8.5064374590951625e-26,1.191869002790484e-27,1.8888986633467459e-34,1.7638701659486997e-33,7.0374339265897188e-48,3.3438311347373973e-59,1.2226645537045755e-89
4.711323304235776e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999821,0.099999999999998784,0.099999999999999742,1.2141711496740933e-97,5.7102871729894885e-56,4.315584150365911e-34,6.4968434659296887e-80,1.9527254205777351e-49,3.8953350617984728e-139,1.5570999065493613e-34,5.0116615767399324e-127,1.556743697279184e-34,3.1491151590335126e-81,8.6364787642956758e-62,1.8202385537540112e-115,5.5576830177653902e-117,3.5055575738049966e-52,1.6337351884383728e-98,1.2102632096957583e-15,5.2952407458768166e-16,1.6840686192605981e-17,1.6840686893900167e-17,3.3648414066352912e-25,9.4419703422734823e-27,2.5625519946206034e-33,7.0739084103304313e-33,5.6470976243133303e-47,1.8145986200640843e-57,2.6575417109049241e-87
9.430840214218049e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999643,0.099999999999997549,0.099999999999999478,5.5665508756973677e-95,9.1577437669851203e-55,3.3715785936453089e-33,7.4389839644600332e-78,1.5653510634431563e-48,1.7834288945102488e-136,3.117625809855087e-34,3.2179000176712035e-125,3.1161991148221465e-34,5.0495410672762131e-80,1.3850561392692344e-60,4.1673759979278013e-113,1.2724131551086559e-114,2.8087120501006413e-51,5.239699959324458e-97,2.4226312249730311e-15,1.0599690606094139e-15,3.3710659842056527e-17,3.3710662686840061e-17,1.3117427345428722e-24,7.3765999643333222e-26,3.6699387061499516e-32,2.8332532030391546e-32,4.5245501782702009e-46,1.0393831438863859e-55,6.0926811104407951e-85
1.8869874034182592e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999288,0.099999999999995093,0.099999999999998951,2.5969633839055991e-92,1.4669441039342332e-53,2.5709177152277468e-32,8.6721282838243605e-76,1.2535503101150017e-47,8.3152723262501182e-134,6.2408334789884099e-34,2.0632916440286667e-123,6.2351229809859689e-34,8.0880407139558136e-79,2.218668897005489e-59,9.7156200973863561e-111,2.9664428715092146e-112,2.248677617069475e-50,1.6785857712427286e-95,4.8473672555258801e-15,2.1208590326528336e-15,6.7450605059984077e-17,6.7450616713760828e-17,4.9831601207080568e-24,5.6248497264273886e-25,5.3480467409190693e-31,1.1340397346661207e-31,3.6223915202733098e-45,6.059347433098355e-54,1.4212631863725533e-82
3.7747941674111684e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998577,0.09999999999999018,0.099999999999997896,1.1894528497224807e-89,2.348475954300948e-52,1.8780777300115477e-31,9.9281719690644936e-74,1.0033481644435116e-46,3.8082970900225487e-131,1.2495872266278806e-33,1.322362407095111e-121,1.2473022837633609e-33,1.2947887707345667e-77,3.5519350575835596e-58,2.2247336575135361e-108,6.7927165051585853e-110,1.7996257685093386e-49,5.3744865729335778e-94,9.6968393166247956e-15,4.2426389767394951e-15,1.3493048717194592e-16,1.3493053566056462e-16,1.8080798979502513e-23,4.1089978590064871e-24,7.6479455498263193e-30,4.537636784933082e-31,2.8990145470458958e-44,3.4679334188124049e-52,3.2546821028763703e-80
7.550407695396987e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997156,0.099999999999980341,0.099999999999995773,5.1519079038731e-87,3.7586555860267907e-51,1.2781476883571009e-30,1.0750729385132777e-71,8.0288156281530197e-46,1.6501458153878461e-128,2.5040443628444704e-33,8.477090442329023e-120,2.494903104828618e-33,2.0722235366369381e-76,5.6847491651625012e-57,4.8193156342745561e-106,1.4714680448123134e-107,1.4399744503001358e-48,1.7203174099610576e-92,1.9395783438795491e-14,8.4861988649121011e-15,2.698902181003047e-16,2.6989042361203341e-16,6.0809338677923854e-23,2.7964212535551469e-23,1.0335036866814028e-28,1.8153507401513389e-30,2.319652758826694e-43,1.8766802017017419e-50,7.0476583273264924e-78
1.5101634751368621e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994314,0.099999999999960676,0.099999999999991526,2.0350184903598849e-84,6.0147290435863386e-50,7.8523231684809471e-30,1.0618253928323845e-69,6.4238617681493987e-45,6.5236060646109699e-126,5.026756143503796e-33,5.4400887102101665e-118,4.9901881459728917e-33,3.3160054474205056e-75,9.0969234961994178e-56,9.5241063659050873e-104,2.9079685242330342e-105,1.1520895975678642e-47,5.5057841451047006e-91,3.8793671683028329e-14,1.6973318641254448e-14,5.3980954677482903e-16,5.3981042882192786e-16,1.8332414398842463e-22,1.7179800203679756e-22,1.2724222788612488e-27,7.2619983740350547e-30,1.8558994660190333e-42,9.2594503271266396e-49,1.3916117603645124e-75
3.020408886331189e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503998863,0.099999999999921346,0.099999999999983033,7.1665331505805078e-82,9.6242864336779233e-49,4.2712681373689842e-29,9.3510183420788667e-68,5.1394084067228275e-44,2.3001454129064615e-123,1.0127369683263904e-32,3.4995352631476844e-116,9.9810918249393953e-33,5.3059622428563619e-74,1.4556144449286099e-54,1.6785261631781334e-101,5.1249965740528853e-103,9.2171648168402799e-47,1.7619723394932278e-89,7.7589448171059854e-14,3.3947558193927684e-14,1.0796476713956278e-15,1.0796514470098121e-15,4.8604918941834619e-22,9.3448753201101302e-22,1.395399128562083e-26,2.904921091856413e-29,1.4847917468944853e-41,4.0721226034400973e-47,2.4495975111625594e-73
6.040899708719844e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039977261,0.099999999999842673,0.09999999999996606,2.2578239062563336e-79,1.5399486258434222e-47,2.0728060453879879e-28,7.367557669022327e-66,4.1116467520071602e-43,7.2563358781270931e-121,2.0549356240845832e-32,2.262266080700482e-114,1.9964233574782313e-32,8.4898072854678821e-73,2.329070672911746e-53,2.6467595496656972e-99,8.0812762540817391e-101,7.3739236548023444e-46,5.6384958625004785e-88,1.5518100114538617e-13,6.7896037299228339e-14,2.1593217897284281e-15,2.1593376895343075e-15,1.1472645399995989e-21,4.5349104972384732e-21,1.3686325047591313e-25,1.1619949099445461e-28,1.1878642947272011e-40,1.6020194309849954e-45,3.8574472037166445e-71
1.2081881353497153e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039954521,0.099999999999685327,0.099999999999932115,6.5277326241969331e-77,2.4639848169044745e-46,9.2459818388851827e-28,5.3267375301617365e-64,3.2893532943629104e-42,2.100338293787474e-118,4.2276363782637019e-32,1.4766286489433093e-112,3.9935854684170159e-32,1.358385738683435e-71,3.7265901961182402e-52,3.8294056579642737e-97,1.1692216247870099e-98,5.8992357768277364e-45,1.8043418457394462e-86,3.1036410708709189e-13,1.3579299550964637e-13,4.318661502792553e-15,4.3187271919688615e-15,2.5003445583713687e-21,2.0227850411783224e-20,1.2325795787655418e-24,4.6480495813220518e-28,9.5030703775618637e-40,5.7846112073982205e-44,5.5746578516425205e-69
2.416384464305177e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503990904,0.099999999999370648,0.099999999999864225,1.78562664883526e-74,3.9424940272122105e-45,3.9171389256175913e-27,3.6434913289941612e-62,2.6314776031088865e-41,5.7500076186989317e-116,8.9262488687993158e-32,1.014289320353294e-110,7.9900447678846316e-32,2.1734149425769806e-70,5.9626203566807737e-51,5.2407174074331813e-95,1.6001334591875103e-96,4.7194595732590344e-44,5.7738904602809414e-85,6.2073031894271592e-13,2.7158691192974913e-13,8.637306834783866e-15,8.6375743830525206e-15,5.2155301695592686e-21,8.569171920256264e-20,1.0513112326056172e-23,1.8592474166437243e-27,7.6025705972514836e-39,1.9767565948925138e-42,7.6230840614402316e-67
4.8327771222161e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503981808,0.099999999998741276,0.099999999999728431,4.7319491463597519e-72,6.3082670370258677e-44,1.613533501057738e-26,2.4141290124953005e-60,2.1051490468666078e-40,1.5245163118327628e-113,1.9736295471143415e-31,7.1732785223776456e-109,1.5991503946908635e-31,3.4774125246457727e-69,9.5403183449809482e-50,6.9465205464838634e-93,2.1209615186245741e-94,3.7756475759764446e-43,1.8476184649355997e-83,1.2414627425428141e-12,5.431747447670218e-13,1.7274461124372167e-14,1.7275541570166863e-14,1.0647201773121392e-20,3.5293454458623581e-19,8.6947287232411517e-23,7.4371536008459189e-27,6.0821852150637685e-38,6.5457232640060448e-41,1.0099473944156086e-64
9.665562438037946e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039636161,0.099999999997482533,0.099999999999456843,1.23275068387168e-69,1.0094042271965598e-42,6.5503646882797619e-26,1.5724080918875159e-58,1.6840563893372436e-39,3.9727695740601302e-111,4.7007496707066145e-31,5.4614860468269487e-107,3.2028586783553507e-31,5.5636602455550698e-68,1.526480908133668e-48,9.0502277060064324e-91,2.7632804898585512e-92,3.0206324861943076e-42,5.9121707653819127e-82,2.4829275892984114e-12,1.0863504104298353e-12,3.454822422319694e-14,3.4552567371195363e-14,2.1510310201927244e-20,1.4324327310579409e-18,7.0733441415382693e-22,2.9749812398635169e-26,4.8659324973643953e-37,2.1311669207108533e-39,1.3154538455587838e-62
