Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),CH2X(27),CHX(28),CX(26),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65),CH2(T)(34),CH2O2(180),O(29),OCX(25),CH2OX(54),COX(50),CH2OH(40),C2H5O(140),C3H6O(210),C2H3(46),C2H2(338),C2H2(362),C2H2X(364),C4H6(378),acetyl(43)
6.882615702794807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999649,0.11866996602996195,0.022821567693054236,0.0,2.0277583275608259e-45,2.3604084499244819e-30,1.5280385674854212e-68,1.3701927845178242e-45,1.5408863832639676e-53,6.0744541596174436e-17,2.5242566452710031e-89,6.0744541596060384e-17,1.1563409965779958e-60,1.8138965325729563e-58,5.1977811142319518e-71,2.2059114740746359e-90,8.5021985145241709e-32,3.0607539900724725e-71,3.3174261763041573e-15,9.822309291757501e-17,3.9321997757128356e-19,3.9321997743351153e-19,2.6511203220874759e-31,1.0643773793126583e-43,7.1597161496705615e-32,2.819668104861918e-81,1.6456617590017289e-45,1.4171935144122915e-29,9.5545293618837362e-37,8.1464908338043224e-43,1.4932443826638503e-59,1.8533241686935582e-72,3.0064126114095022e-95,3.2893063461454186e-85,5.7543245947876892e-35,8.3213734071352235e-48,9.3163098176056818e-26,6.2932630052086008e-68,1.6264093706078189e-67,3.3504315261418113e-83,4.4788520171770649e-72,4.4254062408693626e-83,1.4814762714913081e-147,2.0707036584205032e-87,8.1696465619883041e-98,2.444881061750128e-110,9.0062585888281443e-112,3.7387614741097362e-192,1.1015188525307998e-98
1.3771211089084658e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999305,0.11866996602995857,0.022821567693054188,0.0,1.623439629364839e-44,9.4477852016488801e-30,4.894021636978347e-67,1.0972655028482093e-44,2.4674214066840764e-52,1.2154185864138471e-16,1.6180216226818136e-87,1.2154185864092825e-16,1.852155697880219e-59,2.9056119415964579e-57,1.664686579015926e-69,1.4130429443268599e-88,3.4030951436057026e-31,9.8054085803836775e-70,6.6377345647492147e-15,1.9653152301405081e-16,7.8678158852272367e-19,7.867815879712761e-19,1.0611390300325607e-30,8.5214909046184662e-43,2.8657523347714753e-31,1.8066461954343832e-79,1.3175300365506872e-44,5.6724669865503336e-29,7.6494302070713195e-36,8.8841774942565406e-42,2.391786124494884e-58,5.9377690882963111e-71,3.8526328697433746e-93,2.1075574696679149e-83,2.3032294581877508e-34,6.6621461051457996e-47,1.8640730755000562e-25,2.7390939436813365e-66,5.2088800812060023e-66,2.1461893091762514e-81,1.4344555127304762e-70,2.8358495499618084e-81,3.0423689248574942e-144,1.3267621391241974e-85,1.0469171383871508e-95,6.2661204047232414e-108,2.3082636486083024e-109,6.1463986792311103e-188,1.4118105319234227e-96
2.754840186166436e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998622,0.11866996602995181,0.022821567693054091,0.0,1.2992451054482411e-43,3.7803447116712293e-29,1.5669402416058567e-65,8.7825712959739968e-44,3.9494669559926828e-51,2.4313649273244179e-16,1.0363337177482046e-85,2.4313649273061538e-16,2.965058116627121e-58,4.6516828655008632e-56,5.3292187021490089e-68,9.0484514304822381e-87,1.3616813318457891e-30,3.1394911506194356e-68,1.3278351341633777e-14,3.9314838320699517e-16,1.5739048105376991e-18,1.5739048083311912e-18,4.2459383121398468e-30,6.8197825787162408e-42,1.1466742146563303e-30,1.1569127355828257e-77,1.0544244479898951e-43,2.2697253603719436e-28,6.1218644294127429e-35,1.0890724067405287e-40,3.828935072762382e-57,1.9012279853403817e-69,4.9342037151387937e-91,1.3496056414779578e-81,9.2159179280833408e-34,5.3317218439681515e-46,3.7289623709460531e-25,1.3398967172007448e-64,1.6675367901672642e-64,1.3743170195182948e-79,4.5922035614178307e-69,1.8160882914105805e-79,6.2392705474088526e-141,8.4961184972345849e-84,1.3408239529985977e-93,1.6050522033800575e-105,5.9125637990209312e-107,1.0087283860284058e-183,1.8085025850363132e-94
5.510278340682375e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997257,0.11866996602993828,0.022821567693053893,0.0,1.0395934939355459e-42,1.5123840459330387e-28,5.0174942133396592e-64,7.0278363803214113e-43,6.3203875320531304e-50,4.8632576091710191e-16,6.6350965604676642e-84,4.8632576090979499e-16,4.7453805531152798e-57,7.4448562884124119e-55,1.7056964923845675e-66,5.7947938584962424e-85,5.4476120068870362e-30,1.0049189186452421e-66,2.6559584895380694e-14,7.8638210359285515e-16,3.1481512550160332e-18,3.1481512461885637e-18,1.6986517992862665e-29,5.4568622263454147e-41,4.5874435217911236e-30,7.406351515142652e-76,8.4369975348910679e-43,9.0803769391686631e-28,4.8984143806165365e-34,1.4764460915815036e-39,6.1279584085892303e-56,6.0857571717139407e-68,6.3175948644367713e-89,8.6399362746894293e-80,3.6869672757954371e-33,4.266155860693722e-45,7.4587613937061337e-25,7.2520141264376746e-63,5.3372019669119605e-63,8.8013776129481773e-78,1.4698090636013608e-67,1.1626565527804449e-77,1.2786650669319941e-137,5.4390653827312685e-82,1.71674762722282e-91,4.110118488789107e-103,1.5140528067669196e-104,1.6540764540429167e-179,2.3166514849229847e-92
1.1021154649714256e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999452,0.11866996602991123,0.022821567693053501,0.0,8.3175377800006997e-42,6.0500285413239649e-28,1.6084561246312141e-62,5.6229809282059663e-42,1.0113503440737396e-48,9.7270429729660585e-16,4.2472814278805165e-82,9.7270429726737599e-16,7.5936390833233851e-56,1.191350126862143e-53,5.4587253333939451e-65,3.7152043104784457e-83,2.1792221548073273e-29,3.2161914067430796e-65,5.3122052002785697e-14,1.5728495443644593e-15,6.2966441457662344e-18,6.2966441104534792e-18,6.7951601585698177e-29,4.3659042906509044e-40,1.8351267482392284e-29,4.7407402733432138e-74,6.7502387706289505e-42,3.6324444207871449e-27,3.919091931663315e-33,2.1493930783853821e-38,9.8060634760707854e-55,1.9477347485476013e-66,8.0876826334856278e-87,5.5303453623203891e-78,1.4749069397937047e-32,3.4131980439185996e-44,1.4918441166698633e-24,4.2174947348613817e-61,1.7080600046093019e-61,5.6428091358212364e-76,4.7038272961888321e-66,7.442072884143639e-76,2.6195543265456074e-134,3.4814977739537738e-80,2.1977525103678195e-89,1.0523420074709233e-100,3.8765339587031307e-102,2.711100140485272e-175,2.9707284699960743e-90
2.2042907267778014e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989047,0.11866996602985712,0.022821567693052713,0.0,6.6543463416408146e-41,2.4201098915546229e-27,5.1806823181398669e-61,4.498669488933664e-41,1.6181963290942368e-47,1.9454613700963495e-15,2.7185224235753954e-80,1.9454613699794242e-15,1.215064674532428e-54,1.9062986983297179e-52,1.7468344879282792e-63,2.393086195300279e-81,8.7172433641424734e-29,1.0292533928104238e-63,1.0624698621724041e-13,3.145784425907205e-15,1.2593629934440776e-17,1.2593629793183996e-17,2.7181746381978385e-28,3.4928892451204733e-39,7.340805652672782e-29,3.0342898824100927e-72,5.4004471574673589e-41,1.4530353190717142e-26,3.1354037284095857e-32,3.2686547332132263e-37,1.5690765652649968e-53,6.2332190552794845e-65,1.0352976979974357e-84,3.5396710417876202e-76,5.8998678267973655e-32,2.7306069337260748e-43,2.9838127622572982e-24,2.5633792509747688e-59,5.465924627669212e-60,3.6347202612421709e-74,1.5052641141142764e-64,4.7631651597546267e-74,5.3655715657344371e-131,2.2283172806738518e-78,2.8133251742573288e-87,2.6941896430169695e-98,9.924642201947471e-100,4.4425183910719007e-171,3.8273353252846094e-88
4.408641250390553e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978106,0.11866996602974891,0.022821567693051142,0.0,5.3236037947227424e-40,9.680636519778473e-27,1.6998614251430306e-59,3.5990494922248236e-40,2.5890310898522392e-46,3.8909755158587784e-15,1.7399382934478594e-78,3.8909755153910699e-15,1.944169416836439e-53,3.0501886779364267e-51,5.5897009251401367e-62,1.5699672353228335e-79,3.4869683184455603e-28,3.2937262794838541e-62,2.1249685464472857e-13,6.2916541889908469e-15,2.5187601540486503e-17,2.5187600975447771e-17,1.087291953464456e-27,2.79437772276997e-38,2.9363819701038727e-28,1.9420146732250923e-70,4.3204599133948618e-40,5.8122469369612502e-26,2.5083526647549747e-31,5.0934956832691174e-36,2.5106076338654792e-52,1.9947048901516172e-63,1.3252286148517203e-82,2.2654674547035746e-74,2.3599951451973039e-31,2.1844075968327933e-42,5.9678808173879094e-24,1.596876276836859e-57,1.7490428635397652e-58,2.3845323717353134e-72,4.8167113769327384e-63,3.0483686370899162e-72,1.0988840434396693e-127,1.4261738416376036e-76,3.6011854688810764e-85,6.8973736677840938e-96,2.5407999513929507e-97,7.2784429842427556e-167,5.0225805140166206e-86
8.817342297616059e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679956223,0.1186699660295325,0.022821567693047995,0.0,4.2589341585845205e-39,3.8722939989769599e-26,5.9726235955280258e-58,2.8792851533930008e-39,4.1420260688187438e-45,7.782003808035405e-15,1.1135873682197332e-76,7.7820038061645503e-15,3.1107238124253353e-52,4.8803903663329112e-50,1.7885253757501462e-60,1.1021286532697847e-77,1.39480154009663e-27,1.0540108708835104e-60,4.2499659149402019e-13,1.2583393715150738e-14,5.0375544867365198e-17,5.0375542607186327e-17,4.3492118733225474e-27,2.2355287090196803e-37,1.1745647107773049e-27,1.2429115077612672e-68,3.4564083715070365e-39,2.3249123528275808e-25,2.0066581777027875e-30,8.0403706593731056e-35,4.0170403161839457e-51,6.3831748812210636e-62,1.6963230518866889e-80,1.4499215441360843e-72,9.4400766113933867e-31,1.7473391674713297e-41,1.1936539983472092e-23,1.0077391043206475e-55,5.5963773139222533e-57,1.6739593059366823e-70,1.5412003078920848e-61,1.9507669553459848e-70,2.2502874672296336e-124,9.1276750190592587e-75,4.6096000823442239e-83,1.7657592827910786e-93,6.5045650064213812e-95,1.1922517978209518e-162,7.0554046936436474e-84
1.7634744392067067e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679912452,0.11866996602909967,0.022821567693041705,0.0,3.4071684698326597e-38,1.5489254778413161e-25,2.5900990235874995e-56,2.3034463442775187e-38,6.6257600345826136e-44,1.5564060394995722e-14,7.1270450868370174e-75,1.5564060387512269e-14,4.9772002789812247e-51,7.8086949604307219e-49,5.7220237221806007e-59,9.5330692697046068e-76,5.5792347302247947e-27,3.3728642838124342e-59,8.4999606516986393e-13,2.5166872767440933e-14,1.0075143198027681e-16,1.0075142293950748e-16,1.7396934514215811e-26,1.7884335792561248e-36,4.6982825352667305e-27,7.9547042829543779e-67,2.7651421780721e-38,9.299616134040458e-25,1.6052596409867856e-29,1.2776775063455742e-33,6.4273189791260234e-50,2.0426347592265081e-60,2.1713129400308176e-78,9.2795364083721637e-71,3.7760498513978177e-30,1.397547501933968e-40,2.3875950538932202e-23,6.4002959944293377e-54,1.7904472693888093e-55,1.4479224457238325e-68,4.9307996372004556e-60,1.2482119546652132e-68,4.6073637236950419e-121,5.8417638976359282e-73,5.900340928281086e-81,4.5203835052988732e-91,1.665183607633853e-92,1.9524170826438814e-158,1.2222103367414979e-81
3.526954858096909e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679824917,0.118669966028234,0.022821567693029121,0.0,2.725744343010073e-37,6.1957176679202482e-25,1.6944556871043462e-54,1.8427643602011774e-37,1.0596376854374285e-42,3.1128173579344639e-14,4.5613363223369265e-73,3.1128173549410738e-14,7.9635541332735165e-50,1.2493966918864424e-47,1.8302253092109529e-57,1.2424289891117621e-73,2.2316997214903216e-26,1.0793212637267814e-57,1.6999950124305931e-12,5.0333830871902977e-14,2.0150320804275902e-16,2.0150317187952768e-16,6.9587903311929678e-26,1.4307511076721012e-35,1.8793176298125869e-26,5.0910331627493647e-65,2.2121188219320885e-37,3.7197914526932185e-24,1.2840892536752064e-28,2.0371182107722645e-32,1.0283753917052669e-48,6.536459511912922e-59,2.7792929022552546e-76,5.9388733022632586e-69,1.5104237824430896e-29,1.1175102802751138e-39,4.776314054301882e-23,4.0758434011825086e-52,5.7268583059876853e-54,1.8870528031884597e-66,1.5771740788753632e-58,7.9848703966746465e-67,9.4305643265687917e-118,3.7387453782292458e-71,7.5524699537511238e-79,1.1572228866401983e-88,4.2628890543224065e-90,3.1955452408977065e-154,3.1920653031808649e-79
